target entry name	locus type
WeinellEntry5	REE
WeinellEntry8	REE
WeinellEntry11	REE
WeinellEntry14	REE
WeinellEntry15	REE
WeinellEntry28	REE
WeinellEntry29	REE
WeinellEntry38	REE
WeinellEntry57	REE
WeinellEntry66	REE
WeinellEntry78	REE
WeinellEntry85	REE
WeinellEntry96	REE
WeinellEntry105	REE
WeinellEntry109	REE
WeinellEntry115	REE
WeinellEntry125	REE
WeinellEntry158	REE
WeinellEntry179	REE
WeinellEntry182	REE
WeinellEntry187	REE
WeinellEntry195	REE
WeinellEntry196	REE
WeinellEntry225	REE
WeinellEntry228	REE
WeinellEntry282	REE
WeinellEntry289	REE
WeinellEntry295	REE
WeinellEntry299	REE
WeinellEntry312	REE
WeinellEntry326	REE
WeinellEntry329	REE
WeinellEntry340	REE
WeinellEntry349	REE
WeinellEntry391	REE
WeinellEntry396	REE
WeinellEntry416	REE
WeinellEntry437	REE
WeinellEntry462	REE
WeinellEntry518	REE
WeinellEntry529	REE
WeinellEntry534	REE
WeinellEntry546	REE
WeinellEntry550	REE
WeinellEntry647	REE
WeinellEntry665	REE
WeinellEntry702	REE
WeinellEntry731	REE
WeinellEntry741	REE
WeinellEntry754	REE
WeinellEntry772	REE
WeinellEntry864	REE
WeinellEntry884	REE
WeinellEntry986	REE
WeinellEntry999	REE
WeinellEntry1014	REE
WeinellEntry1020	REE
WeinellEntry1145	REE
WeinellEntry1178	REE
WeinellEntry1220	REE
WeinellEntry1245	REE
WeinellEntry1279	REE
WeinellEntry1301	REE
WeinellEntry1306	REE
WeinellEntry1334	REE
WeinellEntry1456	REE
WeinellEntry1575	REE
WeinellEntry1601	REE
WeinellEntry1697	REE
WeinellEntry1800	REE
WeinellEntry1827	Immune
WeinellEntry1837	Immune
WeinellEntry1845	Immune
WeinellEntry1858	Immune
WeinellEntry1861	Immune
WeinellEntry1862	Immune
WeinellEntry1863	Immune
WeinellEntry1864	Immune
WeinellEntry1865	Immune
WeinellEntry1866	Immune
WeinellEntry1867	Immune
WeinellEntry1869	Immune
WeinellEntry1872	Immune
WeinellEntry1873	Immune
WeinellEntry1874	Immune
WeinellEntry1875	Immune
WeinellEntry1876	Immune
WeinellEntry1877	Immune
WeinellEntry1879	Immune
WeinellEntry1880	Immune
WeinellEntry1881	Immune
WeinellEntry1882	Immune
WeinellEntry1883	Immune
WeinellEntry1884	Immune
WeinellEntry1885	Immune
WeinellEntry1893	Immune
WeinellEntry1894	Immune
WeinellEntry1895	Immune
WeinellEntry1897	Immune
