target entry name	locus type
WeinellEntry1	REE
WeinellEntry2	REE
WeinellEntry3	REE
WeinellEntry4	REE
WeinellEntry5	REE
WeinellEntry6	REE
WeinellEntry7	REE
WeinellEntry8	REE
WeinellEntry9	REE
WeinellEntry10	REE
WeinellEntry11	REE
WeinellEntry12	REE
WeinellEntry13	REE
WeinellEntry14	REE
WeinellEntry15	REE
WeinellEntry16	REE
WeinellEntry17	REE
WeinellEntry18	REE
WeinellEntry19	REE
WeinellEntry20	REE
WeinellEntry21	REE
WeinellEntry22	REE
WeinellEntry23	REE
WeinellEntry24	REE
WeinellEntry25	REE
WeinellEntry26	REE
WeinellEntry27	REE
WeinellEntry28	REE
WeinellEntry29	REE
WeinellEntry30	REE
WeinellEntry31	REE
WeinellEntry32	REE
WeinellEntry33	REE
WeinellEntry34	REE
WeinellEntry35	REE
WeinellEntry36	REE
WeinellEntry37	REE
WeinellEntry38	REE
WeinellEntry39	REE
WeinellEntry40	REE
WeinellEntry41	REE
WeinellEntry42	REE
WeinellEntry43	REE
WeinellEntry44	REE
WeinellEntry45	REE
WeinellEntry46	REE
WeinellEntry47	REE
WeinellEntry48	REE
WeinellEntry49	REE
WeinellEntry50	REE
WeinellEntry51	REE
WeinellEntry52	REE
WeinellEntry53	REE
WeinellEntry54	REE
WeinellEntry55	REE
WeinellEntry56	REE
WeinellEntry57	REE
WeinellEntry58	REE
WeinellEntry59	REE
WeinellEntry60	REE
WeinellEntry61	REE
WeinellEntry62	REE
WeinellEntry63	REE
WeinellEntry64	REE
WeinellEntry65	REE
WeinellEntry66	REE
WeinellEntry67	REE
WeinellEntry68	REE
WeinellEntry69	REE
WeinellEntry70	REE
WeinellEntry71	REE
WeinellEntry72	REE
WeinellEntry73	REE
WeinellEntry74	REE
WeinellEntry75	REE
WeinellEntry76	REE
WeinellEntry77	REE
WeinellEntry78	REE
WeinellEntry79	REE
WeinellEntry80	REE
WeinellEntry81	REE
WeinellEntry82	REE
WeinellEntry83	REE
WeinellEntry84	REE
WeinellEntry85	REE
WeinellEntry86	REE
WeinellEntry87	REE
WeinellEntry88	REE
WeinellEntry89	REE
WeinellEntry90	REE
WeinellEntry91	REE
WeinellEntry92	REE
WeinellEntry93	REE
WeinellEntry94	REE
WeinellEntry95	REE
WeinellEntry96	REE
WeinellEntry97	REE
WeinellEntry98	REE
WeinellEntry99	REE
WeinellEntry100	REE
WeinellEntry101	REE
WeinellEntry102	REE
WeinellEntry103	REE
WeinellEntry104	REE
WeinellEntry105	REE
WeinellEntry106	REE
WeinellEntry107	REE
WeinellEntry108	REE
WeinellEntry109	REE
WeinellEntry110	REE
WeinellEntry111	REE
WeinellEntry112	REE
WeinellEntry113	REE
WeinellEntry114	REE
WeinellEntry115	REE
WeinellEntry116	REE
WeinellEntry117	REE
WeinellEntry118	REE
WeinellEntry119	REE
WeinellEntry120	REE
WeinellEntry121	REE
WeinellEntry122	REE
WeinellEntry123	REE
WeinellEntry124	REE
WeinellEntry125	REE
WeinellEntry126	REE
WeinellEntry127	REE
WeinellEntry128	REE
WeinellEntry129	REE
WeinellEntry130	REE
WeinellEntry131	REE
WeinellEntry132	REE
WeinellEntry133	REE
WeinellEntry134	REE
WeinellEntry135	REE
WeinellEntry136	REE
WeinellEntry137	REE
WeinellEntry138	REE
WeinellEntry139	REE
WeinellEntry140	REE
WeinellEntry141	REE
WeinellEntry142	REE
WeinellEntry143	REE
WeinellEntry144	REE
WeinellEntry145	REE
WeinellEntry146	REE
WeinellEntry147	REE
WeinellEntry148	REE
WeinellEntry149	REE
WeinellEntry150	REE
WeinellEntry151	REE
WeinellEntry152	REE
WeinellEntry153	REE
WeinellEntry154	REE
WeinellEntry155	REE
WeinellEntry156	REE
WeinellEntry157	REE
WeinellEntry158	REE
WeinellEntry159	REE
WeinellEntry160	REE
WeinellEntry161	REE
WeinellEntry162	REE
WeinellEntry163	REE
WeinellEntry164	REE
WeinellEntry165	REE
WeinellEntry166	REE
WeinellEntry167	REE
WeinellEntry168	REE
WeinellEntry169	REE
WeinellEntry170	REE
WeinellEntry171	REE
WeinellEntry172	REE
WeinellEntry173	REE
WeinellEntry174	REE
WeinellEntry175	REE
WeinellEntry176	REE
WeinellEntry177	REE
WeinellEntry178	REE
WeinellEntry179	REE
WeinellEntry180	REE
WeinellEntry181	REE
WeinellEntry182	REE
