target entry name	locus type
WeinellEntry10	REE
WeinellEntry19	REE
WeinellEntry23	REE
WeinellEntry34	REE
WeinellEntry48	REE
WeinellEntry68	REE
WeinellEntry81	REE
WeinellEntry91	REE
WeinellEntry98	REE
WeinellEntry112	REE
WeinellEntry113	REE
WeinellEntry128	REE
WeinellEntry129	REE
WeinellEntry136	REE
WeinellEntry150	REE
WeinellEntry151	REE
WeinellEntry157	REE
WeinellEntry171	REE
WeinellEntry172	REE
WeinellEntry189	REE
WeinellEntry191	REE_MHC
WeinellEntry205	REE
WeinellEntry208	REE
WeinellEntry246	REE
WeinellEntry277	REE
WeinellEntry287	REE
WeinellEntry314	REE
WeinellEntry338	REE
WeinellEntry346	REE
WeinellEntry387	REE
WeinellEntry397	REE_MHC
WeinellEntry398	REE
WeinellEntry403	REE
WeinellEntry406	REE
WeinellEntry422	REE_MHC
WeinellEntry442	REE
WeinellEntry450	REE
WeinellEntry455	REE
WeinellEntry474	REE
WeinellEntry479	REE
WeinellEntry487	REE
WeinellEntry489	REE
WeinellEntry521	REE
WeinellEntry592	REE
WeinellEntry610	REE
WeinellEntry611	REE
WeinellEntry625	REE
WeinellEntry634	REE
WeinellEntry652	REE
WeinellEntry707	REE
WeinellEntry723	REE
WeinellEntry749	REE
WeinellEntry808	REE
WeinellEntry814	REE
WeinellEntry853	REE
WeinellEntry873	REE
WeinellEntry878	REE
WeinellEntry901	REE
WeinellEntry933	REE
WeinellEntry995	REE
WeinellEntry1001	REE
WeinellEntry1013	REE
WeinellEntry1037	REE
WeinellEntry1046	REE
WeinellEntry1085	REE
WeinellEntry1131	REE
WeinellEntry1138	REE
WeinellEntry1140	REE
WeinellEntry1153	REE
WeinellEntry1176	REE
WeinellEntry1183	REE
WeinellEntry1211	REE
WeinellEntry1213	REE
WeinellEntry1243	REE
WeinellEntry1244	REE
WeinellEntry1250	REE
WeinellEntry1274	REE
WeinellEntry1350	REE
WeinellEntry1361	REE
WeinellEntry1370	REE
WeinellEntry1371	REE
WeinellEntry1374	REE
WeinellEntry1377	REE
WeinellEntry1392	REE
WeinellEntry1427	REE
WeinellEntry1466	REE
WeinellEntry1526	REE
WeinellEntry1539	REE_MHC
WeinellEntry1562	REE
WeinellEntry1566	REE
WeinellEntry1579	REE
WeinellEntry1614	REE
WeinellEntry1620	REE
WeinellEntry1623	REE
WeinellEntry1642	REE
WeinellEntry1655	REE
WeinellEntry1661	REE
WeinellEntry1662	REE
WeinellEntry1675	REE
WeinellEntry1678	REE
WeinellEntry1691	REE
WeinellEntry1699	REE
WeinellEntry1716	REE
WeinellEntry1721	REE
WeinellEntry1722	REE
WeinellEntry1771	REE
WeinellEntry1772	REE
WeinellEntry1801	REE
WeinellEntry1816	MHC
WeinellEntry1817	MHC
WeinellEntry1819	MHC
WeinellEntry1820	MHC
WeinellEntry1821	MHC
WeinellEntry1823	MHC
WeinellEntry1825	MHC
WeinellEntry1836	MHC
WeinellEntry1839	MHC
WeinellEntry1843	MHC
WeinellEntry1846	MHC
WeinellEntry1848	MHC
WeinellEntry1851	MHC
WeinellEntry1878	MHC
WeinellEntry1929	REE
WeinellEntry1948	REE
WeinellEntry1955	REE
WeinellEntry1959	REE
WeinellEntry1960	REE
WeinellEntry1966	REE
WeinellEntry1979	REE
WeinellEntry2033	REE
WeinellEntry2040	REE
WeinellEntry2100	REE
WeinellEntry2110	REE
WeinellEntry2193	UCE
WeinellEntry2296	UCE
WeinellEntry2337	UCE
WeinellEntry2361	UCE
WeinellEntry2752	UCE
WeinellEntry2756	UCE
WeinellEntry2914	UCE
WeinellEntry3074	UCE
