target entry name	locus type
WeinellEntry1899	REE
WeinellEntry1900	REE
WeinellEntry1901	REE
WeinellEntry1902	REE
WeinellEntry1903	REE
WeinellEntry1904	REE
WeinellEntry1905	REE
WeinellEntry1906	REE
WeinellEntry1907	REE
WeinellEntry1908	REE
WeinellEntry1909	REE
WeinellEntry1910	REE
WeinellEntry1911	REE
WeinellEntry1912	REE
WeinellEntry1913	REE
WeinellEntry1914	REE
WeinellEntry1915	REE
WeinellEntry1916	REE
WeinellEntry1917	REE
WeinellEntry1918	REE
WeinellEntry1919	REE
WeinellEntry1920	REE
WeinellEntry1921	REE
WeinellEntry1922	REE
WeinellEntry1923	REE
WeinellEntry1924	REE
WeinellEntry1925	REE
WeinellEntry1926	REE
WeinellEntry1927	REE
WeinellEntry1928	REE
WeinellEntry1929	REE
WeinellEntry1930	REE
WeinellEntry1931	REE
WeinellEntry1932	REE
WeinellEntry1933	REE
WeinellEntry1934	REE
WeinellEntry1935	REE
WeinellEntry1936	REE
WeinellEntry1937	REE
WeinellEntry1938	REE
WeinellEntry1939	REE
WeinellEntry1940	REE
WeinellEntry1941	REE
WeinellEntry1942	REE
WeinellEntry1943	REE
WeinellEntry1944	REE_MHC
WeinellEntry1945	REE
WeinellEntry1946	REE
WeinellEntry1947	REE
WeinellEntry1948	REE
WeinellEntry1949	REE
WeinellEntry1950	REE
WeinellEntry1951	REE
WeinellEntry1952	REE
WeinellEntry1953	REE
WeinellEntry1954	REE
WeinellEntry1955	REE
WeinellEntry1956	REE
WeinellEntry1957	REE
WeinellEntry1958	REE
WeinellEntry1959	REE
WeinellEntry1960	REE
WeinellEntry1961	REE
WeinellEntry1962	REE
WeinellEntry1963	REE
WeinellEntry1964	REE
WeinellEntry1965	REE
WeinellEntry1966	REE
WeinellEntry1967	REE
WeinellEntry1968	REE
WeinellEntry1969	REE
WeinellEntry1970	REE
WeinellEntry1971	REE
WeinellEntry1972	REE
WeinellEntry1973	REE
WeinellEntry1974	REE
WeinellEntry1975	REE
WeinellEntry1976	REE
WeinellEntry1977	REE
WeinellEntry1978	REE
WeinellEntry1979	REE
WeinellEntry1980	REE
WeinellEntry1981	REE
WeinellEntry1982	REE
WeinellEntry1983	REE
WeinellEntry1984	REE
WeinellEntry1985	REE
WeinellEntry1986	REE
WeinellEntry1987	REE
WeinellEntry1988	REE
WeinellEntry1989	REE
WeinellEntry1990	REE
WeinellEntry1991	REE
