target entry name	locus type
WeinellEntry3218	short exon fragment
WeinellEntry3279	short exon fragment
WeinellEntry3335	short exon fragment
WeinellEntry3343	short exon fragment
WeinellEntry3349	short exon fragment
WeinellEntry3352	short exon fragment
WeinellEntry3362	short exon fragment
WeinellEntry3368	short exon fragment
WeinellEntry3388	short exon fragment
WeinellEntry3469	short exon fragment
WeinellEntry3493	short exon fragment
WeinellEntry3522	short exon fragment
WeinellEntry3543	short exon fragment
WeinellEntry3555	short exon fragment
WeinellEntry3596	short exon fragment
WeinellEntry3625	short exon fragment
WeinellEntry3732	short exon fragment
WeinellEntry3759	short exon fragment
WeinellEntry3775	short exon fragment
WeinellEntry3794	short exon fragment
WeinellEntry3830	short exon fragment
WeinellEntry3836	short exon fragment
WeinellEntry3846	short exon fragment
WeinellEntry3901	short exon fragment
WeinellEntry3916	short exon fragment
WeinellEntry3951	short exon fragment
WeinellEntry3983	short exon fragment
WeinellEntry4012	short exon fragment
WeinellEntry4048	short exon fragment
WeinellEntry4091	short exon fragment
WeinellEntry4125	short exon fragment
WeinellEntry4155	short exon fragment
WeinellEntry4160	short exon fragment
WeinellEntry4161	short exon fragment
WeinellEntry4173	short exon fragment
WeinellEntry4227	short exon fragment
WeinellEntry4231	short exon fragment
WeinellEntry4269	short exon fragment
WeinellEntry4296	short exon fragment
WeinellEntry4302	short exon fragment
WeinellEntry4348	short exon fragment
WeinellEntry4396	short exon fragment
WeinellEntry4459	short exon fragment
WeinellEntry4473	short exon fragment
WeinellEntry4477	short exon fragment
WeinellEntry4485	short exon fragment
WeinellEntry4508	short exon fragment
WeinellEntry4541	short exon fragment
WeinellEntry4556	short exon fragment
WeinellEntry4582	short exon fragment
WeinellEntry4624	short exon fragment
WeinellEntry4644	short exon fragment
WeinellEntry4722	short exon fragment
WeinellEntry4775	short exon fragment
WeinellEntry4785	short exon fragment
WeinellEntry4788	short exon fragment
WeinellEntry4839	short exon fragment
WeinellEntry4845	short exon fragment
WeinellEntry4934	short exon fragment
WeinellEntry4964	short exon fragment
WeinellEntry5025	short exon fragment
WeinellEntry5035	short exon fragment
WeinellEntry5055	short exon fragment
WeinellEntry5069	short exon fragment
WeinellEntry5096	short exon fragment
WeinellEntry5101	short exon fragment
WeinellEntry5176	short exon fragment
WeinellEntry5279	vision
WeinellEntry5301	vision
WeinellEntry5313	vision
WeinellEntry5326	vision
WeinellEntry5370	vision
WeinellEntry5395	vision
WeinellEntry5398	vision
