target entry name	locus type
WeinellEntry2	REE
WeinellEntry3	REE
WeinellEntry13	REE
WeinellEntry32	REE
WeinellEntry36	REE
WeinellEntry40	REE
WeinellEntry42	REE
WeinellEntry59	REE
WeinellEntry60	REE
WeinellEntry67	REE
WeinellEntry73	REE
WeinellEntry74	REE
WeinellEntry77	REE
WeinellEntry82	REE
WeinellEntry83	REE
WeinellEntry116	REE
WeinellEntry118	REE
WeinellEntry123	REE
WeinellEntry160	REE
WeinellEntry163	REE
WeinellEntry174	REE
WeinellEntry176	REE
WeinellEntry204	REE
WeinellEntry221	REE
WeinellEntry236	REE
WeinellEntry237	REE
WeinellEntry242	REE
WeinellEntry252	REE
WeinellEntry281	REE
WeinellEntry305	REE
WeinellEntry318	REE
WeinellEntry335	REE
WeinellEntry336	REE
WeinellEntry374	REE
WeinellEntry375	REE
WeinellEntry405	REE
WeinellEntry409	REE
WeinellEntry414	REE
WeinellEntry503	REE
WeinellEntry548	REE
WeinellEntry574	REE
WeinellEntry576	REE
WeinellEntry580	REE
WeinellEntry583	REE
WeinellEntry585	REE
WeinellEntry591	REE
WeinellEntry600	REE
WeinellEntry612	REE
WeinellEntry620	REE
WeinellEntry626	REE
WeinellEntry641	REE
WeinellEntry711	REE
WeinellEntry751	REE
WeinellEntry779	REE
WeinellEntry836	REE
WeinellEntry886	REE
WeinellEntry910	REE
WeinellEntry939	REE
WeinellEntry942	REE
WeinellEntry976	REE
WeinellEntry979	REE
WeinellEntry992	REE
WeinellEntry1024	REE
WeinellEntry1039	REE
WeinellEntry1044	REE
WeinellEntry1080	REE
WeinellEntry1110	REE
WeinellEntry1137	REE
WeinellEntry1171	REE
WeinellEntry1218	REE
WeinellEntry1232	REE
WeinellEntry1248	REE
WeinellEntry1262	REE
WeinellEntry1297	REE
WeinellEntry1329	REE
WeinellEntry1338	REE
WeinellEntry1347	REE
WeinellEntry1379	REE
WeinellEntry1412	REE
WeinellEntry1487	REE
WeinellEntry1523	REE
WeinellEntry1558	REE
WeinellEntry1572	REE
WeinellEntry1591	REE
WeinellEntry1597	REE
WeinellEntry1608	REE
WeinellEntry1666	REE
WeinellEntry1692	REE
WeinellEntry1742	REE
WeinellEntry1764	REE
WeinellEntry1922	REE
WeinellEntry1941	REE
WeinellEntry1946	REE
WeinellEntry1964	REE
WeinellEntry2002	REE
WeinellEntry2029	REE
WeinellEntry2030	REE
WeinellEntry2031	REE
WeinellEntry2032	REE
WeinellEntry2034	REE
WeinellEntry2035	REE
WeinellEntry2036	REE
WeinellEntry2037	REE
WeinellEntry2038	REE
WeinellEntry2039	REE
WeinellEntry2041	REE
WeinellEntry2042	REE
WeinellEntry2043	REE
WeinellEntry2044	REE
WeinellEntry2045	REE
WeinellEntry2046	REE
WeinellEntry2047	REE
WeinellEntry2048	REE
WeinellEntry2049	REE
WeinellEntry2050	REE
WeinellEntry2051	REE
WeinellEntry2052	REE
WeinellEntry2053	REE
WeinellEntry2054	REE
WeinellEntry2055	REE
WeinellEntry2056	REE
WeinellEntry2057	REE
WeinellEntry2058	REE
WeinellEntry2059	REE
WeinellEntry2060	REE
WeinellEntry2062	REE
WeinellEntry2063	REE
WeinellEntry2064	REE
WeinellEntry2065	REE
WeinellEntry2066	REE
WeinellEntry2067	REE
WeinellEntry2068	REE
WeinellEntry2069	REE
WeinellEntry2070	REE
WeinellEntry2071	REE
WeinellEntry2072	REE
WeinellEntry2073	REE
WeinellEntry2074	REE
WeinellEntry2075	REE
WeinellEntry2076	REE
WeinellEntry2077	REE
WeinellEntry2078	REE
WeinellEntry2079	REE
WeinellEntry2080	REE
WeinellEntry2081	REE
WeinellEntry2082	REE
WeinellEntry2083	REE
WeinellEntry2084	REE
WeinellEntry2085	REE
WeinellEntry2086	REE
WeinellEntry2087	REE
WeinellEntry2088	REE
WeinellEntry2089	REE
WeinellEntry2090	REE
WeinellEntry2091	REE
WeinellEntry2092	REE
WeinellEntry2093	REE
WeinellEntry2094	REE
WeinellEntry2095	REE
WeinellEntry2096	REE
WeinellEntry2097	REE
WeinellEntry2098	REE
WeinellEntry2099	REE
WeinellEntry2101	REE
WeinellEntry2102	REE
WeinellEntry2103	REE
WeinellEntry2104	REE
WeinellEntry2105	REE
WeinellEntry2106	REE
WeinellEntry2107	REE
WeinellEntry2108	REE
WeinellEntry2109	REE
WeinellEntry2111	REE
WeinellEntry2112	REE
WeinellEntry2113	REE
WeinellEntry2114	REE
WeinellEntry2115	REE
WeinellEntry2116	REE
WeinellEntry2117	REE
WeinellEntry2118	REE
WeinellEntry2119	REE
WeinellEntry2120	REE
WeinellEntry2121	REE
WeinellEntry2122	REE
WeinellEntry2123	REE
WeinellEntry2124	REE
WeinellEntry2125	REE
WeinellEntry2126	REE
WeinellEntry2127	REE
WeinellEntry2128	REE
WeinellEntry2129	REE
WeinellEntry2130	REE
WeinellEntry2131	REE
WeinellEntry2132	REE
WeinellEntry2133	REE
WeinellEntry2134	REE
WeinellEntry2135	REE
WeinellEntry2136	REE
WeinellEntry2137	REE
WeinellEntry2138	REE
WeinellEntry2139	REE
WeinellEntry2140	REE
WeinellEntry2141	REE
WeinellEntry2142	REE
WeinellEntry2143	REE
WeinellEntry2144	REE
WeinellEntry2145	REE
WeinellEntry2146	REE
WeinellEntry2147	REE
WeinellEntry2148	REE
WeinellEntry2149	REE
WeinellEntry2150	REE
WeinellEntry2492	UCE
WeinellEntry2495	UCE
WeinellEntry2496	UCE
WeinellEntry2497	UCE
WeinellEntry2499	UCE
WeinellEntry2717	UCE
WeinellEntry2884	UCE
WeinellEntry3132	UCE
WeinellEntry3146	UCE
WeinellEntry3149	UCE
WeinellEntry3153	short exon fragment
WeinellEntry3154	short exon fragment
WeinellEntry3155	short exon fragment
WeinellEntry3156	short exon fragment
WeinellEntry3157	short exon fragment
WeinellEntry3158	short exon fragment
WeinellEntry3159	short exon fragment
WeinellEntry3160	short exon fragment
WeinellEntry3161	short exon fragment
WeinellEntry3162	short exon fragment
WeinellEntry3163	short exon fragment
WeinellEntry3164	short exon fragment
WeinellEntry3165	short exon fragment
WeinellEntry3166	short exon fragment
WeinellEntry3167	short exon fragment
WeinellEntry3168	short exon fragment
WeinellEntry3169	short exon fragment
WeinellEntry3170	short exon fragment
WeinellEntry3171	short exon fragment
WeinellEntry3172	short exon fragment
WeinellEntry3173	short exon fragment
WeinellEntry3174	short exon fragment
WeinellEntry3175	short exon fragment
WeinellEntry3176	short exon fragment
WeinellEntry3177	short exon fragment
WeinellEntry3178	short exon fragment
WeinellEntry3179	short exon fragment
WeinellEntry3180	short exon fragment
WeinellEntry3181	short exon fragment
WeinellEntry3182	short exon fragment
WeinellEntry3183	short exon fragment
WeinellEntry3184	short exon fragment
WeinellEntry3185	short exon fragment
WeinellEntry3186	short exon fragment
WeinellEntry3187	short exon fragment
WeinellEntry3188	short exon fragment
WeinellEntry3189	short exon fragment
WeinellEntry3190	short exon fragment
WeinellEntry3191	short exon fragment
WeinellEntry3192	short exon fragment
WeinellEntry3193	short exon fragment
WeinellEntry3194	short exon fragment
WeinellEntry3195	short exon fragment
WeinellEntry3196	short exon fragment
