seqsPerLocus samplesPerLocus
supergroup1 35 35
supergroup2 201 35
supergroup3 158 63
supergroup4 35 35
supergroup5 36 35
supergroup6 46 35
supergroup7 95 52
supergroup8 35 35
supergroup9 115 49
supergroup10 35 35
supergroup11 9627 35
supergroup12 132 35
supergroup13 50 35
supergroup14 57 52
supergroup15 79 35
supergroup16 34 33
supergroup17 70 35
supergroup18 15 15
supergroup19 57 50
supergroup20 108 35
supergroup21 559 35
supergroup22 39 36
supergroup23 34 34
supergroup24 36 35
supergroup25 57 52
supergroup26 34 32
supergroup27 63 50
supergroup28 126 35
supergroup29 35 35
supergroup30 33 33
supergroup31 33 32
supergroup32 100 42
supergroup33 50 35
supergroup34 41 34
supergroup35 39 35
supergroup36 46 35
supergroup37 56 53
supergroup38 32 32
supergroup39 13 13
supergroup40 66 35
supergroup41 56 46
supergroup42 34 33
supergroup43 167 35
supergroup44 42 34
supergroup45 53 34
supergroup46 68 63
supergroup47 41 35
supergroup48 129 35
supergroup49 169 35
supergroup50 38 34
supergroup51 52 44
supergroup52 40 38
supergroup53 37 35
supergroup54 101 35
supergroup55 47 35
supergroup56 38 35
supergroup57 60 35
supergroup58 38 36
supergroup59 44 35
supergroup60 42 35
supergroup61 162 35
supergroup62 36 34
supergroup63 119 35
supergroup64 35 34
supergroup65 34 34
supergroup66 68 56
supergroup67 62 50
supergroup68 361 35
supergroup69 71 35
supergroup70 107 57
supergroup71 66 52
supergroup72 42 40
supergroup73 38 34
supergroup74 35 35
supergroup75 69 35
supergroup76 33 33
supergroup77 40 35
supergroup78 34 34
supergroup79 39 34
supergroup80 66 35
supergroup81 155 60
supergroup82 51 34
supergroup83 32 32
supergroup84 35 35
supergroup85 33 33
supergroup86 81 35
supergroup87 305 35
supergroup88 54 36
supergroup89 33 27
supergroup90 43 34
supergroup91 35 35
supergroup92 36 35
supergroup93 35 35
supergroup94 34 34
supergroup95 58 40
supergroup96 38 35
supergroup97 39 37
supergroup98 35 35
supergroup99 48 45
supergroup100 48 40
supergroup101 33 33
supergroup102 40 35
supergroup103 61 41
supergroup104 53 34
supergroup105 88 44
supergroup106 39 35
supergroup107 141 35
supergroup108 35 35
supergroup109 84 35
supergroup110 44 36
supergroup111 44 29
supergroup112 35 35
supergroup113 50 44
supergroup114 46 41
supergroup115 40 38
supergroup116 53 41
supergroup117 37 34
supergroup118 130 35
supergroup119 35 35
supergroup120 42 37
supergroup121 42 35
supergroup122 96 35
supergroup123 13 13
supergroup124 49 43
supergroup125 35 35
supergroup126 35 35
supergroup127 35 35
supergroup128 118 35
supergroup129 77 63
supergroup130 99 35
supergroup131 36 35
supergroup132 35 35
supergroup133 35 35
supergroup134 34 34
supergroup135 35 35
supergroup136 77 38
supergroup137 49 34
supergroup138 35 35
supergroup139 39 37
supergroup140 35 35
supergroup141 57 35
supergroup142 34 34
supergroup143 67 35
supergroup144 81 48
supergroup145 79 40
supergroup146 63 40
supergroup147 36 35
supergroup148 105 35
supergroup149 35 35
supergroup150 74 35
supergroup151 42 31
supergroup152 52 43
supergroup153 99 36
supergroup154 42 40
supergroup155 34 34
supergroup156 66 34
supergroup157 131 35
supergroup158 96 35
supergroup159 39 35
supergroup160 35 35
supergroup161 36 35
supergroup162 35 35
supergroup163 35 35
supergroup164 38 36
supergroup165 48 35
supergroup166 40 35
supergroup167 34 34
supergroup168 57 44
supergroup169 61 34
supergroup170 99 49
supergroup171 45 35
supergroup172 55 35
supergroup173 40 36
supergroup174 100 63
supergroup175 35 35
supergroup176 67 35
supergroup177 33 32
supergroup178 41 37
supergroup179 44 42
supergroup180 42 40
supergroup181 67 35
supergroup182 37 35
supergroup183 58 35
supergroup184 35 35
supergroup185 54 35
supergroup186 42 35
supergroup187 55 35
supergroup188 64 35
supergroup189 35 35
supergroup190 38 35
supergroup191 51 48
supergroup192 33 31
supergroup193 36 35
supergroup194 148 35
supergroup195 35 35
supergroup196 37 36
supergroup197 38 34
supergroup198 35 35
supergroup199 43 36
supergroup200 94 36
supergroup201 37 35
supergroup202 35 35
supergroup203 146 35
supergroup204 35 35
supergroup205 69 35
supergroup206 66 61
supergroup207 62 34
supergroup208 33 32
supergroup209 34 34
supergroup210 35 35
supergroup211 65 35
supergroup212 35 35
supergroup213 35 35
supergroup214 70 35
supergroup215 112 35
supergroup216 126 35
supergroup217 38 34
supergroup218 34 34
supergroup219 35 35
supergroup220 42 36
supergroup221 38 36
supergroup222 37 27
supergroup223 31 31
supergroup224 31 31
supergroup225 43 35
supergroup226 28 28
supergroup227 35 35
supergroup228 35 35
supergroup229 35 35
supergroup230 36 35
supergroup231 36 34
supergroup232 36 34
supergroup233 35 35
supergroup234 34 34
supergroup235 68 47
supergroup236 37 34
supergroup237 64 35
supergroup238 35 35
supergroup239 35 35
supergroup240 31 31
supergroup241 140 35
supergroup242 36 35
supergroup243 39 30
supergroup244 68 35
supergroup245 35 35
supergroup246 95 35
supergroup247 56 50
supergroup248 35 35
supergroup249 35 35
supergroup250 35 35
supergroup251 35 35
supergroup252 34 34
supergroup253 43 34
supergroup254 35 35
supergroup255 47 41
supergroup256 34 34
supergroup257 41 34
supergroup258 35 35
supergroup259 58 35
supergroup260 35 35
supergroup261 35 35
supergroup262 45 36
supergroup263 35 35
supergroup264 35 35
supergroup265 35 35
supergroup266 59 35
supergroup267 43 35
supergroup268 35 35
supergroup269 35 35
supergroup270 120 35
supergroup271 39 34
supergroup272 33 33
supergroup273 35 35
supergroup274 33 33
supergroup275 35 34
supergroup276 66 35
supergroup277 35 35
supergroup278 35 35
supergroup279 68 35
supergroup280 35 35
supergroup281 97 35
supergroup282 34 34
supergroup283 33 33
supergroup284 37 35
supergroup285 35 35
supergroup286 35 35
supergroup287 34 34
supergroup288 63 35
supergroup289 35 35
supergroup290 34 34
supergroup291 43 37
supergroup292 51 43
supergroup293 48 37
supergroup294 38 36
supergroup295 32 32
supergroup296 39 36
supergroup297 35 35
supergroup298 35 35
supergroup299 36 34
supergroup300 34 34
supergroup301 38 36
supergroup302 36 35
supergroup303 167 35
supergroup304 34 34
supergroup305 36 35
supergroup306 35 35
supergroup307 51 42
supergroup308 99 35
supergroup309 35 35
supergroup310 35 35
supergroup311 37 35
supergroup312 35 35
supergroup313 48 35
supergroup314 50 35
supergroup315 54 35
supergroup316 44 35
supergroup317 57 35
supergroup318 222 35
supergroup319 31 31
supergroup320 34 34
supergroup321 185 35
supergroup322 36 34
supergroup323 35 35
supergroup324 33 33
supergroup325 66 34
supergroup326 33 33
supergroup327 35 33
supergroup328 35 35
supergroup329 138 63
supergroup330 35 35
supergroup331 73 35
supergroup332 35 35
supergroup333 42 40
supergroup334 35 35
supergroup335 35 35
supergroup336 47 29
supergroup337 34 34
supergroup338 35 35
supergroup339 35 35
supergroup340 54 42
supergroup341 43 35
supergroup342 37 35
supergroup343 35 35
supergroup344 41 35
supergroup345 27 27
supergroup346 61 35
supergroup347 97 35
supergroup348 37 34
supergroup349 35 35
supergroup350 35 35
supergroup351 45 35
supergroup352 36 35
supergroup353 68 35
supergroup354 30 30
supergroup355 53 35
supergroup356 35 35
supergroup357 35 35
supergroup358 50 48
supergroup359 34 34
supergroup360 62 35
supergroup361 35 35
supergroup362 35 35
supergroup363 58 39
supergroup364 56 35
supergroup365 50 35
supergroup366 45 34
supergroup367 68 35
supergroup368 36 35
supergroup369 28 28
supergroup370 35 35
supergroup371 74 35
supergroup372 68 35
supergroup373 35 35
supergroup374 100 35
supergroup375 48 41
supergroup376 35 35
supergroup377 50 34
supergroup378 50 35
supergroup379 12 10
supergroup380 41 35
supergroup381 57 49
supergroup382 33 33
supergroup383 35 35
supergroup384 45 34
supergroup385 35 35
supergroup386 35 35
supergroup387 37 35
supergroup388 54 35
supergroup389 34 34
supergroup390 32 32
supergroup391 35 35
supergroup392 98 35
