Bait	Species
WeinellEntry1	Thamnophis_sirtalis
WeinellEntry4	Thamnophis_sirtalis
WeinellEntry6	Thamnophis_sirtalis
WeinellEntry7	Thamnophis_sirtalis
WeinellEntry9	Thamnophis_sirtalis
WeinellEntry12	Thamnophis_sirtalis
WeinellEntry16	Thamnophis_sirtalis
WeinellEntry17	Thamnophis_sirtalis
WeinellEntry18	Thamnophis_sirtalis
WeinellEntry20	Thamnophis_sirtalis
WeinellEntry21	Thamnophis_sirtalis
WeinellEntry22	Thamnophis_sirtalis
WeinellEntry24	Thamnophis_sirtalis
WeinellEntry25	Thamnophis_sirtalis
WeinellEntry26	Thamnophis_sirtalis
WeinellEntry27	Thamnophis_sirtalis
WeinellEntry30	Thamnophis_sirtalis
WeinellEntry31	Thamnophis_sirtalis
WeinellEntry33	Thamnophis_sirtalis
WeinellEntry35	Thamnophis_sirtalis
WeinellEntry37	Thamnophis_sirtalis
WeinellEntry39	Thamnophis_sirtalis
WeinellEntry41	Thamnophis_sirtalis
WeinellEntry43	Thamnophis_sirtalis
WeinellEntry46	Thamnophis_sirtalis
WeinellEntry47	Thamnophis_sirtalis
WeinellEntry49	Thamnophis_sirtalis
WeinellEntry50	Thamnophis_sirtalis
WeinellEntry51	Thamnophis_sirtalis
WeinellEntry52	Thamnophis_sirtalis
WeinellEntry53	Thamnophis_sirtalis
WeinellEntry54	Thamnophis_sirtalis
WeinellEntry55	Thamnophis_sirtalis
WeinellEntry56	Thamnophis_sirtalis
WeinellEntry58	Thamnophis_sirtalis
WeinellEntry61	Thamnophis_sirtalis
WeinellEntry62	Thamnophis_sirtalis
WeinellEntry63	Thamnophis_sirtalis
WeinellEntry64	Thamnophis_sirtalis
WeinellEntry65	Thamnophis_sirtalis
WeinellEntry69	Thamnophis_sirtalis
WeinellEntry70	Thamnophis_sirtalis
WeinellEntry71	Thamnophis_sirtalis
WeinellEntry72	Thamnophis_sirtalis
WeinellEntry75	Thamnophis_sirtalis
WeinellEntry76	Thamnophis_sirtalis
WeinellEntry79	Thamnophis_sirtalis
WeinellEntry80	Thamnophis_sirtalis
WeinellEntry84	Thamnophis_sirtalis
WeinellEntry86	Thamnophis_sirtalis
WeinellEntry87	Thamnophis_sirtalis
WeinellEntry88	Thamnophis_sirtalis
WeinellEntry89	Thamnophis_sirtalis
WeinellEntry90	Thamnophis_sirtalis
WeinellEntry92	Thamnophis_sirtalis
WeinellEntry93	Thamnophis_sirtalis
WeinellEntry94	Thamnophis_sirtalis
WeinellEntry95	Thamnophis_sirtalis
WeinellEntry97	Thamnophis_sirtalis
WeinellEntry99	Thamnophis_sirtalis
WeinellEntry100	Thamnophis_sirtalis
WeinellEntry101	Thamnophis_sirtalis
WeinellEntry102	Thamnophis_sirtalis
WeinellEntry103	Thamnophis_sirtalis
WeinellEntry104	Thamnophis_sirtalis
WeinellEntry106	Thamnophis_sirtalis
WeinellEntry107	Thamnophis_sirtalis
WeinellEntry108	Thamnophis_sirtalis
WeinellEntry110	Thamnophis_sirtalis
WeinellEntry111	Thamnophis_sirtalis
WeinellEntry114	Thamnophis_sirtalis
WeinellEntry117	Thamnophis_sirtalis
WeinellEntry119	Thamnophis_sirtalis
WeinellEntry120	Thamnophis_sirtalis
WeinellEntry121	Thamnophis_sirtalis
WeinellEntry122	Thamnophis_sirtalis
WeinellEntry124	Thamnophis_sirtalis
WeinellEntry126	Thamnophis_sirtalis
WeinellEntry127	Thamnophis_sirtalis
WeinellEntry130	Thamnophis_sirtalis
WeinellEntry131	Thamnophis_sirtalis
WeinellEntry132	Thamnophis_sirtalis
WeinellEntry133	Thamnophis_sirtalis
WeinellEntry134	Thamnophis_sirtalis
WeinellEntry135	Thamnophis_sirtalis
WeinellEntry137	Thamnophis_sirtalis
WeinellEntry138	Thamnophis_sirtalis
WeinellEntry139	Thamnophis_sirtalis
WeinellEntry140	Thamnophis_sirtalis
WeinellEntry141	Thamnophis_sirtalis
WeinellEntry142	Thamnophis_sirtalis
WeinellEntry143	Thamnophis_sirtalis
WeinellEntry144	Thamnophis_sirtalis
WeinellEntry145	Thamnophis_sirtalis
WeinellEntry146	Thamnophis_sirtalis
WeinellEntry147	Thamnophis_sirtalis
WeinellEntry148	Thamnophis_sirtalis
WeinellEntry149	Thamnophis_sirtalis
WeinellEntry152	Thamnophis_sirtalis
WeinellEntry153	Thamnophis_sirtalis
WeinellEntry154	Thamnophis_sirtalis
WeinellEntry155	Thamnophis_sirtalis
WeinellEntry156	Thamnophis_sirtalis
WeinellEntry159	Thamnophis_sirtalis
WeinellEntry161	Thamnophis_sirtalis
WeinellEntry162	Thamnophis_sirtalis
WeinellEntry164	Thamnophis_sirtalis
WeinellEntry165	Thamnophis_sirtalis
WeinellEntry166	Thamnophis_sirtalis
WeinellEntry167	Thamnophis_sirtalis
WeinellEntry168	Thamnophis_sirtalis
WeinellEntry169	Thamnophis_sirtalis
WeinellEntry170	Thamnophis_sirtalis
WeinellEntry173	Thamnophis_sirtalis
WeinellEntry175	Thamnophis_sirtalis
WeinellEntry177	Thamnophis_sirtalis
WeinellEntry178	Thamnophis_sirtalis
WeinellEntry180	Thamnophis_sirtalis
WeinellEntry181	Thamnophis_sirtalis
WeinellEntry183	Thamnophis_sirtalis
WeinellEntry184	Thamnophis_sirtalis
WeinellEntry185	Thamnophis_sirtalis
WeinellEntry186	Thamnophis_sirtalis
WeinellEntry188	Thamnophis_sirtalis
WeinellEntry190	Thamnophis_sirtalis
WeinellEntry192	Thamnophis_sirtalis
WeinellEntry193	Thamnophis_sirtalis
WeinellEntry194	Thamnophis_sirtalis
WeinellEntry197	Thamnophis_sirtalis
WeinellEntry198	Thamnophis_sirtalis
WeinellEntry199	Thamnophis_sirtalis
WeinellEntry200	Thamnophis_sirtalis
WeinellEntry201	Thamnophis_sirtalis
WeinellEntry202	Thamnophis_sirtalis
WeinellEntry203	Thamnophis_sirtalis
WeinellEntry206	Thamnophis_sirtalis
WeinellEntry207	Thamnophis_sirtalis
WeinellEntry209	Thamnophis_sirtalis
WeinellEntry210	Thamnophis_sirtalis
WeinellEntry211	Thamnophis_sirtalis
WeinellEntry212	Thamnophis_sirtalis
WeinellEntry213	Thamnophis_sirtalis
WeinellEntry214	Thamnophis_sirtalis
WeinellEntry215	Thamnophis_sirtalis
WeinellEntry216	Thamnophis_sirtalis
WeinellEntry217	Thamnophis_sirtalis
WeinellEntry218	Thamnophis_sirtalis
WeinellEntry219	Thamnophis_sirtalis
WeinellEntry220	Thamnophis_sirtalis
WeinellEntry222	Thamnophis_sirtalis
WeinellEntry223	Thamnophis_sirtalis
WeinellEntry224	Thamnophis_sirtalis
WeinellEntry226	Thamnophis_sirtalis
WeinellEntry227	Thamnophis_sirtalis
WeinellEntry229	Thamnophis_sirtalis
WeinellEntry230	Thamnophis_sirtalis
WeinellEntry231	Thamnophis_sirtalis
WeinellEntry232	Thamnophis_sirtalis
WeinellEntry233	Thamnophis_sirtalis
WeinellEntry234	Thamnophis_sirtalis
WeinellEntry235	Thamnophis_sirtalis
WeinellEntry238	Thamnophis_sirtalis
