tree1	tree2	RF
astral_chromosome-1.tree	astral_chromosome-2.tree	14
astral_chromosome-1.tree	astral_chromosome-3.tree	10
astral_chromosome-2.tree	astral_chromosome-3.tree	16
astral_chromosome-1.tree	astral_chromosome-4.tree	18
astral_chromosome-2.tree	astral_chromosome-4.tree	18
astral_chromosome-3.tree	astral_chromosome-4.tree	10
astral_chromosome-1.tree	astral_chromosome-5.tree	18
astral_chromosome-2.tree	astral_chromosome-5.tree	18
astral_chromosome-3.tree	astral_chromosome-5.tree	12
astral_chromosome-4.tree	astral_chromosome-5.tree	18
astral_chromosome-1.tree	astral_chromosome-6.tree	16
astral_chromosome-2.tree	astral_chromosome-6.tree	18
astral_chromosome-3.tree	astral_chromosome-6.tree	16
astral_chromosome-4.tree	astral_chromosome-6.tree	22
astral_chromosome-5.tree	astral_chromosome-6.tree	20
astral_chromosome-1.tree	astral_chromosome-7.tree	22
astral_chromosome-2.tree	astral_chromosome-7.tree	22
astral_chromosome-3.tree	astral_chromosome-7.tree	18
astral_chromosome-4.tree	astral_chromosome-7.tree	16
astral_chromosome-5.tree	astral_chromosome-7.tree	22
astral_chromosome-6.tree	astral_chromosome-7.tree	22
astral_chromosome-1.tree	astral_chromosome-m1.tree	28
astral_chromosome-2.tree	astral_chromosome-m1.tree	30
astral_chromosome-3.tree	astral_chromosome-m1.tree	28
astral_chromosome-4.tree	astral_chromosome-m1.tree	22
astral_chromosome-5.tree	astral_chromosome-m1.tree	28
astral_chromosome-6.tree	astral_chromosome-m1.tree	28
astral_chromosome-7.tree	astral_chromosome-m1.tree	28
astral_chromosome-1.tree	astral_chromosome-m10.tree	26
astral_chromosome-2.tree	astral_chromosome-m10.tree	26
astral_chromosome-3.tree	astral_chromosome-m10.tree	28
astral_chromosome-4.tree	astral_chromosome-m10.tree	20
astral_chromosome-5.tree	astral_chromosome-m10.tree	30
astral_chromosome-6.tree	astral_chromosome-m10.tree	30
astral_chromosome-7.tree	astral_chromosome-m10.tree	20
astral_chromosome-m1.tree	astral_chromosome-m10.tree	24
astral_chromosome-1.tree	astral_chromosome-m11.tree	28
astral_chromosome-2.tree	astral_chromosome-m11.tree	32
astral_chromosome-3.tree	astral_chromosome-m11.tree	30
astral_chromosome-4.tree	astral_chromosome-m11.tree	30
astral_chromosome-5.tree	astral_chromosome-m11.tree	26
astral_chromosome-6.tree	astral_chromosome-m11.tree	24
astral_chromosome-7.tree	astral_chromosome-m11.tree	28
astral_chromosome-m1.tree	astral_chromosome-m11.tree	28
astral_chromosome-m10.tree	astral_chromosome-m11.tree	28
astral_chromosome-1.tree	astral_chromosome-m2.tree	30
astral_chromosome-2.tree	astral_chromosome-m2.tree	28
astral_chromosome-3.tree	astral_chromosome-m2.tree	28
astral_chromosome-4.tree	astral_chromosome-m2.tree	28
astral_chromosome-5.tree	astral_chromosome-m2.tree	26
astral_chromosome-6.tree	astral_chromosome-m2.tree	24
astral_chromosome-7.tree	astral_chromosome-m2.tree	32
astral_chromosome-m1.tree	astral_chromosome-m2.tree	26
astral_chromosome-m10.tree	astral_chromosome-m2.tree	32
astral_chromosome-m11.tree	astral_chromosome-m2.tree	34
astral_chromosome-1.tree	astral_chromosome-m3.tree	14
astral_chromosome-2.tree	astral_chromosome-m3.tree	16
astral_chromosome-3.tree	astral_chromosome-m3.tree	12
astral_chromosome-4.tree	astral_chromosome-m3.tree	18
astral_chromosome-5.tree	astral_chromosome-m3.tree	12
astral_chromosome-6.tree	astral_chromosome-m3.tree	18
astral_chromosome-7.tree	astral_chromosome-m3.tree	20
astral_chromosome-m1.tree	astral_chromosome-m3.tree	26
astral_chromosome-m10.tree	astral_chromosome-m3.tree	24
astral_chromosome-m11.tree	astral_chromosome-m3.tree	28
astral_chromosome-m2.tree	astral_chromosome-m3.tree	28
astral_chromosome-1.tree	astral_chromosome-m4.tree	20
astral_chromosome-2.tree	astral_chromosome-m4.tree	16
astral_chromosome-3.tree	astral_chromosome-m4.tree	22
astral_chromosome-4.tree	astral_chromosome-m4.tree	18
astral_chromosome-5.tree	astral_chromosome-m4.tree	24
astral_chromosome-6.tree	astral_chromosome-m4.tree	18
astral_chromosome-7.tree	astral_chromosome-m4.tree	20
astral_chromosome-m1.tree	astral_chromosome-m4.tree	24
astral_chromosome-m10.tree	astral_chromosome-m4.tree	20
astral_chromosome-m11.tree	astral_chromosome-m4.tree	26
astral_chromosome-m2.tree	astral_chromosome-m4.tree	34
astral_chromosome-m3.tree	astral_chromosome-m4.tree	20
astral_chromosome-1.tree	astral_chromosome-m5.tree	30
astral_chromosome-2.tree	astral_chromosome-m5.tree	22
astral_chromosome-3.tree	astral_chromosome-m5.tree	24
astral_chromosome-4.tree	astral_chromosome-m5.tree	18
