"ScaffoldName"	"RefSeq.ScaffoldAccession"
"Thamnophis_sirtalis_GCF_001077635.1_read1"	"NW_013657680.1"
"Thamnophis_sirtalis_GCF_001077635.1_read2"	"NW_013657681.1"
"Thamnophis_sirtalis_GCF_001077635.1_read3"	"NW_013657682.1"
"Thamnophis_sirtalis_GCF_001077635.1_read4"	"NW_013657683.1"
"Thamnophis_sirtalis_GCF_001077635.1_read5"	"NW_013657684.1"
"Thamnophis_sirtalis_GCF_001077635.1_read6"	"NW_013657685.1"
"Thamnophis_sirtalis_GCF_001077635.1_read7"	"NW_013657686.1"
"Thamnophis_sirtalis_GCF_001077635.1_read8"	"NW_013657687.1"
"Thamnophis_sirtalis_GCF_001077635.1_read9"	"NW_013657688.1"
"Thamnophis_sirtalis_GCF_001077635.1_read10"	"NW_013657689.1"
"Thamnophis_sirtalis_GCF_001077635.1_read11"	"NW_013657690.1"
"Thamnophis_sirtalis_GCF_001077635.1_read12"	"NW_013657691.1"
"Thamnophis_sirtalis_GCF_001077635.1_read13"	"NW_013657692.1"
"Thamnophis_sirtalis_GCF_001077635.1_read14"	"NW_013657693.1"
"Thamnophis_sirtalis_GCF_001077635.1_read15"	"NW_013657694.1"
"Thamnophis_sirtalis_GCF_001077635.1_read16"	"NW_013657695.1"
"Thamnophis_sirtalis_GCF_001077635.1_read17"	"NW_013657696.1"
"Thamnophis_sirtalis_GCF_001077635.1_read18"	"NW_013657697.1"
"Thamnophis_sirtalis_GCF_001077635.1_read19"	"NW_013657698.1"
"Thamnophis_sirtalis_GCF_001077635.1_read20"	"NW_013657699.1"
"Thamnophis_sirtalis_GCF_001077635.1_read21"	"NW_013657700.1"
"Thamnophis_sirtalis_GCF_001077635.1_read22"	"NW_013657701.1"
"Thamnophis_sirtalis_GCF_001077635.1_read23"	"NW_013657702.1"
"Thamnophis_sirtalis_GCF_001077635.1_read24"	"NW_013657703.1"
"Thamnophis_sirtalis_GCF_001077635.1_read25"	"NW_013657704.1"
"Thamnophis_sirtalis_GCF_001077635.1_read26"	"NW_013657705.1"
"Thamnophis_sirtalis_GCF_001077635.1_read27"	"NW_013657706.1"
"Thamnophis_sirtalis_GCF_001077635.1_read28"	"NW_013657707.1"
"Thamnophis_sirtalis_GCF_001077635.1_read29"	"NW_013657708.1"
"Thamnophis_sirtalis_GCF_001077635.1_read30"	"NW_013657709.1"
"Thamnophis_sirtalis_GCF_001077635.1_read31"	"NW_013657710.1"
"Thamnophis_sirtalis_GCF_001077635.1_read32"	"NW_013657711.1"
"Thamnophis_sirtalis_GCF_001077635.1_read33"	"NW_013657712.1"
"Thamnophis_sirtalis_GCF_001077635.1_read34"	"NW_013657713.1"
"Thamnophis_sirtalis_GCF_001077635.1_read35"	"NW_013657714.1"
"Thamnophis_sirtalis_GCF_001077635.1_read36"	"NW_013657715.1"
"Thamnophis_sirtalis_GCF_001077635.1_read37"	"NW_013657716.1"
"Thamnophis_sirtalis_GCF_001077635.1_read38"	"NW_013657717.1"
"Thamnophis_sirtalis_GCF_001077635.1_read39"	"NW_013657718.1"
"Thamnophis_sirtalis_GCF_001077635.1_read40"	"NW_013657719.1"
"Thamnophis_sirtalis_GCF_001077635.1_read41"	"NW_013657720.1"
"Thamnophis_sirtalis_GCF_001077635.1_read42"	"NW_013657721.1"
"Thamnophis_sirtalis_GCF_001077635.1_read43"	"NW_013657722.1"
"Thamnophis_sirtalis_GCF_001077635.1_read44"	"NW_013657723.1"
"Thamnophis_sirtalis_GCF_001077635.1_read45"	"NW_013657724.1"
"Thamnophis_sirtalis_GCF_001077635.1_read46"	"NW_013657725.1"
"Thamnophis_sirtalis_GCF_001077635.1_read47"	"NW_013657726.1"
"Thamnophis_sirtalis_GCF_001077635.1_read48"	"NW_013657727.1"
"Thamnophis_sirtalis_GCF_001077635.1_read49"	"NW_013657728.1"
"Thamnophis_sirtalis_GCF_001077635.1_read50"	"NW_013657729.1"
"Thamnophis_sirtalis_GCF_001077635.1_read51"	"NW_013657730.1"
"Thamnophis_sirtalis_GCF_001077635.1_read52"	"NW_013657731.1"
"Thamnophis_sirtalis_GCF_001077635.1_read53"	"NW_013657732.1"
"Thamnophis_sirtalis_GCF_001077635.1_read54"	"NW_013657733.1"
"Thamnophis_sirtalis_GCF_001077635.1_read55"	"NW_013657734.1"
"Thamnophis_sirtalis_GCF_001077635.1_read56"	"NW_013657735.1"
"Thamnophis_sirtalis_GCF_001077635.1_read57"	"NW_013657736.1"
"Thamnophis_sirtalis_GCF_001077635.1_read58"	"NW_013657737.1"
"Thamnophis_sirtalis_GCF_001077635.1_read59"	"NW_013657738.1"
"Thamnophis_sirtalis_GCF_001077635.1_read60"	"NW_013657739.1"
"Thamnophis_sirtalis_GCF_001077635.1_read61"	"NW_013657740.1"
"Thamnophis_sirtalis_GCF_001077635.1_read62"	"NW_013657741.1"
"Thamnophis_sirtalis_GCF_001077635.1_read63"	"NW_013657742.1"
"Thamnophis_sirtalis_GCF_001077635.1_read64"	"NW_013657743.1"
"Thamnophis_sirtalis_GCF_001077635.1_read65"	"NW_013657744.1"
"Thamnophis_sirtalis_GCF_001077635.1_read66"	"NW_013657745.1"
"Thamnophis_sirtalis_GCF_001077635.1_read67"	"NW_013657746.1"
"Thamnophis_sirtalis_GCF_001077635.1_read68"	"NW_013657747.1"
"Thamnophis_sirtalis_GCF_001077635.1_read69"	"NW_013657748.1"
"Thamnophis_sirtalis_GCF_001077635.1_read70"	"NW_013657749.1"
