group1	1	253163944	253171406
group2	MIC_3	24801962	24819999
group5	4	59880001	59889777
group7	MIC_5	4187527	4191850
group9	5	55470330	55479998
group10	1	373501183	373510032
group11	4	7709456	7713350
group13	2	1390859	1399998
group16	6	53532997	53538787
group17	1	235191797	235198869
group18	MIC_10	4380954	4394989
group19	2	305860002	305872234
group20	MIC_9	14300001	14312545
group21	6	40100002	40112022
group23	Z	108280400	108289240
group24	1	346406634	346419807
group26	2	142160002	142170810
group27	2	308955454	308960000
group28	MIC_9	9000004	9011383
group29	Z	118091261	118092946
group30	Z	130811962	130820000
group32	2	83240701	83258618
group33	MIC_8	1240001	1242708
group34	4	49140055	49145187
group35	2	168820001	168822805
group37	4	61984310	61998483
group38	3	223250794	223252928
group39	Z	5611325	5620000
group40	7	53093728	53099270
group44	2	308922558	308925263
group46	MIC_4	13511298	13520000
group47	2	19900593	19916363
group48	1	211845577	211859839
group49	1	351204161	351211707
group50	5	22140001	22144488
group52	Z	146186039	146189167
group57	MIC_4	4935083	4939999
group59	5	54177177	54179999
group60	3	61450493	61459999
group61	MIC_6	1124101	1139999
group62	1	27769216	27772985
group63	1	92464710	92477345
group65	7	53660453	53675292
group66	MIC_3	7245757	7258256
group69	2	10040476	10050769
group73	7	3820045	3832953
group74	MIC_3	19840001	19852796
group75	Z	114560001	114562247
group76	MIC_1	2976700	2980000
group78	MIC_5	20910027	20920000
group79	2	306544368	306558384
group80	MIC_3	3047681	3057176
group85	3	149942610	149954533
group86	MIC_2	6421197	6432386
group87	2	132466646	132479883
group88	2	296900001	296906745
group89	MIC_1	1450255	1460000
group92	1	246783145	246799967
group93	MIC_7	2166254	2173465
group95	MIC_6	3992263	3999052
group98	Z	146392889	146398189
group99	6	26908296	26917817
group100	MIC_7	766784	778264
group101	3	42784808	42787469
group102	5	35940001	35957961
group103	1	220643769	220652551
group107	1	306940001	306946949
group108	MIC_3	29808912	29811912
group109	MIC_3	25300193	25310264
group111	MIC_9	13671186	13673127
group112	5	46760947	46774864
group114	2	162410159	162419629
group115	6	51825165	51830226
group117	MIC_1	1033571	1040000
group118	5	37441367	37448228
group119	3	41282963	41291236
group121	5	50225971	50239999
group122	MIC_9	11242598	11250925
group125	2	8800009	8814971
group127	2	254020687	254027191
group129	MIC_5	20507919	20519095
group130	2	136184152	136199677
group131	MIC_1	31400002	31403745
group132	MIC_7	14146787	14158692
group133	1	208176937	208180000
group134	4	49202565	49216000
group136	1	374040001	374048835
group138	MIC_8	3405203	3416474
group139	Z	146600001	146611158
group140	MIC_9	629276	639910
group141	5	59980284	59994686
group143	2	31536650	31538697
group144	2	26363282	26374026
group145	MIC_8	2783585	2791965
group146	1	259480001	259481023
group147	3	58429272	58438364
group148	2	157761194	157771367
group149	1	26580822	26584279
group150	MIC_11	1296759	1298996
group151	MIC_3	29455744	29458602
group155	1	181192459	181199004
group157	MIC_8	2020029	2032273
group158	5	37505188	37513419
group159	MIC_6	191850	194979
group160	4	183240001	183259974
group161	5	30740001	30745901
group162	3	2500054	2509037
group163	2	274100001	274112654
group164	Z	104788249	104792088
group166	3	215262068	215277432
group167	7	39514343	39520000
group168	4	10807679	10820000
group169	MIC_5	9309580	9320000
group171	MIC_2	8200001	8203362
group172	MIC_3	23504196	23511505
group173	Z	134242488	134258907
group174	7	25470513	25478016
group175	1	253148240	253158743
group177	4	62216529	62220000
group178	7	36880002	36890278
group179	MIC_6	1462972	1471509
group180	MIC_4	19463622	19474552
group181	2	87500097	87505612
group184	2	199232278	199238374
group185	4	59400001	59403764
group186	2	16165957	16179924
group188	Z	92160001	92164954
group190	1	302060001	302071604
group191	1	347783757	347795734
group192	MIC_3	19520001	19537351
group193	MIC_7	16224718	16238899
group194	MIC_11	8233060	8239999
group195	7	29707895	29712970
group200	MIC_5	4723350	4735640
group203	MIC_3	1380001	1393333
group204	4	62961468	62970008
group205	4	74076494	74079999
group206	MIC_2	24001611	24005124
group207	Z	124716450	124720000
group209	1	69520001	69530938
group211	4	147454883	147456256
group212	1	367267219	367280000
group216	4	95800077	95810329
group217	Z	11463108	11477046
group218	7	42760229	42778156
group219	2	239745582	239760000
group221	4	84373999	84379999
group222	1	353820001	353830061
group223	MIC_9	14845546	14853011
group225	4	11044377	11051790
group226	MIC_10	2110662	2115029
group228	MIC_10	4740001	4746116
group230	MIC_7	18330799	18340000
