qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
QLTV01020729.1:c872721-871776	NW_013657994.1	82.927	492	50	12	1	483	859852	859386	6.51e-113	412
QLTV01020729.1:c473033-472094	NW_013658527.1	92.537	603	35	6	1	600	680394	680989	0	856
QLTV01020729.1:c3680150-3679201	NW_013658637.1	90.937	971	52	17	1	950	277901	276946	0	1273
QLTV01020729.1:c3443932-3443016	NW_013657871.1	94.762	210	9	1	1	208	906072	906281	8.45e-87	326
QLTV01020729.1:c2758101-2757193	NW_013661119.1	94.627	912	40	8	1	907	45813	46720	0	1404
QLTV01020729.1:c215596-214619	NW_013659740.1	91.17	453	28	8	1	451	146789	146347	1.04e-170	604
QLTV01020729.1:c2121833-2120906	NW_013658496.1	90.147	954	50	16	1	928	331202	332137	0	1201
QLTV01020729.1:527972-528965	NW_013658527.1	91.209	1001	77	8	1	994	623996	623000	0	1351
QLTV01020729.1:308925-309902	NW_013659309.1	93.145	919	44	11	67	978	196998	197904	0	1330
QLTV01020727.1:c1012322-1011325	NW_013659274.1	86.391	169	21	2	374	541	50358	50191	5.87e-44	183
QLTV01020727.1:927319-928300	NW_013658451.1	85.987	471	50	10	230	696	355336	354878	3.04e-136	490
QLTV01020727.1:631963-632946	NW_013658081.1	84.565	460	42	10	120	574	644574	645009	6.74e-118	429
QLTV01020727.1:444037-445030	NW_013658812.1	87.204	211	13	12	461	670	104267	104464	2.66e-57	228
QLTV01020727.1:392382-393351	NW_013659230.1	88.737	657	44	16	1	629	54796	54142	0	776
QLTV01020727.1:378897-379871	NW_013659230.1	90.736	367	21	4	394	758	61664	61309	2.35e-132	477
QLTV01020727.1:10239-11178	NW_013658048.1	94.505	182	9	1	144	324	36278	36097	6.85e-73	279
QLTV01020722.1:c273791-272815	NW_013657904.1	96.491	285	10	0	1	285	679798	679514	1.1e-130	472
QLTV01014916.1:c9133244-9132250	NW_013659621.1	89.921	506	23	6	218	698	145239	144737	2.25e-177	627
QLTV01014916.1:c8096020-8095073	NW_013658571.1	85.628	494	47	15	471	948	309087	309572	1.75e-138	497
QLTV01014916.1:c2563650-2562735	NW_013658993.1	81	700	107	17	176	863	267496	266811	4.64e-149	532
QLTV01014916.1:6670715-6671649	NW_013658602.1	94.776	134	6	1	416	549	88175	88043	3.26e-51	207
QLTV01014916.1:407844-408808	NW_013657888.1	85.87	276	31	8	27	295	421678	421404	4.2e-75	287
QLTV01014916.1:407844-408780	NW_013657888.1	85.87	276	31	8	27	295	421678	421404	4.08e-75	287
QLTV01014916.1:1660263-1661256	NW_013657910.1	94.409	465	19	3	1	458	222863	223327	0	708
QLTV01014916.1:1240739-1241724	NW_013658781.1	93.878	49	3	0	315	363	65891	65843	3.64e-11	75
QLTV01012198.1:c8434183-8433246	NW_013658072.1	86.016	379	37	7	330	708	361745	362107	8.41e-107	392
QLTV01012198.1:c8318604-8317640	NW_013658072.1	89.99	979	78	15	1	965	404255	405227	0	1247
QLTV01012198.1:c4518639-4517670	NW_013657792.1	81.658	965	129	28	1	939	36626	37568	0	758
QLTV01012198.1:c2945429-2944506	NW_013658719.1	91.733	375	30	1	494	868	194345	193972	3.64e-145	520
QLTV01012198.1:c2945429-2944462	NW_013658719.1	91.733	375	30	1	494	868	194345	193972	3.82e-145	520
QLTV01012198.1:8315620-8316601	NW_013658072.1	92.22	527	26	6	471	982	406563	406037	0	732
QLTV01012198.1:6936925-6937901	NW_013657951.1	92.287	363	18	4	317	672	261448	261089	3e-141	507
QLTV01012198.1:5216635-5217599	NW_013657680.1	79.537	562	70	30	214	738	2891682	2891129	8.78e-97	359
QLTV01012198.1:5216635-5217534	NW_013657680.1	79.537	562	70	30	214	738	2891682	2891129	8.17e-97	359
QLTV01012198.1:3739221-3740172	NW_013657821.1	92.92	791	38	8	175	952	480604	479819	0	1134
QLTV01012198.1:3699096-3700044	NW_013658376.1	79.939	653	113	8	1	637	267712	267062	1.78e-128	464
QLTV01012197.1:c496036-495134	NW_013658293.1	95.181	249	9	3	617	865	475020	475265	2.91e-106	390
QLTV01012197.1:58787-59695	NW_013658753.1	88.485	165	13	3	502	664	245858	245698	2.46e-47	195
QLTV01012196.1:891854-892765	NW_013657801.1	91.88	234	19	0	169	402	1203332	1203099	2.34e-87	327
QLTV01012196.1:2503055-2504036	NW_013657752.1	93.496	984	42	11	1	982	1077087	1076124	0	1443
QLTV01012195.1:c947122-946203	NW_013661132.1	91.045	67	5	1	148	213	46721	46655	1.21e-15	89.8
QLTV01012195.1:c2221972-2221022	NW_013658629.1	94.432	880	45	4	75	951	464708	465586	0	1351
QLTV01012195.1:c2093284-2092355	NW_013659130.1	91.006	845	49	12	38	867	154246	155078	0	1114
QLTV01012195.1:c1342436-1341491	NW_013659607.1	94.701	736	33	4	1	736	168398	167669	0	1138
QLTV01012195.1:895827-896784	NW_013658485.1	90.583	977	55	18	1	958	72392	73350	0	1260
QLTV01012195.1:719003-719984	NW_013659212.1	90.045	442	40	4	1	438	200095	199654	3.8e-160	569
QLTV01012195.1:719003-719960	NW_013659212.1	90.045	442	40	4	1	438	200095	199654	3.7e-160	569
QLTV01012195.1:323899-324839	NW_013659798.1	87.373	689	61	19	1	684	106986	106319	0	767
QLTV01012195.1:2946145-2947063	NW_013657825.1	81.595	326	38	9	1	324	390044	389739	5.25e-64	250
QLTV01012195.1:1914191-1915125	NW_013657691.1	88.926	298	28	5	636	930	1955363	1955068	6.57e-98	363
QLTV01012194.1:c7788955-7787981	NW_013657976.1	93.346	511	24	3	1	501	212637	213147	0	747
QLTV01012194.1:c3621240-3620333	NW_013658107.1	91.755	376	28	2	4	379	207212	206840	3.58e-145	520
QLTV01012194.1:c142047-141081	NW_013659231.1	87.5	176	13	2	440	606	276236	276061	2.63e-47	195
QLTV01012194.1:c1125292-1124336	NW_013660524.1	86.957	322	19	5	634	954	48765	49064	3.15e-91	340
QLTV01012194.1:c1061781-1060861	NW_013657698.1	89.851	335	13	5	93	423	825460	825777	2.28e-112	411
QLTV01012194.1:5813339-5814251	NW_013660331.1	84.536	582	54	9	2	557	110119	109548	2.13e-152	544
QLTV01012194.1:4792121-4793074	NW_013658149.1	80.171	469	56	17	440	874	43125	42660	5.3e-84	316
QLTV01012194.1:2931785-2932728	NW_013660861.1	92.241	116	8	1	13	128	22010	22124	7.23e-38	163
QLTV01012194.1:2103623-2104590	NW_013657699.1	85.934	846	66	25	1	815	539245	538422	0	854
QLTV01012194.1:2103623-2104562	NW_013657699.1	85.934	846	66	25	1	815	539245	538422	0	854
QLTV01012194.1:1329033-1329940	NW_013658827.1	90.141	923	61	16	1	908	397221	398128	0	1173
QLTV01012193.1:c2287481-2286499	NW_013659478.1	90.672	997	60	13	1	983	103142	102165	0	1295
QLTV01012193.1:376020-376952	NW_013657866.1	92.483	878	59	5	58	933	274993	275865	0	1249
QLTV01012193.1:3003722-3004702	NW_013659003.1	91.008	367	26	5	1	362	83636	84000	1.09e-135	488
