blkID	gen1	gen2	chr1	chr2	startBp1	endBp1	startOrd1	endOrd1	firstGene1	lastGene1	nHits1	nHits2	orient	startBp2	endBp2	startOrd2	endOrd2	firstGene2	lastGene2
blk_1_1_self	naja	naja	1	1	25075	375006693	2289	6622	0_2272	0_6585	4312	4312	+	25075	375006693	2289	6622	0_2272	0_6585
blk_2_2_self	naja	naja	2	2	112190	309654327	7130	10956	0_7091	0_10893	3803	3803	+	112190	309654327	7130	10956	0_7091	0_10893
blk_3_3_self	naja	naja	3	3	16496	224073802	11314	13831	0_11249	0_13747	2499	2499	+	16496	224073802	11314	13831	0_11249	0_13747
blk_4_4_self	naja	naja	4	4	158	190991942	14549	16605	0_14461	0_16503	2043	2043	+	158	190991942	14549	16605	0_14461	0_16503
blk_5_5_self	naja	naja	5	5	39948	62728344	17032	17805	0_16928	0_17698	771	771	+	39948	62728344	17032	17805	0_16928	0_17698
blk_6_6_self	naja	naja	6	6	30707	53992085	18187	18675	0_18080	0_18566	487	487	+	30707	53992085	18187	18675	0_18080	0_18566
blk_7_7_self	naja	naja	7	7	15035	53795978	19128	19895	0_19017	0_19782	766	766	+	15035	53795978	19128	19895	0_19017	0_19782
blk_SOZL01000005.1_SOZL01000005.1_self	naja	naja	SOZL01000005.1	SOZL01000005.1	44302	2359145	21961	21971	0_21843	0_21853	11	11	+	44302	2359145	21961	21971	0_21843	0_21853
blk_SOZL01000007.1_SOZL01000007.1_self	naja	naja	SOZL01000007.1	SOZL01000007.1	38882	3212540	21972	21990	0_21854	0_21872	19	19	+	38882	3212540	21972	21990	0_21854	0_21872
blk_SOZL01000008.1_SOZL01000008.1_self	naja	naja	SOZL01000008.1	SOZL01000008.1	34365	1494855	21992	21997	0_21873	0_21878	6	6	+	34365	1494855	21992	21997	0_21873	0_21878
blk_SOZL01000013.1_SOZL01000013.1_self	naja	naja	SOZL01000013.1	SOZL01000013.1	4391	554955	22010	22018	0_21888	0_21896	9	9	+	4391	554955	22010	22018	0_21888	0_21896
blk_SOZL01000015.1_SOZL01000015.1_self	naja	naja	SOZL01000015.1	SOZL01000015.1	2646	147327	22023	22027	0_21901	0_21905	5	5	+	2646	147327	22023	22027	0_21901	0_21905
blk_SOZL01000018.1_SOZL01000018.1_self	naja	naja	SOZL01000018.1	SOZL01000018.1	15345	6449362	22030	22041	0_21908	0_21918	11	11	+	15345	6449362	22030	22041	0_21908	0_21918
blk_SOZL01000022.1_SOZL01000022.1_self	naja	naja	SOZL01000022.1	SOZL01000022.1	3	1440691	22050	22059	0_21927	0_21936	10	10	+	3	1440691	22050	22059	0_21927	0_21936
blk_SOZL01000023.1_SOZL01000023.1_self	naja	naja	SOZL01000023.1	SOZL01000023.1	14019	1106466	22060	22066	0_21937	0_21943	7	7	+	14019	1106466	22060	22066	0_21937	0_21943
blk_SOZL01000024.1_SOZL01000024.1_self	naja	naja	SOZL01000024.1	SOZL01000024.1	29745	1159111	22067	22075	0_21944	0_21952	9	9	+	29745	1159111	22067	22075	0_21944	0_21952
blk_SOZL01000027.1_SOZL01000027.1_self	naja	naja	SOZL01000027.1	SOZL01000027.1	3812	1088154	22084	22089	0_21961	0_21966	6	6	+	3812	1088154	22084	22089	0_21961	0_21966
blk_SOZL01000030.1_SOZL01000030.1_self	naja	naja	SOZL01000030.1	SOZL01000030.1	3013	115176	22097	22102	0_21974	0_21979	6	6	+	3013	115176	22097	22102	0_21974	0_21979
blk_SOZL01000032.1_SOZL01000032.1_self	naja	naja	SOZL01000032.1	SOZL01000032.1	64041	638631	22103	22114	0_21980	0_21991	12	12	+	64041	638631	22103	22114	0_21980	0_21991
blk_SOZL01000099.1_SOZL01000099.1_self	naja	naja	SOZL01000099.1	SOZL01000099.1	13137	60680	22145	22151	0_22021	0_22027	7	7	+	13137	60680	22145	22151	0_22021	0_22027
blk_SOZL01000117.1_SOZL01000117.1_self	naja	naja	SOZL01000117.1	SOZL01000117.1	334	90853	22163	22167	0_22039	0_22043	5	5	+	334	90853	22163	22167	0_22039	0_22043
blk_SOZL01000182.1_SOZL01000182.1_self	naja	naja	SOZL01000182.1	SOZL01000182.1	7460	223570	22195	22217	0_22070	0_22091	22	22	+	7460	223570	22195	22217	0_22070	0_22091
blk_SOZL01000198.1_SOZL01000198.1_self	naja	naja	SOZL01000198.1	SOZL01000198.1	2980	32253	22220	22225	0_22094	0_22099	6	6	+	2980	32253	22220	22225	0_22094	0_22099
blk_SOZL01000319.1_SOZL01000319.1_self	naja	naja	SOZL01000319.1	SOZL01000319.1	7742	106066	22270	22277	0_22143	0_22150	8	8	+	7742	106066	22270	22277	0_22143	0_22150
blk_SOZL01000352.1_SOZL01000352.1_self	naja	naja	SOZL01000352.1	SOZL01000352.1	1353	679120	22296	22301	0_22169	0_22174	6	6	+	1353	679120	22296	22301	0_22169	0_22174
blk_SOZL01000473.1_SOZL01000473.1_self	naja	naja	SOZL01000473.1	SOZL01000473.1	3395	142141	22356	22360	0_22229	0_22233	5	5	+	3395	142141	22356	22360	0_22229	0_22233
blk_SOZL01000833.1_SOZL01000833.1_self	naja	naja	SOZL01000833.1	SOZL01000833.1	1018	41353	22509	22515	0_22382	0_22388	7	7	+	1018	41353	22509	22515	0_22382	0_22388
blk_SOZL01000858.1_SOZL01000858.1_self	naja	naja	SOZL01000858.1	SOZL01000858.1	33297	115617	22522	22526	0_22395	0_22399	5	5	+	33297	115617	22522	22526	0_22395	0_22399
blk_SOZL01000920.1_SOZL01000920.1_self	naja	naja	SOZL01000920.1	SOZL01000920.1	18	44811	22547	22551	0_22419	0_22423	5	5	+	18	44811	22547	22551	0_22419	0_22423
blk_SOZL01001021.1_SOZL01001021.1_self	naja	naja	SOZL01001021.1	SOZL01001021.1	5127	158713	22598	22603	0_22470	0_22475	6	6	+	5127	158713	22598	22603	0_22470	0_22475
