locus	genome	seqname	strand	start	end	chromosome
group1	Thamnophis-elegans	NC_045541.1	+	70100189	70106317	1
group2	Thamnophis-elegans	NC_045552.1	-	4751086	4760000	12
group3	Thamnophis-elegans	NC_045558.1	-	829299	840000	Z
group4	Thamnophis-elegans	NC_045545.1	+	97064707	97073864	5
group5	Thamnophis-elegans	NC_045546.1	+	16023513	16038357	6
group6	Thamnophis-elegans	NW_022473764.1	-	20001	32455	na
group7	Thamnophis-elegans	NC_045552.1	-	33045211	33049659	12
group8	Thamnophis-elegans	NC_045545.1	+	99123509	99139002	5
group9	Thamnophis-elegans	NC_045546.1	+	5760001	5772385	6
group10	Thamnophis-elegans	NC_045541.1	+	184743289	184753879	1
group11	Thamnophis-elegans	NC_045549.1	+	1054884	1059193	9
group12	Thamnophis-elegans	NA	NA	NA	NA	NA
group13	Thamnophis-elegans	NC_045542.1	-	170807906	170819285	2
group14	Thamnophis-elegans	NW_022473682.1	-	20306	39523	na
group15	Thamnophis-elegans	NA	NA	NA	NA	NA
group16	Thamnophis-elegans	NC_045551.1	+	71044871	71050342	11
group17	Thamnophis-elegans	NC_045541.1	-	51164943	51173911	1
group18	Thamnophis-elegans	NC_045556.1	-	33303891	33318190	16
group19	Thamnophis-elegans	NC_045543.1	-	147981583	147999288	3
group20	Thamnophis-elegans	NC_045557.1	-	2000092	2018949	17
group21	Thamnophis-elegans	NC_045551.1	-	56180001	56195638	11
group22	Thamnophis-elegans	NC_045558.1	-	901900	919893	Z
group23	Thamnophis-elegans	NC_045558.1	-	102560003	102562382	Z
group24	Thamnophis-elegans	NC_045541.1	+	157420001	157430500	1
group25	Thamnophis-elegans	NC_045542.1	-	61720002	61731449	2
group26	Thamnophis-elegans	NC_045542.1	+	45560001	45562617	2
group27	Thamnophis-elegans	NC_045543.1	-	149843664	149851016	3
group28	Thamnophis-elegans	NC_045557.1	+	7861579	7878766	17
group29	Thamnophis-elegans	NC_045558.1	+	112589236	112591234	Z
group30	Thamnophis-elegans	NC_045558.1	+	124240001	124249682	Z
group31	Thamnophis-elegans	NC_045552.1	+	7802768	7820000	12
group32	Thamnophis-elegans	NC_045542.1	+	101671739	101680000	2
group33	Thamnophis-elegans	NC_045553.1	+	1080001	1081837	13
group34	Thamnophis-elegans	NC_045549.1	+	48480076	48485937	9
group35	Thamnophis-elegans	NC_045542.1	-	24824256	24828783	2
group36	Thamnophis-elegans	NC_045558.1	-	123664655	123679828	Z
group37	Thamnophis-elegans	NC_045549.1	-	73246899	73259730	9
group38	Thamnophis-elegans	NC_045548.1	-	80473365	80475519	8
group39	Thamnophis-elegans	NC_045558.1	+	6429942	6439593	Z
group40	Thamnophis-elegans	NC_045547.1	+	509815	517089	7
group41	Thamnophis-elegans	NC_045541.1	-	180160216	180166118	1
group42	Thamnophis-elegans	NC_045549.1	-	72760360	72773916	9
group43	Thamnophis-elegans	NC_045558.1	+	108463405	108476581	Z
group44	Thamnophis-elegans	NC_045543.1	+	150584824	150587610	3
group45	Thamnophis-elegans	NA	NA	NA	NA	NA
group46	Thamnophis-elegans	NC_045554.1	-	35829332	35840000	14
group47	Thamnophis-elegans	NC_045542.1	-	160165171	160179648	2
group48	Thamnophis-elegans	NC_045541.1	+	29004858	29019680	1
group49	Thamnophis-elegans	NC_045541.1	+	162217647	162219873	1
group50	Thamnophis-elegans	NC_045546.1	-	39222369	39227514	6
group51	Thamnophis-elegans	NC_045542.1	+	160441830	160452138	2
group52	Thamnophis-elegans	NC_045558.1	-	139092405	139097640	Z
group53	Thamnophis-elegans	NC_045558.1	-	1769020	1779471	Z
group54	Thamnophis-elegans	NC_045558.1	-	1682462	1695457	Z
group55	Thamnophis-elegans	NC_045555.1	-	37340014	37352417	15
group56	Thamnophis-elegans	NA	NA	NA	NA	NA
group57	Thamnophis-elegans	NC_045554.1	+	27620104	27632012	14
group58	Thamnophis-elegans	NW_022473702.1	-	1394	18397	na
group59	Thamnophis-elegans	NC_045546.1	+	7160001	7176022	6
group60	Thamnophis-elegans	NC_045545.1	+	42760003	42773058	5
group61	Thamnophis-elegans	NC_045556.1	+	1121722	1139999	16
group62	Thamnophis-elegans	NC_045544.1	+	115087577	115091412	4
group63	Thamnophis-elegans	NC_045544.1	+	53340002	53351292	4
group64	Thamnophis-elegans	NC_045546.1	-	58950350	58958446	6
group65	Thamnophis-elegans	NC_045547.1	-	2720003	2724741	7
group66	Thamnophis-elegans	NC_045552.1	-	22426376	22435457	12
group67	Thamnophis-elegans	NC_045541.1	+	32341338	32356213	1
group68	Thamnophis-elegans	NC_045558.1	-	132100123	132117200	Z
group69	Thamnophis-elegans	NC_045542.1	+	167508574	167516098	2
group70	Thamnophis-elegans	NW_022473598.1	-	21865	40000	na
group71	Thamnophis-elegans	NW_022473660.1	-	42830	49830	na
group72	Thamnophis-elegans	NC_045552.1	-	3760091	3764594	12
group73	Thamnophis-elegans	NC_045547.1	+	53640001	53652551	7
group74	Thamnophis-elegans	NC_045552.1	+	10201928	10219821	12
group75	Thamnophis-elegans	NC_045558.1	-	108126719	108134163	Z
group76	Thamnophis-elegans	NC_045553.1	-	22820001	22828161	13
group77	Thamnophis-elegans	NC_045542.1	+	151243544	151252471	2
group78	Thamnophis-elegans	NC_045552.1	-	59660055	59673449	12
group79	Thamnophis-elegans	NC_045543.1	-	148720002	148730728	3
group80	Thamnophis-elegans	NC_045552.1	+	27584341	27596040	12
group81	Thamnophis-elegans	NC_045558.1	+	110021146	110033628	Z
group82	Thamnophis-elegans	NC_045553.1	+	33181982	33190736	13
group83	Thamnophis-elegans	NC_045548.1	-	78985994	78998890	8
group84	Thamnophis-elegans	NC_045541.1	+	148289562	148298766	1
group85	Thamnophis-elegans	NC_045548.1	+	7820001	7834498	8
group86	Thamnophis-elegans	NC_045547.1	-	79345586	79359416	7
group87	Thamnophis-elegans	NC_045542.1	-	56164300	56179955	2
group88	Thamnophis-elegans	NA	NA	NA	NA	NA
group89	Thamnophis-elegans	NC_045553.1	-	20763390	20778780	13
group90	Thamnophis-elegans	NW_022473685.1	-	14131	20000	na
group91	Thamnophis-elegans	NA	NA	NA	NA	NA
