coordinates	ContigAccession	StartPosition	EndPosition	TargetLength
QLTV01000004.1:c6548-5628	QLTV01000004.1	5628	6548	921
QLTV01000005.1:c137754-136781	QLTV01000005.1	136781	137754	974
QLTV01000011.1:101461-102447	QLTV01000011.1	101461	102447	987
QLTV01000012.1:116338-117255	QLTV01000012.1	116338	117255	918
QLTV01000019.1:c18714-17746	QLTV01000019.1	17746	18714	969
QLTV01000023.1:270884-271790	QLTV01000023.1	270884	271790	907
QLTV01000025.1:c55735-54811	QLTV01000025.1	54811	55735	925
QLTV01000040.1:778153-779105	QLTV01000040.1	778153	779105	953
QLTV01000054.1:50478-51442	QLTV01000054.1	50478	51442	965
QLTV01000061.1:c3650-2691	QLTV01000061.1	2691	3650	960
QLTV01000067.1:c184559-183585	QLTV01000067.1	183585	184559	975
QLTV01000067.1:289080-290046	QLTV01000067.1	289080	290046	967
QLTV01000150.1:52923-53887	QLTV01000150.1	52923	53887	965
QLTV01000150.1:495617-496543	QLTV01000150.1	495617	496543	927
QLTV01000150.1:537889-538792	QLTV01000150.1	537889	538792	904
QLTV01000190.1:498476-499461	QLTV01000190.1	498476	499461	986
QLTV01000195.1:c305557-304628	QLTV01000195.1	304628	305557	930
QLTV01000195.1:c305557-304657	QLTV01000195.1	304657	305557	901
QLTV01000198.1:269300-270254	QLTV01000198.1	269300	270254	955
QLTV01000200.1:c87887-86956	QLTV01000200.1	86956	87887	932
QLTV01000201.1:35564-36548	QLTV01000201.1	35564	36548	985
QLTV01000206.1:164450-165403	QLTV01000206.1	164450	165403	954
QLTV01000206.1:c291984-291011	QLTV01000206.1	291011	291984	974
QLTV01000206.1:c291984-291040	QLTV01000206.1	291040	291984	945
QLTV01000206.1:339836-340806	QLTV01000206.1	339836	340806	971
QLTV01000206.1:386835-387769	QLTV01000206.1	386835	387769	935
QLTV01000206.1:386835-387798	QLTV01000206.1	386835	387798	964
QLTV01000209.1:255721-256702	QLTV01000209.1	255721	256702	982
QLTV01000209.1:1057975-1058895	QLTV01000209.1	1057975	1058895	921
QLTV01000211.1:404710-405643	QLTV01000211.1	404710	405643	934
