target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry5276	yes	yes	yes	AZIM01002675.1:96434-96593	AZIM01002675.1	96434	96593	1	NA	RBP3	<1..>160	1	<1..>160	1	<1..>160	1	1	1
WeinellEntry5277	yes	yes	yes	NW_015386497.1:608516-608675	NW_015386497.1	608516	608675	2	107284927	RDH14	1..>160	1	1..>160	1	1..>160	1	1	1
WeinellEntry5278	yes	yes	yes	AZIM01000186.1:294985-295146	AZIM01000186.1	294985	295146	2	NA	Abca4	<1..>162	-1	<1..>141	-1	<1..>141	-1	3	3
WeinellEntry5280	yes	yes	yes	AZIM01000013.1:1144654-1144815	AZIM01000013.1	1144654	1144815	2	NA	ACTG1	<1..>162	-1	<19..>162	-1	<19..141	-1	1	1
WeinellEntry5281	yes	yes	yes	AZIM01001923.1:20153-20314	AZIM01001923.1	20153	20314	2	NA	NA	<1..>162	-1	<1..>162	-1	<1..>162	-1	2	2
WeinellEntry5282	yes	yes	yes	AZIM01003457.1:110870-111030	AZIM01003457.1	110870	111030	2	NA	Aipl1	<1..>161	-1	<1..>142	-1	<1..>142	-1	1	2
WeinellEntry5283	yes	yes	yes	AZIM01000274.1:361465-361626	AZIM01000274.1	361465	361626	2	NA	ANP32E	<1..>162	-1	<1..>162	-1	<1..>162	-1	2	2
WeinellEntry5284	yes	yes	yes	AZIM01005332.1:72737-72898	AZIM01005332.1	72737	72898	2	NA	ANXA2	<1..>162	-1	<19..>141	-1	<19..>141	-1	1	1
WeinellEntry5285	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5286	yes	yes	yes	AZIM01000075.1:201699-201859	AZIM01000075.1	201699	201859	1	NA	BDNF	<1..>161	1	<1..>161	1	<1..>161	1	1	1
WeinellEntry5287	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5288	yes	yes	yes	AZIM01000551.1:617970-618131	AZIM01000551.1	617970	618131	2	NA	CALM	<1..>162	-1	<1..>141	-1	<1..>141	-1	3	3
