target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry1	yes	yes	yes	NW_013657827.1:910380-911340	NW_013657827.1	910380	911340	1	106538114	ZP1	<1..>961	1	<51..>911	1	<51..>911	1	1	3
WeinellEntry4	yes	yes	yes	NW_013657696.1:2144317-2144557	NW_013657696.1	2144317	2144557	1	106540148	LOC106540148	<1..>241	-1	<37..>204	-1	<37..>204	-1	3	1
WeinellEntry6	yes	yes	yes	NW_013658071.1:824738-824978	NW_013658071.1	824738	824978	1	106541798	LOC106541798	<1..>206	-1	<35..>206	-1	<35..>206	-1	2	1
WeinellEntry7	yes	yes	yes	NW_013659612.1:174163-174403	NW_013659612.1	174163	174403	1	106552294	LOC106552294	<1..>241	1	<24..>218	1	<24..>218	1	3	2
WeinellEntry9	yes	yes	yes	NW_013657762.1:998600-998960	NW_013657762.1	998600	998960	1	106556871	UBE2E1	<1..>361	-1	<1..>350;<1..>350;<1..>361	-1;-1;-1	12..>350;12..>350	-1;-1	1;1	3;3
WeinellEntry12	yes	yes	yes	NW_013658333.1:252116-252956	NW_013658333.1	252116	252956	1	106544583	LOC106544583	<1..>841	-1	<1..>840	-1	<1..>840	-1	1	2
WeinellEntry16	yes	yes	yes	NW_013657898.1:79638-80238	NW_013657898.1	79638	80238	1	106539306	LOC106539306	<1..>601	-1	<50..>552	-1	<50..>552	-1	1	2
WeinellEntry17	yes	yes	yes	NW_013658256.1:1097840-1100120	NW_013658256.1	1097840	1100120	1	106543842	LOC106543842	<1..>2281	-1	<31..>2251	-1	<31..>2251	-1	2	2
WeinellEntry18	yes	yes	yes	NW_013661338.1:29946-31146	NW_013661338.1	29946	31146	1	106556028	PRR19	<1..1166	1	<36..1166	1	<36..1166	1	1	3
WeinellEntry20	yes	yes	yes	NW_013660058.1:172212-172932	NW_013660058.1	172212	172932	1	106553687	LOC106553687	<1..>721	-1	<1..>721	-1	<1..721	-1	1	1
WeinellEntry21	yes	yes	yes	NW_013658619.1:143457-143817	NW_013658619.1	143457	143817	1	106546999	LOC106546999	<1..>361	1	<21..>341	1	<21..>341	1	3	2
WeinellEntry22	yes	yes	yes	NW_013657969.1:645455-645695	NW_013657969.1	645455	645695	1	106540487	LOC106540487	<1..>241	-1	<30..>212;<30..>212	-1;-1	<30..>212;<30..>212	-1;-1	3;3	2;2
WeinellEntry24	yes	yes	yes	NW_013659678.1:119990-120230	NW_013659678.1	119990	120230	1	106552531	LOC106552531	<1..>241	1	<12..>229	1	<12..>229	1	3	2
WeinellEntry25	yes	yes	yes	NW_013659961.1:258325-258565	NW_013659961.1	258325	258565	1	106553369	LOC106553369	<1..>241	-1	<56..>185	-1	<56..>185	-1	3	2
WeinellEntry26	yes	yes	yes	NW_013660230.1:3351-3711	NW_013660230.1	3351	3711	1	106554146	LOC106554146	<1..>361	1	<22..>339	1	<22..>339	1	3	3
WeinellEntry27	yes	yes	yes	NW_013659381.1:237371-237851	NW_013659381.1	237371	237851	1	106551337	LOC106551337	<1..452	1	<29..452	1	<29..452	1	—	–
WeinellEntry30	yes	yes	yes	NW_013657729.1:1032790-1033150	NW_013657729.1	1032790	1033150	1	106549399	LOC106549399	<1..>361	-1	<39..>323;<39..>323	-1;-1	<39..>323;<39..>323	-1;-1	3;3	2;2
WeinellEntry31	yes	yes	yes	NW_013659739.1:20617-21097	NW_013659739.1	20617	21097	1	106552704	LOC106552704	<1..>481	-1	<54..>428	-1	<54..>428	-1	3	2
WeinellEntry33	yes	yes	yes	NW_013658442.1:546061-548101	NW_013658442.1	546061	548101	1	106545502	LOC106545502	<1..>2041	1	<9..>2033	1	<9..>2033	1	3	2
WeinellEntry35	yes	yes	yes	NW_013658162.1:211807-212047	NW_013658162.1	211807	212047	1	106542909	LOC106542909	<1..>241	-1	<56..>185	-1	<56..>185	-1	3	2
WeinellEntry37	yes	yes	yes	NW_013659464.1:23863-24703	NW_013659464.1	23863	24703	1	106551684	DOK7	<1..>841	1	<14..>828	1	<14..>828	1	3	1
WeinellEntry39	yes	yes	yes	NW_013658866.1:173119-174319	NW_013658866.1	173119	174319	1	106548650	LOC106548650	<1..>1201	1	<17..>1184	1	<17..>1184	1	3	1
WeinellEntry41	yes	yes	yes	NW_013658083.1:500739-501099	NW_013658083.1	500739	501099	1	106541978	LOC106541978	<1..307	1	<54..307	1	<54..307	1	3	2
WeinellEntry43	yes	yes	yes	NW_013658192.1:342876-344556	NW_013658192.1	342876	344556	1	106543195	LOC106543195	<19..>1681	-1	<19..>1663	-1	<19..>1663	-1	1	1
WeinellEntry46	yes	yes	yes	NW_013659685.1:54679-55039	NW_013659685.1	54679	55039	1	106552561	LOC106552561	<1..>361	1	<60..>302	1	<60..>302	1	3	2
WeinellEntry47	yes	yes	yes	NW_013658009.1:75646-75886	NW_013658009.1	75646	75886	1	106540971	LOC106540971	<1..>241	1	<57..>241	1	<57..184	1	3	2
WeinellEntry49	yes	yes	yes	NW_013658015.1:539983-541303	NW_013658015.1	539983	541303	1	106541057	LOC106541057	<1..>1309	1	<12..>1309	1	<12..>1309	1	3	2
WeinellEntry50	yes	yes	yes	NW_013657690.1:648692-648932	NW_013657690.1	648692	648932	1	106538313	AKAP9	<1..>241	1	<33..>209;<33..>209;<33..>209	1;1;1	<33..>209;<33..>209;<33..>209	1;1;1	1;1;1	3;3;3
WeinellEntry51	yes	yes	yes	NW_013658627.1:289201-289921	NW_013658627.1	289201	289921	1	106547032	PTPN23	<1..>721	1	<58..>721	1	<58..663	1	1	1
WeinellEntry52	yes	yes	yes	NW_013658642.1:293294-295334	NW_013658642.1	293294	295334	1	106547149	DDIAS	<1..>2041	1	<45..>2041	1	<45..1997	1	1	3
WeinellEntry53	yes	yes	yes	NW_013658013.1:855037-855757	NW_013658013.1	855037	855757	1	106541018	LOC106541018	6..716	1	6..716	1	6..716	1	1	3
WeinellEntry54	yes	yes	yes	NW_013660510.1:71844-72204	NW_013660510.1	71844	72204	1	106554748	LOC106554748	<1..>361	-1	<39..>322	-1	<39..>322	-1	1	1
WeinellEntry55	yes	yes	yes	NW_013657757.1:915956-917876	NW_013657757.1	915956	917876	1	106556731	LOC106556731	<1..>1921	1	<12..>1921	1	<12..1909	1	3	2
WeinellEntry56	yes	yes	yes	NW_013658458.1:226020-227700	NW_013658458.1	226020	227700	1	106545645	LOC106545645	<1..>1681	-1	<3..>1679	-1	<3..>1679	-1	3	2
WeinellEntry58	yes	yes	yes	NW_013658231.1:446772-448092	NW_013658231.1	446772	448092	1	106543570	LOC106543570	<1..1283	-1	<39..1283	-1	<39..1283	-1	1	3
WeinellEntry61	yes	yes	yes	NW_013657785.1:1898713-1899673	NW_013657785.1	1898713	1899673	1	106557311	LOC106557311	<1..>961	1	<28..>961	1	<28..934	1	2	2
WeinellEntry62	yes	yes	yes	NW_013660510.1:81790-82630	NW_013660510.1	81790	82630	1	106554749	LOC106554749	<1..>841	-1	<3..>839	-1	<3..>839	-1	1	3
WeinellEntry63	yes	yes	yes	NW_013659042.1:3120-3720	NW_013659042.1	3120	3720	1	106549658	LOC106549658	9..593	1	9..593	1	9..593	1	1	3
WeinellEntry64	yes	yes	yes	NW_013659493.1:192145-193225	NW_013659493.1	192145	193225	1	106551804	LOC106551804	<1..1038	1	<1..1038	1	43..1038	1	1	1
WeinellEntry65	yes	yes	yes	NW_013658188.1:3126-5166	NW_013658188.1	3126	5166	1	106543167	LOC106543167	<1..>2041	-1	<1..>1991	-1	50..>1991	-1	2	1
WeinellEntry69	yes	yes	yes	NW_013659277.1:246166-247606	NW_013659277.1	246166	247606	1	106550840	LOC106550840	<1..>1441	1	<36..>1405	1	<36..>1405	1	3	2
WeinellEntry70	yes	yes	yes	NW_013657960.1:770918-771278	NW_013657960.1	770918	771278	1	106540366	LOC106540366	<1..>361	1	<22..>339	1	<22..>339	1	3	3
WeinellEntry71	yes	yes	yes	NW_013658317.1:32141-32501	NW_013658317.1	32141	32501	1	106544455;106544458	MBOAT7;LOC106544458	<1..>361;<1..>361	1;1	<39..>323	1	<39..>323	1	3	2
WeinellEntry72	yes	yes	yes	NW_013660882.1:10209-9609	NW_013660882.1	10209	9609	1	106555384	LOC106555384	<1..>601	-1	<2..>600;<1..>600	-1;-1	<2..>600;<1..>600	-1;-1	3;3	1;1
WeinellEntry75	yes	yes	yes	NW_013658552.1:377908-378268	NW_013658552.1	377908	378268	1	106546459	LOC106546459	<1..>361	1	<34..>327	1	<34..>327	1	3	3
WeinellEntry76	yes	yes	yes	NW_013659493.1:199487-200567	NW_013659493.1	199487	200567	1	106551805	LOC106551805	18..1064	-1	18..1064	-1	18..1064	-1	1	3
WeinellEntry79	yes	no	yes	NW_013660405.1:85028-85388	NW_013660405.1	85028	85388	1	106554547	LOC106554547	<1..>335	-1	<27..>335	-1	<27..>335	-1	–	3
WeinellEntry80	yes	yes	yes	NW_013658025.1:753466-755986	NW_013658025.1	753466	755986	1	106541245	LOC106541245	<1..2496	-1	<26..2496	-1	<26..2496	-1	1	2
WeinellEntry84	yes	yes	yes	NW_013657723.1:1215404-1217324	NW_013657723.1	1215404	1217324	1	106547509	LOC106547509	<1..>1921	-1	<27..>1895	-1	<27..>1895	-1	1	3
WeinellEntry86	yes	yes	yes	NW_013661971.1:2056-856	NW_013661971.1	2056	856	1	106556522	LOC106556522	20..>1201	-1	20..>1181	-1	20..>1181	-1	2	1
WeinellEntry87	yes	yes	yes	NW_013660811.1:28738-28978	NW_013660811.1	28738	28978	1	106555273	LOC106555273	<1..>241	1	<56..>186	1	<56..>186	1	1	2
WeinellEntry88	yes	yes	yes	NW_013659470.1:93105-94065	NW_013659470.1	93105	94065	1	106551704	FHOD1	<1..>961	1	<32..>930	1	<32..>930	1	3	1
WeinellEntry89	yes	yes	yes	NW_013657803.1:666878-668078	NW_013657803.1	666878	668078	1	106537630	LOC106537630	<1..>1176	1	<25..>1176;<25..>1176	1;1	<25..>1176;<25..>1176	1;1	3;3	3;3
WeinellEntry90	yes	yes	yes	NW_013660108.1:105482-105722	NW_013660108.1	105482	105722	1	106553836	LOC106553836	<1..182	1	<60..182	1	<60..182	1	1	3
WeinellEntry92	yes	yes	yes	NW_013658959.1:189018-189258	NW_013658959.1	189018	189258	1	106549225	LOC106549225	<1..>241	1	<40..>201	1	<40..>201	1	3	3
WeinellEntry93	yes	yes	yes	NW_013657785.1:1893771-1895091	NW_013657785.1	1893771	1895091	1	106557311;106557325	LOC106557311;LOC106557325	<1..>1321;<1..>1321	1;1	<305..>1229;<1..>1321	1;1	<305..>1229;18..1304	1;1	—;—	–;–
WeinellEntry94	yes	yes	yes	NW_013659820.1:145751-145991	NW_013659820.1	145751	145991	1	106552964	LOC106552964	33..>241	-1	33..>208	-1	33..>208	-1	3	3
WeinellEntry95	yes	yes	yes	NW_013658839.1:327998-329198	NW_013658839.1	327998	329198	1	106548482	LOC106548482	<1..>1201	-1	<46..>1155	-1	<46..>1155	-1	3	1
WeinellEntry97	yes	yes	yes	NW_013659068.1:13536-15576	NW_013659068.1	13536	15576	1	106549780	LOC106549780	<1..>2041	-1	<1..>2010;<1..>2010;<1..>2010;<1..>2010	-1;-1;-1;-1	32..>2010;32..>2010;32..>2010;32..>2010	-1;-1;-1;-1	3;3;3;3	1;1;1;1
WeinellEntry99	yes	yes	yes	NW_013658162.1:201927-202887	NW_013658162.1	201927	202887	1	106542908	LOC106542908	<1..922	1	<40..922	1	<40..922	1	2	2
WeinellEntry100	yes	yes	yes	NW_013661749.1:8440-8680	NW_013661749.1	8440	8680	1	106556387	LOC106556387	<1..>241	-1	<7..>241	-1	<7..234	-1	1	2
WeinellEntry101	yes	yes	yes	NW_013658177.1:629782-630502	NW_013658177.1	629782	630502	1	106543061	LOC106543061	57..>721	-1	57..>664	-1	57..>664	-1	3	3
WeinellEntry102	yes	yes	yes	NW_013659407.1:174307-175027	NW_013659407.1	174307	175027	1	106551460	KIAA1328	<1..>721	1	<26..>696	1	<26..>696	1	1	2
WeinellEntry103	yes	yes	yes	NW_013659944.1:104012-106292	NW_013659944.1	104012	106292	1	106553326	LOC106553326	<1..>2281	1	<45..>2237	1	<45..>2237	1	—	–
WeinellEntry104	yes	yes	yes	NW_013658380.1:556069-557509	NW_013658380.1	556069	557509	1	106544989	LOC106544989	<1..>1399	1	<42..>1399	1	<42..>1399	1	3	2
WeinellEntry106	yes	yes	yes	NW_013657877.1:1431430-1433590	NW_013657877.1	1431430	1433590	1	106538993	SHROOM4	<1..>2161	1	<40..>2122	1	<40..>2122	1	2	2
WeinellEntry107	yes	yes	yes	NW_013658924.1:26452-27052	NW_013658924.1	26452	27052	1	106549000	LOC106549000	33..>601	-1	33..>568	-1	33..>568	-1	3	3
WeinellEntry108	yes	yes	yes	NW_013659986.1:10688-9848	NW_013659986.1	10688	9848	1	106553417	LOC106553417	<1..>841	-1	<3..>839	-1	<3..>839	-1	1	3
WeinellEntry110	yes	yes	yes	NW_013659188.1:206704-207304	NW_013659188.1	206704	207304	1	106550443	LOC106550443	<1..588	1	<14..588	1	<14..588	1	3	1
WeinellEntry111	yes	yes	yes	NW_013658590.1:417636-419316	NW_013658590.1	417636	419316	1	106546776	LOC106546776	<1..>1681	1	<55..>1626	1	<55..>1626	1	3	3
WeinellEntry114	yes	no	yes	NW_013663561.1:165-525	NW_013663561.1	165	525	1	106556694	LOC106556694	<15..346	1	<15..346	1	<15..346	1	–	3
WeinellEntry117	yes	yes	yes	NW_013659566.1:46118-46358	NW_013659566.1	46118	46358	1	106552116	LOC106552116	<1..>241	1	<1..>196	1	46..>196	1	1	1
WeinellEntry119	yes	yes	yes	NW_013659042.1:44872-45472	NW_013659042.1	44872	45472	1	106549660	LOC106549660	36..>601	1	36..>565	1	36..>565	1	1	3
WeinellEntry120	yes	yes	yes	NW_013659034.1:110123-110483	NW_013659034.1	110123	110483	1	106549622	LOC106549622	<1..345	-1	<17..345	-1	<17..345	-1	1	2
WeinellEntry121	yes	yes	yes	NW_013658016.1:160776-162096	NW_013658016.1	160776	162096	1	106541064	CGN	<1..>1321	-1	<45..>1306	-1	<45..1277	-1	1	3
WeinellEntry122	yes	yes	yes	NW_013658036.1:205501-205741	NW_013658036.1	205501	205741	1	106541352	LOC106541352	<1..>241	1	<37..>204	1	<37..>204	1	2	2
WeinellEntry124	yes	yes	yes	NW_013659584.1:145841-146081	NW_013659584.1	145841	146081	1	106552188	VSIG1	<1..>241	1	<1..>232	1	10..>232	1	1	1
WeinellEntry126	yes	yes	yes	NW_013658821.1:53982-55182	NW_013658821.1	53982	55182	1	106548363	LOC106548363	<1..>1201	1	<15..>1186	1	<15..>1186	1	1	3
WeinellEntry127	yes	yes	yes	NW_013658857.1:509973-511053	NW_013658857.1	509973	511053	1	106548597	LOC106548597	<1..>1081	-1	<37..>1045	-1	<37..>1045	-1	3	3
WeinellEntry130	yes	yes	yes	NW_013661379.1:28007-28367	NW_013661379.1	28007	28367	1	106556069	HOXB8	<1..331	1	<30..331	1	<30..331	1	—	–
WeinellEntry131	yes	yes	yes	NW_013659274.1:76487-76847	NW_013659274.1	76487	76847	1	106550834	LOC106550834	<1..>361	-1	<13..>361	-1	<13..348	-1	1	2
WeinellEntry132	yes	yes	yes	NW_013660823.1:44207-44447	NW_013660823.1	44207	44447	1	106555297	DPH2	<1..>241	-1	<34..>207	-1	<34..>207	-1	3	1
WeinellEntry133	yes	yes	yes	NW_013657932.1:41065-41545	NW_013657932.1	41065	41545	1	106539861	LGALS3	<1..>481	-1	<35..>447;<35..>300;<35..>300	-1;-1;-1	<35..>447;<35..>300;<35..>300	-1;-1;-1	3;3;3	1;1;1
WeinellEntry134	yes	yes	yes	NW_013660631.1:26670-26910	NW_013660631.1	26670	26910	1	106554969	LOC106554969	<1..>241	1	<41..>201	1	<41..>201	1	2	3
WeinellEntry135	yes	yes	yes	NW_013658924.1:37298-38978	NW_013658924.1	37298	38978	1	106549001	LOC106549001	<1..>1681	1	<1..>1650	1	32..>1650	1	1	2
WeinellEntry137	yes	yes	yes	NW_013659805.1:153343-153583	NW_013659805.1	153343	153583	1	106552910	LOC106552910	<1..>241	-1	<31..>211	-1	<31..>211	-1	1	1
WeinellEntry138	yes	no	yes	NW_013658047.1:406802-407282	NW_013658047.1	406802	407282	1	106541480	LOC106541480	<1..>481	-1	—	—	41..>441	-1	-	1
WeinellEntry139	yes	yes	yes	NW_013661275.1:25813-27493	NW_013661275.1	25813	27493	1	106555962	LOC106555962	<1..>1681	-1	<1..>1681	-1	<1..1671	-1	—	–
WeinellEntry140	yes	yes	yes	NW_013657885.1:67460-67700	NW_013657885.1	67460	67700	1	106539094	ANPEP	<1..>241	-1	<58..>184	-1	<58..>184	-1	1	1
WeinellEntry141	yes	yes	yes	NW_013658304.1:627461-627821	NW_013658304.1	627461	627821	1	106544297	ATG16L2	<60..>361	-1	<60..>302	-1	<60..>302	-1	—	–
WeinellEntry142	yes	yes	yes	NW_013658010.1:142807-143047	NW_013658010.1	142807	143047	1	106540986	LOC106540986	<1..>241	1	<37..>204	1	<37..>204	1	3	3
WeinellEntry143	yes	yes	yes	NW_013657689.1:471017-471257	NW_013657689.1	471017	471257	1	106537915	LOC106537915	<1..>241	1	<28..>214	1	<28..>214	1	1	1
WeinellEntry144	yes	yes	yes	NW_013658270.1:30681-31881	NW_013658270.1	30681	31881	1	106543983	LOC106543983	57..>1201	-1	57..>1144	-1	57..>1144	-1	—	–
WeinellEntry145	yes	yes	yes	NW_013657837.1:1479799-1480039	NW_013657837.1	1479799	1480039	1	106538299	LOC106538299	<1..214	1	<27..214	1	<27..214	1	3	2
WeinellEntry146	yes	yes	yes	NW_013661416.1:58500-59940	NW_013661416.1	58500	59940	1	106556109	LOC106556109	<1..>1441	-1	<7..>1435	-1	<7..>1435	-1	1	1
WeinellEntry147	yes	no	yes	NW_013661550.1:15064-15544	NW_013661550.1	15064	15544	1	106556236	LOC106556236	<1..437	-1	–	–	60..422	-1	–	1
WeinellEntry148	yes	yes	yes	NW_013657837.1:1675877-1676237	NW_013657837.1	1675877	1676237	1	106538302	LOC106538302	<1..>361	1	<58..>303	1	<58..>303	1	3	3
WeinellEntry149	yes	yes	yes	NW_013659839.1:92835-93075	NW_013659839.1	92835	93075	1	106553034	LOC106553034	<1..207	-1	<34..207	-1	<34..207	-1	1	2
WeinellEntry152	yes	yes	yes	NW_013657969.1:886245-888045	NW_013657969.1	886245	888045	1	106540479	ZNF541	<35..>1801	1	<35..>1766	1	<35..>1766	1	2	3
WeinellEntry153	yes	yes	yes	NW_013657988.1:487738-487978	NW_013657988.1	487738	487978	1	106540733	LOC106540733	<55..>241	1	<55..>187	1	<55..>187	1	2	2
WeinellEntry154	yes	yes	yes	NW_013659237.1:12119-12839	NW_013659237.1	12119	12839	1	106550666	LOC106550666	<1..664	1	<57..664	1	<57..664	1	3	2
WeinellEntry155	yes	yes	yes	NW_013661438.1:28388-30068	NW_013661438.1	28388	30068	1	106556131	LOC106556131	<1..>1681	1	<36..>1681	1	<36..1645	1	3	2
WeinellEntry156	yes	yes	yes	NW_013658631.1:11392-7912	NW_013658631.1	11392	7912	1	106547067	LOC106547067	<1..>3481	-1	<1..>3481	-1	<1..>3481	-1	2	2
WeinellEntry159	yes	yes	yes	NW_013658369.1:402544-402784	NW_013658369.1	402544	402784	1	106544881	LOC106544881	<1..>241	-1	<13..>229	-1	<13..>229	-1	1	1
WeinellEntry161	yes	yes	yes	NW_013658083.1:642009-642489	NW_013658083.1	642009	642489	1	106541970	FAM166A	<59..>481	1	<59..>423	1	<59..>423	1	3	1
WeinellEntry162	yes	yes	yes	NW_013658150.1:427211-427691	NW_013658150.1	427211	427691	1	106542752	LOC106542752	<1..>481	-1	<58..>423	-1	<58..>423	-1	3	1
WeinellEntry164	yes	yes	yes	NW_013658253.1:41961-43401	NW_013658253.1	41961	43401	1	106543807	FAM35A	<1..>1441	-1	<20..>1441	-1	<20..1421	-1	1	3
WeinellEntry165	yes	yes	yes	NW_013659807.1:144352-144712	NW_013659807.1	144352	144712	1	106552915	LOC106552915	31..>361	-1	31..>331	-1	31..>331	-1	2	2
WeinellEntry166	yes	yes	yes	NW_013660556.1:78041-79241	NW_013660556.1	78041	79241	1	106554830	SLC38A10	<1..>1201	1	<50..>1201	1	<50..1152	1	3	1
