qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
micrurus_fulvius_uce-1003	NW_015386510.1	99.482	193	1	0	1	193	1123537	1123729	3.06e-95	351
micrurus_fulvius_uce-1004	NW_015386500.1	100	212	0	0	1	212	451682	451893	2e-107	392
micrurus_fulvius_uce-1005	NW_015386342.1	98.268	462	5	2	1	459	54588	55049	0	806
micrurus_fulvius_uce-101	NW_015386822.1	98	400	6	1	2	401	360613	361010	0	693
micrurus_fulvius_uce-1010	NW_015386500.1	98.113	159	3	0	1	159	928560	928718	4.19e-73	278
micrurus_fulvius_uce-1012	NW_015386501.1	99.438	356	2	0	1	356	327108	326753	0	647
micrurus_fulvius_uce-1014	NW_015391908.1	99.552	223	1	0	1	223	35952	36174	7.57e-112	407
micrurus_fulvius_uce-1018	NW_015386402.1	98.131	321	4	1	1	321	1295310	1294992	2.97e-157	558
micrurus_fulvius_uce-1021	NW_015387996.1	95.455	594	18	4	1	594	261054	261638	0	939
micrurus_fulvius_uce-1021	NW_015399636.1	100	274	0	0	396	669	1	274	2.38e-141	507
micrurus_fulvius_uce-1021	NW_015409303.1	99.636	275	1	0	396	670	2123	1849	3.08e-140	503
micrurus_fulvius_uce-1025	NW_015387745.1	95.536	224	10	0	1	224	129438	129215	2.16e-97	359
micrurus_fulvius_uce-1026	NW_015386684.1	98.174	219	3	1	1	218	412284	412502	4.47e-104	381
micrurus_fulvius_uce-1027	NW_015386735.1	96.93	228	5	1	1	228	1070742	1070517	4.7e-104	381
micrurus_fulvius_uce-1036	NW_015387253.1	98.214	280	4	1	1	280	658277	658555	3.39e-136	488
micrurus_fulvius_uce-1037	NW_015393597.1	95.2	125	1	1	1	125	988	869	1.16e-47	193
micrurus_fulvius_uce-1038	NW_015386935.1	98.818	592	4	3	1	590	101826	101236	0	1051
micrurus_fulvius_uce-1040	NW_015386441.1	98.246	399	7	0	1	399	1035015	1034617	0	699
micrurus_fulvius_uce-1041	NW_015386230.1	98.885	269	3	0	1	269	528795	529063	5.48e-134	481
micrurus_fulvius_uce-1044	NW_015386765.1	98.759	403	2	2	1	403	394713	394314	0	713
micrurus_fulvius_uce-1047	NW_015394389.1	90.323	248	23	1	1	247	7740	7493	8.8e-87	324
micrurus_fulvius_uce-1047	NW_015395050.1	90.204	245	23	1	1	244	8648	8892	4.1e-85	318
micrurus_fulvius_uce-1050	NW_015386408.1	97.743	443	9	1	1	443	1790197	1790638	0	761
micrurus_fulvius_uce-1051	NW_015386611.1	97.945	292	6	0	1	292	1002817	1003108	9.82e-142	507
micrurus_fulvius_uce-1052	NW_015386441.1	98.077	520	10	0	1	520	976587	976068	0	905
micrurus_fulvius_uce-1053	NW_015386924.1	99.321	442	3	0	1	442	190685	191126	0	800
micrurus_fulvius_uce-1055	NW_015387299.1	98.661	224	3	0	1	224	68764	68987	4.58e-109	398
micrurus_fulvius_uce-1056	NW_015386723.1	98.356	365	6	0	1	365	320837	321201	0	641
micrurus_fulvius_uce-1058	NW_015386489.1	98.611	216	3	0	1	216	729338	729553	1.48e-104	383
micrurus_fulvius_uce-1059	NW_015387874.1	92.123	292	13	5	1	288	485144	484859	1.3e-110	403
micrurus_fulvius_uce-106	NW_015386803.1	95.218	481	14	4	1	477	428745	429220	0	752
micrurus_fulvius_uce-1061	NW_015386252.1	98.698	461	6	0	1	461	431912	431452	0	819
micrurus_fulvius_uce-1062	NW_015389659.1	98.596	285	4	0	1	285	45038	44754	3.44e-141	505
micrurus_fulvius_uce-1063	NW_015387786.1	98.238	454	8	0	1	454	23629	24082	0	795
micrurus_fulvius_uce-1065	NW_015386953.1	96.337	273	5	4	1	270	860485	860755	7.16e-123	444
micrurus_fulvius_uce-1068	NW_015386466.1	98.093	367	5	2	1	366	517802	518167	0	638
micrurus_fulvius_uce-1069	NW_015390048.1	99.013	304	3	0	1	304	42241	41938	2.17e-153	545
micrurus_fulvius_uce-1077	NW_015387708.1	94.634	205	9	2	1	204	226819	226616	1.18e-84	316
micrurus_fulvius_uce-1081	NW_015386441.1	97.361	341	5	1	1	337	875674	875334	8.63e-163	577
micrurus_fulvius_uce-1084	NW_015386382.1	93.309	269	4	5	35	293	481659	481923	4.82e-105	385
