Thamnophis_sirtalis.locus	num.Species	CountCover	absolutePIS	percentPIS	mean.pident	pident.Thamnophis_sirtalis	pident.Anolis_carolinensis	pident.Gekko_japonicus	pident.Pogona_vitticeps	pident.Crotalus_horridus	pident.Crotalus_mitchellii	pident.Ophiophagus_hannah	pident.Pantherophis_guttatus	pident.Protobothrops_mucrosquamatus	pident.Python_bivittatus	pident.Vipera_berus	gene.name	locus.length.Thamnophis_sirtalis	mean.variable.sites	min.pident.all	min.pident.subgroup
NW_013657827.1:910430-911290	11	629	358	56.92	67.32	100	37.17	29.66	33.38	75.96	82.55	82.43	73.53	78.08	69.14	78.61	ZP1	860	0.33	29.66	69.14
NW_013659664.1:38845-38998	11	90	35	38.89	67.85	100	61.11	58.89	52.78	65.56	65.56	76.85	66.67	65.56	67.78	65.56	LOC106552485	153	0.32	52.78	65.56
NW_013660265.1:28568-29101	11	489	269	55.01	68.34	100	63.6	59.3	49.48	66.06	69.73	71.37	71.01	67.28	66.26	67.61	LOC106554233	533	0.32	49.48	66.06
NW_013657696.1:2144353-2144520	11	165	88	53.33	68.61	100	58.17	56.86	60.49	67.88	67.88	68.52	71.79	66.03	67.97	69.14	LOC106540148	167	0.31	56.86	66.03
NW_013660105.1:28823-29435	11	405	220	54.32	69.38	100	60.74	62.96	52.99	68.92	67.65	71.11	71.85	70.12	66.67	70.12	STOML2	612	0.31	52.99	66.67
NW_013658071.1:824772-824943	11	96	49	51.04	69.86	100	32.89	30.26	27.63	86.42	86.42	77.08	90.12	77.45	75	85.19	LOC106541798	171	0.3	27.63	75
NW_013659612.1:174186-174380	11	192	89	46.35	69.88	100	50.35	50.52	53.12	75.66	75.13	71.11	74.48	72.73	69.84	75.76	LOC106552294	194	0.3	50.35	69.84
NW_013660895.1:46126-46376	11	249	104	41.77	70.1	100	62.14	59.67	60.08	70.68	71.49	71.08	70.28	69.48	69.08	67.07	LOC106555408	250	0.3	59.67	67.07
NW_013657762.1:998611-998949	11	331	157	47.43	70.14	100	56.25	54.74	48.74	67.58	72.77	76.58	76.58	66.36	79.28	72.69	UBE2E1	338	0.3	48.74	66.36
NW_013658113.1:120803-120967	11	141	76	53.9	70.14	100	62.22	60.99	62.22	65.96	66.67	72.67	75.89	67.38	65.96	71.63	LOC106542345	164	0.3	60.99	65.96
NW_013658472.1:463482-463754	11	249	109	43.78	70.35	100	69.63	61.04	50	65.85	67.46	75.56	75.5	67.87	69.63	71.31	LOC106545737	272	0.3	50	65.85
NW_013658333.1:252116-252955	11	484	165	34.09	70.52	100	31.82	45.45	31.72	81.01	78.27	82.7	83.54	81.22	78.96	81.01	LOC106544583	839	0.29	31.72	78.27
NW_013660583.1:59514-59822	11	309	163	52.75	70.55	100	66.01	61.06	50.49	71.52	67.64	75.08	73.14	71.52	65.69	73.93	LOC106554869	308	0.29	50.49	65.69
NW_013658566.1:456215-456640	11	282	147	52.13	70.7	100	69.86	62.06	55.04	69.15	69.86	72.7	73.4	67.02	68.44	70.21	SYMPK	425	0.29	55.04	67.02
NW_013661163.1:23845-23997	11	153	83	54.25	70.81	100	60.13	62.09	52.78	75.82	74.51	73.86	71.9	72.55	67.32	67.97	NME8	152	0.29	52.78	67.32
