"gseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"micrurus_fulvius_uce-1003","NW_013657689",98.964,193,2,0,1,193,1628883,1629075,1.21e-93,346
"micrurus_fulvius_uce-1004","NW_013658338",99.528,212,1,0,1,212,523771,523560,7.97e-106,387
"micrurus_fulvius_uce-1005","NW_013657874",98.488,463,3,1,1,459,351664,352126,0,813
"micrurus_fulvius_uce-1010","NW_013657820",98.113,159,3,0,1,159,899175,899333,3.57e-73,278
"micrurus_fulvius_uce-1012","NW_013657845",98.876,356,4,0,1,356,840046,839691,1.27e-180,636
"micrurus_fulvius_uce-1014","NW_013657803",99.103,223,2,0,1,223,1275775,1275997,3.01e-110,401
"micrurus_fulvius_uce-1018","NW_013657836",97.819,321,3,2,1,321,300385,300701,4.23e-155,551
"micrurus_fulvius_uce-1021","NW_013658682",96.418,670,14,2,1,670,98164,98823,0,1096
"micrurus_fulvius_uce-1025","NW_013657689",95.495,222,9,1,1,221,64799,65020,8.6e-96,353
"micrurus_fulvius_uce-1026","NW_013657763",98.624,218,3,0,1,218,891236,891019,8.22e-106,387
"micrurus_fulvius_uce-1036","NW_013658539",98.571,280,4,0,1,280,115981,115702,1.73e-138,496
"micrurus_fulvius_uce-1037","NW_013660087",99.2,125,1,0,1,125,38216,38340,9.73e-58,226
"micrurus_fulvius_uce-1038","NW_013657751",98.818,592,4,3,1,590,1309478,1310068,0,1051
"micrurus_fulvius_uce-1040","NW_013658752",98.997,399,4,0,1,399,18684,18286,0,715
"micrurus_fulvius_uce-1041","NW_013658105",99.257,269,2,0,1,269,595763,595495,1e-135,486
"micrurus_fulvius_uce-1044","NW_013657892",98.511,403,2,3,1,403,1070332,1069934,0,708
"micrurus_fulvius_uce-1047","NW_013659384",97.166,247,7,0,1,247,115097,115343,3.34e-115,418
"micrurus_fulvius_uce-1050","NW_013658063",95.506,445,8,4,1,443,137628,137194,0,701
"micrurus_fulvius_uce-1051","NW_013658281",99.315,292,2,0,1,292,586285,586576,1.78e-148,529
"micrurus_fulvius_uce-1052","NW_013659539",97.121,521,14,1,1,520,179469,178949,0,878
"micrurus_fulvius_uce-1053","NW_013657683",99.321,442,3,0,1,442,317008,316567,0,800
"micrurus_fulvius_uce-1055","NW_013658682",98.206,223,4,0,2,224,182137,182359,6.56e-107,390
"micrurus_fulvius_uce-1056","NW_013658017",97.534,365,6,1,1,365,607303,607664,3.65e-176,621
"micrurus_fulvius_uce-1058","NW_013657852",96.774,248,8,0,1,248,964538,964785,4.46e-114,414
"micrurus_fulvius_uce-1059","NW_013659849",93.151,292,10,5,1,288,45489,45204,1.1e-115,420
"micrurus_fulvius_uce-106","NW_013657738",93.886,507,22,7,1,500,397658,397154,0,756
"micrurus_fulvius_uce-1061","NW_013657691",99.349,461,3,0,1,461,994103,993643,0,835
"micrurus_fulvius_uce-1062","NW_013661355",98.947,285,3,0,1,285,14577,14861,6.29e-143,510
"micrurus_fulvius_uce-1063","NW_013657691",98.678,454,6,0,1,454,521363,520910,0,806
"micrurus_fulvius_uce-1065","NW_013657843",95.255,274,8,5,1,270,731411,731139,1.71e-118,429
"micrurus_fulvius_uce-1068","NW_013658260",99.454,366,2,0,1,366,199263,198898,0,665
"micrurus_fulvius_uce-1069","NW_013658976",96.743,307,3,2,1,304,349813,350115,3.14e-141,505
"micrurus_fulvius_uce-1077","NW_013658059",96.078,204,7,1,1,204,585644,585442,3.62e-89,331
"micrurus_fulvius_uce-1081","NW_013660832",93.895,344,14,4,1,337,54121,54464,2.1e-143,512
"micrurus_fulvius_uce-1084","NW_013658195",97.611,293,3,4,1,293,578103,578391,1.4e-139,499
"micrurus_fulvius_uce-1085","NW_013657737",97.338,263,7,0,3,265,205667,205405,4.61e-124,448
"micrurus_fulvius_uce-1089","NW_013658052",97.861,187,2,2,1,185,74585,74771,1.95e-86,322
"micrurus_fulvius_uce-1090","NW_013658051",95.565,451,14,4,1,448,531491,531044,0,717
