locus.name	type	includes.genes	locus.altname1	locus.altname2	locus.altname3	Weinell2024.alignments
locus1	REE	ZP1	WeinellEntry1	REE_1	sample66_0000000001	TRUE
locus2	REE	LOC106540148	WeinellEntry4	REE_2	sample66_0000000009	TRUE
locus3	REE	LOC106541798	WeinellEntry6	REE_3	sample66_0000000010	TRUE
locus4	REE	LOC106552294	WeinellEntry7	REE_4	sample66_0000000015	TRUE
locus5	REE	UBE2E1	WeinellEntry9	REE_5	sample66_0000000021	TRUE
locus6	REE	LOC106544583	WeinellEntry12	REE_6	sample66_0000000024	TRUE
locus7	REE	LOC106539306	WeinellEntry16	REE_7	sample66_0000000025	TRUE
locus8	REE	LOC106543842	WeinellEntry17	REE_8	sample66_0000000027	TRUE
locus9	REE	PRR19	WeinellEntry18	REE_9	sample66_0000000030	TRUE
locus10	REE	LOC106553687	WeinellEntry20	REE_10	sample66_0000000032	TRUE
locus11	REE	LOC106546999	WeinellEntry21	REE_11	sample66_0000000035	TRUE
locus12	REE	LOC106540487	WeinellEntry22	REE_12	sample66_0000000039	TRUE
locus13	REE	LOC106552531	WeinellEntry24	REE_13	sample66_0000000043	TRUE
locus14	REE	LOC106553369	WeinellEntry25	REE_14	sample66_0000000044	TRUE
locus15	REE	LOC106554146	WeinellEntry26	REE_15	sample66_0000000045	TRUE
locus16	REE	LOC106551337	WeinellEntry27	REE_16	sample66_0000000048	TRUE
locus17	REE	LOC106549399	WeinellEntry30	REE_17	sample66_0000000049	TRUE
locus18	REE	LOC106552704	WeinellEntry31	REE_18	sample66_0000000053	TRUE
locus19	REE	LOC106545502	WeinellEntry33	REE_19	sample66_0000000063	TRUE
locus20	REE	LOC106542909	WeinellEntry35	REE_20	sample66_0000000075	TRUE
locus21	REE	DOK7	WeinellEntry37	REE_21	sample66_0000000078	TRUE
locus22	REE	LOC106548650	WeinellEntry39	REE_22	sample66_0000000079	TRUE
locus23	REE	LOC106541978	WeinellEntry41	REE_23	sample66_0000000080	TRUE
locus24	REE	LOC106543195	WeinellEntry43	REE_24	sample66_0000000083	TRUE
locus25	REE	LOC106552561	WeinellEntry46	REE_25	sample66_0000000094	TRUE
locus26	REE	LOC106540971	WeinellEntry47	REE_26	sample66_0000000109	TRUE
locus27	REE	LOC106541057	WeinellEntry49	REE_27	sample66_0000000114	TRUE
locus28	REE	AKAP9	WeinellEntry50	REE_28	sample66_0000000119	TRUE
locus29	REE	PTPN23	WeinellEntry51	REE_29	sample66_0000000127	TRUE
locus30	REE	DDIAS	WeinellEntry52	REE_30	sample66_0000000134	TRUE
locus31	REE	LOC106541018	WeinellEntry53	REE_31	sample66_0000000135	TRUE
locus32	REE	LOC106554748	WeinellEntry54	REE_32	sample66_0000000138	TRUE
locus33	REE	LOC106556731	WeinellEntry55	REE_33	sample66_0000000140	TRUE
locus35	REE	LOC106543570	WeinellEntry58	REE_34	sample66_0000000151	TRUE
locus36	REE	LOC106557311	WeinellEntry61	REE_35	sample66_0000000153	TRUE
locus37	REE	LOC106554749	WeinellEntry62	REE_36	sample66_0000000154	TRUE
locus38	REE	LOC106549658	WeinellEntry63	REE_37	sample66_0000000156	TRUE
locus39	REE	LOC106551804	WeinellEntry64	REE_38	sample66_0000000159	TRUE
locus40	REE	LOC106543167	WeinellEntry65	REE_39	sample66_0000000162	TRUE
locus41	REE	LOC106550840	WeinellEntry69	REE_40	sample66_0000000163	TRUE
locus42	REE	LOC106540366	WeinellEntry70	REE_41	sample66_0000000164	TRUE
locus43	REE	LOC106544458	WeinellEntry71	REE_42	sample66_0000000174	TRUE
locus44	REE	LOC106555384	WeinellEntry72	REE_43	sample66_0000000175	TRUE
locus45	REE	LOC106546459	WeinellEntry75	REE_44	sample66_0000000177	TRUE
locus46	REE	LOC106551805	WeinellEntry76	REE_45	sample66_0000000178	TRUE
locus47	REE	LOC106554547	WeinellEntry79	REE_46	sample66_0000000185	TRUE
locus48	REE	LOC106541245	WeinellEntry80	REE_47	sample66_0000000188	TRUE
locus49	REE	LOC106547509	WeinellEntry84	REE_48	sample66_0000000190	TRUE
locus50	REE	LOC106556522	WeinellEntry86	REE_49	sample66_0000000192	TRUE
locus51	REE	LOC106555273	WeinellEntry87	REE_50	sample66_0000000198	TRUE
locus52	REE	FHOD1	WeinellEntry88	REE_51	sample66_0000000199	TRUE
locus53	REE	LOC106537630	WeinellEntry89	REE_52	sample66_0000000201	TRUE
locus54	REE	LOC106553836	WeinellEntry90	REE_53	sample66_0000000202	TRUE
locus55	REE	LOC106549225	WeinellEntry92	REE_54	sample66_0000000203	TRUE
locus56	REE	LOC106557311;LOC106557325	WeinellEntry93	REE_55	sample66_0000000205	TRUE
locus57	REE	LOC106552964	WeinellEntry94	REE_56	sample66_0000000209	TRUE
locus59	REE	LOC106549780	WeinellEntry97	REE_57	sample66_0000000211	TRUE
locus60	REE	LOC106542908	WeinellEntry99	REE_58	sample66_0000000215	TRUE
locus61	REE	LOC106556387	WeinellEntry100	REE_59	sample66_0000000219	TRUE
locus62	REE	LOC106543061	WeinellEntry101	REE_60	sample66_0000000221	TRUE
locus63	REE	KIAA1328	WeinellEntry102	REE_61	sample66_0000000225	TRUE
locus64	REE	LOC106553326	WeinellEntry103	REE_62	sample66_0000000228	TRUE
locus65	REE	LOC106544989	WeinellEntry104	REE_63	sample66_0000000230	TRUE
locus66	REE	SHROOM4	WeinellEntry106	REE_64	sample66_0000000234	TRUE
locus67	REE	LOC106549000	WeinellEntry107	REE_65	sample66_0000000235	TRUE
locus68	REE	LOC106553417	WeinellEntry108	REE_66	sample66_0000000236	TRUE
locus69	REE	LOC106550443	WeinellEntry110	REE_67	sample66_0000000238	TRUE
locus70	REE	LOC106546776	WeinellEntry111	REE_68	sample66_0000000247	TRUE
