target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry5178	yes	yes	yes	NW_013660663.1:28965-30065	NW_013660663.1	28965	30065	1	—	Beta1	<1..>1101	-1	<1..>1101	-1	<1..103	-1	1	—
WeinellEntry5179	yes	yes	yes	AZIM01003044.1:7505-8605	AZIM01003044.1	7505	8605	1	—	LOC106543859	<1..407	-1	<1..407	-1	<1..9;276..407	minus;minus	3;3	—
WeinellEntry5180	yes	yes	yes	NW_013660663.1:52952-54052	NW_013660663.1	52952	54052	1	—	Beta3	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5181	yes	yes	yes	NW_013660663.1:56795-57895	NW_013660663.1	56795	57895	-1	—	Beta4	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5182	yes	yes	yes	AZIM01003044.1:67822-68922	AZIM01003044.1	67822	68922	1	—	Beta5	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5183	yes	yes	yes	BCNE02024610.1:24371-25471	BCNE02024610.1	24371	25471	-1	—	Beta6	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5184	yes	yes	yes	AZIM01003044.1:52519-53619	AZIM01003044.1	52519	53619	-1	—	Beta7	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5185	yes	yes	yes	AZIM01003044.1:48127-49227	AZIM01003044.1	48127	49227	1	—	Beta8	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5186	yes	yes	yes	NW_013662717.1:339-1439	NW_013662717.1	339	1439	-1	—	Beta9	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5187	yes	yes	yes	AZIM01007131.1:25847-26947	AZIM01007131.1	25847	26947	1	—	Beta10	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5188	yes	yes	yes	AZIM01007131.1:17892-18992	AZIM01007131.1	17892	18992	-1	—	Beta11	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5189	yes	yes	yes	BCNE02024612.1:8079-9179	BCNE02024612.1	8079	9179	1	—	Beta12	<1..>1101	-1	<1..>1101	-1	1002..>1101	-1	1	—
WeinellEntry5190	yes	yes	yes	NW_013660017.1:54099-55199	NW_013660017.1	54099	55199	1	—	Beta13	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5191	yes	yes	yes	AZIM01004187.1:c42532-41924	AZIM01004187.1	42532	41924	-1	—	Beta14	<1..>609	1	<1..>609	1	509..>609	1	1	—
WeinellEntry5192	yes	yes	yes	LVCR01013649.1:2083-3183	LVCR01013649.1	2083	3183	-1	—	Beta15	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5193	yes	yes	yes	NW_013660017.1:85097-86197	NW_013660017.1	85097	86197	-1	—	Beta16	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5194	yes	yes	yes	BCNE02024616.1:c1573-473	BCNE02024616.1	1573	473	-1	—	Beta17	<1..>1101	-1	<1..>1101	-1	1001..>1101	-1	1	—
WeinellEntry5195	yes	yes	yes	AZIM01004187.1:26623-27240	AZIM01004187.1	26623	27240	1	—	Beta18	<1..>618	1	<1..>618	1	518..>618	1	1	—
WeinellEntry5196	yes	yes	yes	NW_013660017.1:98738-99838	NW_013660017.1	98738	99838	1	—	Beta19	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5197	yes	yes	yes	AZIM01004187.1:17587-18687	AZIM01004187.1	17587	18687	1	—	Beta20	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5198	yes	no	no	NW_013660017.1:114408-115508	NW_013660017.1	114408	115508	1	—	Beta21	<1..>1101	1	—	—	—	—	—	—
WeinellEntry5199	yes	yes	yes	AZIM01004187.1:1419-2514	AZIM01004187.1	1419	2514	1	—	Beta22	<1..>1096	1	<1..>1096	1	1049..>1096	1	1	—
WeinellEntry5201	yes	yes	yes	NW_013659327.1:137079-138179	NW_013659327.1	137079	138179	-1	—	Beta24	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
