qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NW_013657681.1:2859451-2859883	NW_018150846.1	80.73	436	76	6	2	433	1884796	1885227	2.77e-89	333
NW_013657681.1:291857-294683	NW_018150723.1	72.3	426	104	12	942	1357	4523492	4523913	1.62e-24	121
NW_013657681.1:3211050-3211191	NW_018151788.1	82.44	131	23	0	3	133	154724	154854	3.11e-24	115
NW_013657682.1:896304-896574	NW_018150919.1	90.56	233	22	0	7	239	299029	299261	2.81e-82	309
NW_013657684.1:454613-454790	NW_018151059.1	77.78	171	32	6	6	173	1171218	1171385	1.14e-19	100
NW_013657685.1:398041-398911	NW_018150737.1	85.88	878	112	9	3	871	1078060	1077186	0	924
NW_013657686.1:1584636-1584853	NW_018150860.1	91.11	45	4	0	155	199	1711893	1711849	6.78e-08	62.1
NW_013657687.1:1973384-1974985	NW_018150902.1	90.24	1608	151	1	1	1602	1494708	1493101	0	2095
NW_013657688.1:1042316-1042813	NW_018150708.1	89.43	473	50	0	26	498	719220	718748	1.03e-168	597
NW_013657688.1:2521799-2521963	NW_018150789.1	88.89	135	15	0	30	164	2155006	2154872	1.02e-39	167
NW_013657689.1:1014814-1014951	NW_018151556.1	97.06	34	1	0	17	50	45026	44993	5.13e-07	58.4
NW_013657690.1:2287575-2287732	NW_018150720.1	87.9	157	19	0	2	158	1424239	1424395	2.66e-45	185
NW_013657691.1:2235822-2236453	NW_018151072.1	81.82	495	86	3	140	632	1245846	1246338	5.16e-113	412
NW_013657697.1:1339805-1341733	NW_018150894.1	81.64	1133	200	4	775	1906	138755	139880	0	933
NW_013657698.1:162073-162369	NW_018151188.1	80.47	297	58	0	1	297	842532	842236	8.95e-58	228
NW_013657698.1:2053757-2054186	NW_018150760.1	80.56	355	65	4	78	430	2284082	2284434	2.19e-70	270
NW_013657698.1:359074-360333	NW_018150853.1	72.19	1316	290	44	3	1259	950029	948731	8.43e-89	333
NW_013657699.1:552292-552535	NW_018151158.1	80.56	252	39	9	1	244	110260	110509	4.39e-45	185
NW_013657701.1:920766-920930	NW_018150709.1	87.5	160	20	0	1	160	5911348	5911189	2.8e-45	185
NW_013657702.1:1516302-1517441	NW_018150762.1	80.97	1156	196	16	1	1138	2873591	2872442	0	894
NW_013657703.1:117628-117797	NW_018150866.1	85.29	170	25	0	1	170	2132899	2132730	1.75e-42	176
NW_013657704.1:1122559-1123162	NW_018151383.1	74.18	612	139	16	1	604	287005	287605	3.18e-60	237
NW_013657704.1:1129111-1130517	NW_018151383.1	100	34	0	0	424	457	292367	292400	1.37e-07	63.9
NW_013657704.1:1695005-1695788	NW_018151026.1	87.63	582	69	2	1	582	500785	501363	0	673
NW_013657704.1:742146-742272	NW_018150952.1	90.52	116	11	0	1	116	1429099	1429214	5.73e-36	154
NW_013657707.1:1989951-1990181	NW_018151419.1	85.55	173	25	0	59	231	309073	309245	5.33e-44	182
NW_013657709.1:1574941-1575120	NW_018150832.1	88.76	178	20	0	1	178	997268	997445	3.06e-55	219
NW_013657709.1:1697030-1699353	NW_018150832.1	75.95	2337	487	53	14	2323	1119341	1121629	0	1133
NW_013657709.1:619410-619535	NW_018150702.1	86.99	123	16	0	4	126	4411630	4411508	1.59e-31	139
NW_013657709.1:706299-707171	NW_018150702.1	85.37	875	124	3	1	873	4319354	4318482	0	904
NW_013657711.1:111802-112193	NW_018150867.1	82.86	140	24	0	1	140	1539950	1539811	4.54e-27	126
NW_013657711.1:1369536-1369658	NW_018151058.1	88.98	118	13	0	1	118	689827	689944	9.2e-34	147
NW_013657711.1:1634961-1635242	NW_018151058.1	79.86	283	55	2	1	282	936529	936810	3.96e-51	206
NW_013657711.1:1697106-1697384	NW_018151058.1	84.59	279	43	0	1	279	1005049	1005327	8.17e-73	278
NW_013657711.1:1802884-1803023	NW_018151058.1	83.33	138	23	0	1	138	1082198	1082335	3.92e-28	128
NW_013657711.1:1819940-1820209	NW_018151058.1	82.2	264	47	0	1	264	1098990	1099253	8.05e-58	228
NW_013657711.1:1867304-1867894	NW_018151058.1	84.43	591	92	0	1	591	1148493	1149083	3.46e-164	582
NW_013657711.1:1891156-1891455	NW_018151058.1	81.11	270	51	0	1	270	1174428	1174697	1.96e-54	217
NW_013657711.1:1894927-1895223	NW_018151058.1	84.75	295	45	0	1	295	1177542	1177836	2.42e-78	296
NW_013657711.1:1896627-1896926	NW_018151058.1	87.38	301	36	2	1	300	1178752	1179051	8.61e-93	344
NW_013657711.1:1897016-1899082	NW_018151058.1	84.96	2068	309	2	1	2067	1179157	1181223	0	2095
NW_013657711.1:1904097-1904690	NW_018151058.1	83	594	101	0	1	594	1185165	1185758	7.65e-151	538
NW_013657711.1:194982-195170	NW_018150867.1	87.3	189	24	0	1	189	1421376	1421188	1.17e-54	217
NW_013657713.1:1074747-1075318	NW_018151162.1	82.76	557	92	4	2	556	902844	903398	1.61e-137	494
NW_013657715.1:303346-303561	NW_018150890.1	77.95	127	24	3	1	125	1566452	1566328	2.4e-12	76.8
NW_013657718.1:186537-186691	NW_018150750.1	85.82	141	20	0	10	150	2683935	2684075	9.48e-35	150
NW_013657718.1:188650-191331	NW_018150750.1	76.37	931	189	20	139	1046	2684515	2685437	3.69e-130	472
NW_013657723.1:1700193-1703347	NW_018151223.1	74.53	3200	710	86	4	3155	677448	674306	0	1297
NW_013657723.1:491723-491870	NW_018151282.1	85.29	136	18	2	14	148	399202	399068	1.94e-31	139
NW_013657724.1:1714757-1715164	NW_018150922.1	86.49	385	50	2	3	386	33213	32830	5.4e-116	422
NW_013657725.1:1318764-1321202	NW_018150860.1	84.1	2428	377	3	15	2439	2227499	2225078	0	2337
NW_013657725.1:1385770-1388997	NW_018150860.1	81.75	3249	552	21	2	3228	2153586	2150357	0	2676
NW_013657725.1:408659-408863	NW_018151192.1	84.89	139	18	3	4	142	891476	891611	1.02e-30	137
NW_013657725.1:604604-604781	NW_018150860.1	84.17	139	20	2	27	164	2825872	2825735	1.13e-29	134
NW_013657725.1:910543-910672	NW_018150860.1	89.52	124	12	1	7	129	2570573	2570450	1.64e-36	156
NW_013657727.1:745450-745660	NW_018150756.1	84.43	212	31	2	1	211	449132	449342	7.93e-52	207
NW_013657727.1:757271-757454	NW_018150756.1	86.83	167	22	0	1	167	453202	453368	8.86e-46	187
NW_013657727.1:772146-772324	NW_018150756.1	89.27	177	19	0	3	179	483660	483836	2.35e-56	222
NW_013657727.1:834832-835019	NW_018150756.1	87.23	188	24	0	1	188	560120	560307	4.17e-54	215
NW_013657727.1:993784-993935	NW_018151214.1	91.45	152	13	0	1	152	314303	314152	1.51e-52	209
NW_013657728.1:261852-263336	NW_018150715.1	75.35	994	205	29	2	975	5904736	5903763	1.59e-121	442
NW_013657728.1:738275-738399	NW_018151044.1	86.18	123	17	0	3	125	654485	654363	7.31e-30	134
NW_013657728.1:743605-743800	NW_018151044.1	90.62	192	18	0	5	196	653412	653221	2.56e-66	255
NW_013657728.1:745164-745356	NW_018151044.1	87.27	165	18	3	1	165	652804	652643	3.37e-45	185
NW_013657728.1:746752-746904	NW_018151044.1	91.45	152	13	0	1	152	650842	650691	1.52e-52	209
NW_013657729.1:353470-353655	NW_018150878.1	83.75	160	24	2	28	186	2050414	2050572	1.18e-34	150
NW_013657730.1:1725943-1726090	NW_018150841.1	88.19	144	17	0	5	148	1216524	1216381	1.91e-41	172
NW_013657732.1:1444556-1444962	NW_018150717.1	79.71	409	73	9	4	407	3814454	3814051	2.05e-75	287
NW_013657732.1:1444563-1444962	NW_018150717.1	80.48	374	67	5	30	400	3814421	3814051	9.37e-74	281
NW_013657736.1:669379-670402	NW_018150732.1	85.07	1025	149	4	1	1023	3537556	3536534	0	1042
NW_013657738.1:1751224-1751442	NW_018151229.1	86.51	215	29	0	5	219	84146	83932	1.06e-60	237
NW_013657738.1:1762898-1763046	NW_018151229.1	88.59	149	17	0	1	149	72723	72575	3.2e-44	182
NW_013657739.1:1016070-1016291	NW_018151388.1	78.11	201	38	5	3	200	376067	376264	3.13e-26	122
NW_013657739.1:1026252-1026382	NW_018151388.1	77.86	131	29	0	1	131	387658	387788	2.85e-14	82.4
NW_013657739.1:643679-643802	NW_018150951.1	84.48	58	9	0	1	58	598393	598450	4.48e-07	58.4
NW_013657739.1:732791-733135	NW_018151197.1	90.14	345	34	0	1	345	707933	708277	2.07e-124	449
NW_013657739.1:748439-748636	NW_018151197.1	82.87	181	31	0	18	198	747287	747467	1.62e-38	163
NW_013657739.1:758381-758580	NW_018151197.1	89.85	197	20	0	1	197	762748	762944	9.44e-66	254
NW_013657739.1:772162-772425	NW_018151197.1	88.72	266	25	4	1	262	95597	95333	1.26e-85	320
NW_013657739.1:919211-919992	NW_018151388.1	81.09	513	60	22	302	779	226286	226796	8.45e-102	375
NW_013657739.1:956295-957325	NW_018151388.1	85.3	1027	136	11	8	1031	288150	289164	0	1046
NW_013657739.1:968055-969234	NW_018151388.1	85.76	990	133	5	14	999	304328	305313	0	1040
NW_013657742.1:1432408-1432620	NW_018150715.1	89.67	213	22	0	1	213	3373241	3373453	2.8e-71	272
NW_013657742.1:1483122-1486502	NW_018150697.1	77.87	610	79	33	2815	3381	1914219	1914815	1.07e-86	327
NW_013657742.1:1487731-1487963	NW_018150697.1	90.56	233	22	0	1	233	1916386	1916618	2.37e-82	309
NW_013657742.1:1500187-1501917	NW_018150697.1	80.11	1574	280	22	6	1552	1926984	1928551	0	1142
NW_013657742.1:1659675-1659918	NW_018151433.1	91.3	230	20	0	3	232	407737	407966	5.36e-84	315
NW_013657742.1:1668334-1668505	NW_018151433.1	85.11	141	20	1	1	140	413325	413465	1.8e-32	143
NW_013657743.1:831002-831888	NW_018150924.1	78.72	888	187	2	1	887	1238991	1238105	8.79e-167	592
NW_013657745.1:1358426-1358680	NW_018150851.1	77.25	233	53	0	1	233	239504	239736	1.31e-30	137
NW_013657745.1:558700-559345	NW_018151465.1	78.05	647	135	6	5	646	208250	207606	1.14e-109	401
NW_013657745.1:65728-66000	NW_018151033.1	87.82	271	33	0	3	273	1064884	1064614	4.7e-85	318
NW_013657746.1:1139454-1139616	NW_018150729.1	81.58	152	24	3	1	150	2179451	2179600	2.2e-26	122
NW_013657746.1:1163747-1164252	NW_018151621.1	85.66	502	72	0	5	506	155618	155117	3.88e-148	529
NW_013657746.1:1371257-1371495	NW_018151282.1	77.43	226	45	5	17	239	488134	488356	2.04e-28	130
NW_013657752.1:759979-760137	NW_018151111.1	86.79	159	21	0	1	159	855865	855707	4.49e-43	178
NW_013657753.1:1181229-1181423	NW_018151214.1	93.33	195	13	0	1	195	702760	702566	2.51e-76	289
NW_013657753.1:1373814-1374218	NW_018150926.1	86.07	402	56	0	4	405	503977	503576	2.48e-119	433
NW_013657753.1:319961-320112	NW_018151153.1	90.48	147	14	0	6	152	785312	785166	4.22e-48	195
NW_013657753.1:329652-329805	NW_018151153.1	85.33	150	22	0	1	150	801989	802138	2.02e-36	156
NW_013657755.1:942199-942427	NW_018150860.1	92	50	4	0	96	145	132564	132613	1.19e-10	71.3
NW_013657756.1:144685-144822	NW_018150954.1	88.41	138	16	0	1	138	1921953	1921816	8.16e-40	167
NW_013657756.1:200504-200630	NW_018150954.1	93.27	104	7	0	24	127	1846520	1846417	5.73e-36	154
NW_013657756.1:272991-273127	NW_018150954.1	83.58	134	22	0	4	137	1682444	1682311	1.37e-27	126
NW_013657756.1:273851-273995	NW_018150954.1	88.97	145	16	0	1	145	1680481	1680337	1.11e-43	180
NW_013657756.1:292334-292458	NW_018150954.1	89.43	123	13	0	3	125	1623879	1623757	1.56e-36	156
NW_013657756.1:307972-308117	NW_018150954.1	90.7	129	11	1	16	144	1602490	1602363	6.77e-41	171
NW_013657756.1:309827-310005	NW_018150954.1	89.39	179	19	0	1	179	1598760	1598582	1.82e-57	226
NW_013657756.1:394074-394302	NW_018151153.1	79.58	240	32	11	1	224	288729	288967	3.2e-36	156
NW_013657756.1:419262-419494	NW_018151153.1	88.24	204	24	0	27	230	317530	317733	6.77e-63	244
NW_013657758.1:1256767-1256928	NW_018150841.1	90.12	162	16	0	1	162	2370490	2370651	4.52e-53	211
NW_013657758.1:1388483-1388705	NW_018150841.1	83.71	221	34	2	2	221	2466619	2466400	8.45e-52	207
NW_013657758.1:1399920-1400142	NW_018150841.1	83.26	221	35	2	2	221	2466619	2466400	3.93e-50	202
NW_013657758.1:720704-720925	NW_018150834.1	87.39	222	28	0	1	222	3170411	3170190	2.96e-66	255
NW_013657758.1:726924-727159	NW_018150834.1	84.75	236	36	0	1	236	3165525	3165290	1.15e-60	237
NW_013657758.1:793441-793650	NW_018150834.1	83.81	210	32	2	1	209	3101423	3101215	4.75e-49	198
NW_013657759.1:1040493-1044163	NW_018150716.1	79.13	992	179	19	2692	3662	3759047	3760031	0	660
NW_013657760.1:634217-634374	NW_018151503.1	83.02	159	25	2	1	158	311165	311322	1.62e-32	143
NW_013657761.1:1533831-1533991	NW_018151000.1	82.12	151	27	0	2	152	843660	843810	1.29e-28	130
NW_013657761.1:1534765-1534895	NW_018151000.1	83.97	131	21	0	1	131	845299	845429	1.3e-27	126
NW_013657761.1:344113-344242	NW_018151638.1	91.47	129	11	0	2	130	40242	40370	3.5e-43	178
NW_013657761.1:353406-353540	NW_018151805.1	84.3	121	15	3	17	135	39466	39584	2.92e-24	115
NW_013657762.1:1430279-1430440	NW_018150720.1	87.82	156	19	0	7	162	112184	112029	9.86e-45	183
NW_013657763.1:436036-436176	NW_018151175.1	92.81	139	10	0	3	141	322777	322639	2.3e-50	202
NW_013657763.1:537143-539128	NW_018151175.1	86.96	230	30	0	1757	1986	189074	188845	2.31e-66	259
NW_013657767.1:722398-722518	NW_018150717.1	87.5	128	9	6	1	121	5186001	5185874	4.19e-32	141
NW_013657767.1:988509-990274	NW_018150717.1	79.35	1051	191	17	723	1766	4965250	4964219	0	715
NW_013657767.1:992912-994831	NW_018150717.1	76.67	1830	305	56	170	1920	4961036	4959250	0	904
NW_013657768.1:104213-105002	NW_018151356.1	84.74	793	115	4	1	790	244485	243696	0	789
NW_013657768.1:1466076-1466253	NW_018151050.1	78.21	179	35	4	2	178	602737	602913	5.28e-23	111
NW_013657769.1:508761-509219	NW_018151353.1	82.35	85	15	0	333	417	563195	563111	1.97e-11	75
NW_013657774.1:1022274-1023197	NW_018150701.1	85.85	926	118	6	1	924	6699379	6700293	0	972
NW_013657775.1:1337143-1337339	NW_018150705.1	77.33	172	27	11	1	166	3088325	3088490	7.7e-17	91.6
NW_013657777.1:1184269-1184416	NW_018150926.1	85.84	113	16	0	36	148	1382456	1382344	7.03e-26	121
NW_013657777.1:1252278-1253290	NW_018150926.1	85.85	212	30	0	1	212	1347535	1347324	1.18e-56	226
NW_013657780.1:220517-220639	NW_018151182.1	87.6	121	15	0	3	123	938415	938295	4.28e-32	141
NW_013657780.1:225457-225588	NW_018151182.1	85.94	128	18	0	5	132	933950	933823	6.06e-31	137
NW_013657780.1:282804-285360	NW_018151182.1	81.42	2578	440	28	1	2557	902913	900354	0	2071
NW_013657782.1:1027450-1028441	NW_018150824.1	73.45	998	244	18	4	992	2904042	2903057	1.41e-95	355
NW_013657783.1:237323-237505	NW_018151000.1	90.16	183	18	0	1	183	1072177	1071995	2.4e-61	239
NW_013657784.1:455134-456294	NW_018151151.1	75.9	1191	239	37	1	1161	720900	722072	7.02e-159	566
NW_013657785.1:126974-127162	NW_018151201.1	85.4	137	20	0	1	137	870050	869914	2.01e-32	143
NW_013657787.1:878019-878592	NW_018150722.1	89.04	575	61	2	1	574	2369633	2370206	0	712
NW_013657789.1:1417079-1417457	NW_018150991.1	84.08	289	42	4	93	379	113229	113515	4.11e-72	276
NW_013657794.1:1144631-1144811	NW_018151084.1	86.19	181	25	0	1	181	520434	520614	1.44e-48	196
NW_013657794.1:826121-826257	NW_018151084.1	88.62	123	14	0	1	123	202529	202651	8.15e-35	150
NW_013657795.1:106787-106916	NW_018150919.1	80.47	128	25	0	3	130	2064406	2064533	2.8e-19	99
NW_013657796.1:26275-26473	NW_018151179.1	91.33	196	17	0	1	196	792209	792404	3.35e-70	268
NW_013657799.1:1397987-1398189	NW_018151313.1	86.8	197	23	1	7	203	393803	393610	1.26e-54	217
NW_013657803.1:752654-753376	NW_018151261.1	84.7	706	103	5	19	723	760044	759343	0	701
NW_013657804.1:1297485-1297668	NW_018150776.1	86.74	181	24	0	4	184	332240	332060	3.17e-50	202
NW_013657805.1:259472-259639	NW_018150784.1	84.91	159	24	0	10	168	1398092	1397934	4.83e-38	161
NW_013657809.1:1079259-1079517	NW_018150748.1	85.28	265	33	3	1	259	3843278	3843542	4.53e-70	268
NW_013657810.1:1095976-1096137	NW_018150784.1	87.04	162	21	0	1	162	2809910	2810071	9.86e-45	183
NW_013657810.1:1311685-1312343	NW_018150784.1	85.94	647	76	7	13	659	3063702	3064333	0	676
NW_013657811.1:1164170-1165585	NW_018150844.1	77.88	330	64	8	41	367	307013	307336	1.3e-47	196
NW_013657815.1:1071633-1072103	NW_018150759.1	80.05	436	87	0	1	436	296279	296714	1.82e-86	324
NW_013657815.1:1071633-1072108	NW_018150759.1	80.05	436	87	0	1	436	296279	296714	1.84e-86	324
NW_013657818.1:1306650-1306794	NW_018150773.1	82.48	137	20	3	11	145	2243615	2243749	8.87e-25	117
NW_013657820.1:55253-55578	NW_018150790.1	82.21	326	58	0	1	326	1884869	1885194	7.5e-74	281
NW_013657824.1:820945-821847	NW_018150847.1	79.4	908	166	16	7	902	59803	58905	1.14e-175	621
NW_013657824.1:946125-946377	NW_018150941.1	90.51	253	24	0	1	253	2049908	2049656	4.29e-90	335
NW_013657827.1:174338-174807	NW_018150850.1	83.85	130	21	0	1	130	2270235	2270106	1.98e-26	124
NW_013657828.1:860453-860663	NW_018151162.1	90.05	201	20	0	1	201	703879	704079	6e-68	261
NW_013657829.1:1543137-1547962	NW_018150919.1	83.12	2067	314	25	2754	4792	1297478	1299537	0	1851
NW_013657830.1:1005461-1005881	NW_018150698.1	77.43	412	86	6	5	411	3109332	3109741	6.02e-61	239
NW_013657830.1:1265551-1265682	NW_018150698.1	83.46	133	20	2	1	132	3423746	3423877	1.7e-26	122
NW_013657831.1:1286651-1288639	NW_018150778.1	82.72	1221	192	13	1	1219	1099203	1098000	0	1068
NW_013657831.1:158963-159682	NW_018150838.1	78.32	632	123	13	99	720	663398	664025	5.95e-108	396
NW_013657831.1:239327-239533	NW_018150838.1	90.34	207	20	0	1	207	791431	791637	2.71e-71	272
NW_013657831.1:250938-251105	NW_018150838.1	85.44	158	23	0	1	158	800240	800397	3.73e-39	165
NW_013657834.1:163238-163927	NW_018151380.1	82.09	698	116	3	1	689	587625	586928	8.76e-166	588
NW_013657835.1:457106-457969	NW_018150723.1	83.8	864	134	5	1	858	2073917	2074780	0	815
NW_013657839.1:503267-503413	NW_018150950.1	78.87	142	30	0	1	142	270995	271136	1.17e-18	97.1
NW_013657843.1:36570-36896	NW_018150968.1	81.94	299	54	0	21	319	768754	768456	1.64e-65	254
