target.covered	Thamnophis.CDS.names	num.Species	CountCover	absolutePIS	percentPIS	mean.pident	pident.Thamnophis	pident.Ophiophagus	pident.mitchellii	pident.Python	pident.Vipera	pident.horridus	pident.Protobothrops	pident.Pantherophis	pident.Anolis	pident.Pogona	pident.Gekko	gene.name	gene.lengths	mean.var.sites	min.pident.snakes
WeinellEntry1	NW_013657827.1_Subject=LFLD01S000148.1_910430_911290	11	629	358	0.569157392686804	67.3185884422008	100	82.4257425742574	82.5520833333333	69.1358024691358	78.6127167630058	75.9615384615385	78.0780780780781	73.5294117647059	37.1666666666667	33.3827893175074	29.6596434359806	gene=ZP1	860	281.060139397073	69.1358024691358
WeinellEntry2	NW_013659664.1_Subject=LFLD01S001985.1_38845_38998	11	90	35	0.388888888888889	67.8451178451178	100	76.8518518518518	65.5555555555556	67.7777777777778	65.5555555555556	65.5555555555556	65.5555555555556	66.6666666666667	61.1111111111111	52.7777777777778	58.8888888888889	gene=LOC106552485	153	49.1969696969698	65.5555555555556
WeinellEntry3	NW_013660265.1_Subject=LFLD01S002586.1_28568_29101	11	489	269	0.550102249488753	68.3374362720761	100	71.3701431492842	69.7341513292434	66.2576687116564	67.608286252354	66.0606060606061	67.280163599182	71.0144927536232	63.59918200409	49.4824016563147	59.3047034764826	gene=LOC106554233	533	168.761464669834	66.0606060606061
WeinellEntry4	NW_013657696.1_Subject=LFLD01S000017.1_2144353_2144520	11	165	88	0.533333333333333	68.6120702430863	100	68.5185185185185	67.8787878787879	67.9738562091503	69.1358024691358	67.8787878787879	66.025641025641	71.7948717948718	58.1699346405229	60.4938271604938	56.8627450980392	gene=LOC106540148	167	52.4178426940459	66.025641025641
WeinellEntry5	NW_013660105.1_Subject=LFLD01S002426.1_28823_29435	11	405	220	0.54320987654321	69.3765407538647	100	71.1111111111111	67.6543209876543	66.6666666666667	70.1234567901235	68.922305764411	70.1234567901235	71.8518518518518	60.7407407407407	52.9850746268657	62.962962962963	gene=STOML2	612	187.415570586348	66.6666666666667
WeinellEntry6	NW_013658071.1_Subject=LFLD01S000392.1_824772_824943	11	96	49	0.510416666666667	69.8610850507135	100	77.0833333333333	86.4197530864197	75	85.1851851851852	86.4197530864197	77.4509803921569	90.1234567901235	32.8947368421053	27.6315789473684	30.2631578947368	gene=LOC106541798	171	51.5375445632799	75
WeinellEntry7	NW_013659612.1_Subject=LFLD01S001933.1_174186_174380	11	192	89	0.463541666666667	69.8827718327235	100	71.1111111111111	75.1322751322751	69.8412698412698	75.7575757575758	75.6613756613757	72.7272727272727	74.4791666666667	50.354609929078	53.125	50.5208333333333	gene=LOC106552294	194	58.4274226445164	69.8412698412698
WeinellEntry8	NW_013660895.1_Subject=LFLD01S003216.1_46126_46376	11	249	104	0.417670682730924	70.0954209655682	100	71.0843373493976	71.4859437751004	69.0763052208835	67.0682730923695	70.6827309236948	69.4779116465863	70.281124497992	62.1399176954733	60.082304526749	59.6707818930041	gene=LOC106555408	250	74.7614475860795	67.0682730923695
WeinellEntry9	NW_013657762.1_Subject=LFLD01S000083.1_998611_998949	11	331	157	0.474320241691843	70.1417421941376	100	76.5765765765766	72.7699530516432	79.2792792792793	72.6851851851852	67.5757575757576	66.3636363636364	76.5765765765766	56.25	48.7421383647799	54.7400611620795	gene=UBE2E1	338	100.920911383815	66.3636363636364
WeinellEntry10	NW_013658113.1_Subject=LFLD01S000434.1_120803_120967	11	141	76	0.539007092198582	70.1435632924995	100	72.6666666666667	66.6666666666667	65.9574468085106	71.6312056737589	65.9574468085106	67.3758865248227	75.886524822695	62.2222222222222	62.2222222222222	60.9929078014184	gene=LOC106542345	164	48.9645562003008	65.9574468085106
WeinellEntry11	NW_013658472.1_Subject=LFLD01S000793.1_463482_463754	11	249	109	0.437751004016064	70.3504071247351	100	75.5555555555556	67.4603174603175	69.6296296296296	71.3080168776371	65.8536585365854	67.8714859437751	75.5020080321285	69.6296296296296	50	61.0441767068273	gene=LOC106545737	272	80.6468926207205	65.8536585365854
