target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry5408	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5409	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5410	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5411	yes	yes	yes	NW_013658374.1:151397-152328	NW_013658374.1	151397	152328	2	106544926	WNK2	<1..>932	1	<309..>932	1	<309..623	1	1	3
WeinellEntry5412	yes	yes	yes	NW_013659419.1:110814-111759	NW_013659419.1	110814	111759	1	106551512	LOC106551512	<1..>946	1	<8..>946	1	<8..677	1	2	3
WeinellEntry5413	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5414	yes	no	no	NW_013658124.1:682294-683269	NW_013658124.1	682294	683269	2	106542441	PRELP	<1..>976	-1	–	–	–	–	–	–
WeinellEntry5415	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5416	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5417	yes	yes	yes	NW_013658125.1:557799-558825	NW_013658125.1	557799	558825	1	106542469	LRRTM1	<1..746	1	<1..746	1	<1..379	1	—	–
WeinellEntry5418	yes	no	no	NW_013658535.1:47676-48600	NW_013658535.1	47676	48600	2	106546325	LOC106546325	<1..>925	-1	–	–	–	–	–	–
WeinellEntry5419	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5420	yes	no	no	NW_013657975.1:646148-647300	NW_013657975.1	646148	647300	2	106540538	GLIS3	<1..>1153	1	–	–	–	–	–	–
WeinellEntry5421	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
