"gseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"micrurus_fulvius_uce-1003","AZIM01000997",99.482,193,1,0,1,193,121693,121885,2.9e-95,351
"micrurus_fulvius_uce-1004","AZIM01000123",100,212,0,0,1,212,460092,459881,1.9e-107,392
"micrurus_fulvius_uce-1005","AZIM01000905",99.782,459,1,0,1,459,205685,206143,0,843
"micrurus_fulvius_uce-101","AZIM01001008",98.75,400,3,1,2,401,217536,217139,0,710
"micrurus_fulvius_uce-1010","AZIM01007304",98.113,159,3,0,1,159,41345,41503,3.97e-73,278
"micrurus_fulvius_uce-1012","AZIM01001127",100,356,0,0,1,356,133306,133661,0,658
"micrurus_fulvius_uce-1014","AZIM01000008",99.103,223,2,0,1,223,681465,681243,3.34e-110,401
"micrurus_fulvius_uce-1018","AZIM01000041",98.442,321,4,1,1,321,947836,947517,6.04e-159,564
"micrurus_fulvius_uce-1021","AZIM01000014",98.955,670,7,0,1,670,711675,712344,0,1199
"micrurus_fulvius_uce-1025","AZIM01000633",98.214,224,4,0,1,224,351637,351860,2.02e-107,392
"micrurus_fulvius_uce-1026","AZIM01000478",99.541,218,1,0,1,218,121019,121236,4.21e-109,398
"micrurus_fulvius_uce-1027","AZIM01000765",99.123,228,2,0,1,228,75139,74912,5.69e-113,411
"micrurus_fulvius_uce-1036","AZIM01001194",98.929,280,3,0,1,280,896106,896385,4.13e-140,501
"micrurus_fulvius_uce-1037","AZIM01001406",100,125,0,0,1,125,147462,147338,2.33e-59,231
"micrurus_fulvius_uce-1038","AZIM01000393",99.322,590,4,0,1,590,487743,487154,0,1068
"micrurus_fulvius_uce-1040","AZIM01001749",100,399,0,0,1,399,355411,355809,0,737
"micrurus_fulvius_uce-1041","AZIM01000761",99.257,269,2,0,1,269,294156,294424,1.12e-135,486
"micrurus_fulvius_uce-1044","AZIM01001090",99.256,403,0,2,1,403,63043,62644,0,725
"micrurus_fulvius_uce-1047","AZIM01005338",97.976,247,5,0,1,247,54585,54831,1.72e-118,429
"micrurus_fulvius_uce-1050","AZIM01000500",99.549,443,2,0,1,443,74105,74547,0,808
"micrurus_fulvius_uce-1051","AZIM01003998",99.658,292,1,0,1,292,20387,20678,4.27e-150,534
"micrurus_fulvius_uce-1052","AZIM01000084",99.808,520,1,0,1,520,39041,39560,0,955
"micrurus_fulvius_uce-1053","AZIM01002202",99.095,442,4,0,1,442,42645,43086,0,795
"micrurus_fulvius_uce-1055","AZIM01000014",99.107,224,2,0,1,224,772669,772892,9.33e-111,403
"micrurus_fulvius_uce-1056","AZIM01000405",99.726,365,1,0,1,365,86919,86555,0,669
"micrurus_fulvius_uce-1058","AZIM01001101",99.606,254,1,0,1,254,114273,114526,4.86e-129,464
"micrurus_fulvius_uce-1059","AZIM01001609",94.444,288,6,5,2,285,96301,96582,4.39e-120,435
"micrurus_fulvius_uce-106","AZIM01000233",92.816,515,21,7,1,500,462796,462283,0,732
"micrurus_fulvius_uce-1061","AZIM01001542",99.132,461,4,0,1,461,77800,77340,0,830
"micrurus_fulvius_uce-1062","AZIM01002673",97.544,285,7,0,1,285,238004,237720,3.28e-136,488
"micrurus_fulvius_uce-1063","AZIM01000649",99.119,454,4,0,1,454,518084,517631,0,817
"micrurus_fulvius_uce-1065","AZIM01001353",97.436,273,4,2,1,270,21705,21977,1.87e-128,462
"micrurus_fulvius_uce-1068","AZIM01004505",99.726,365,1,0,4,368,49219,48855,0,669
"micrurus_fulvius_uce-1069","AZIM01002124",99.671,304,1,0,1,304,22953,23256,9.53e-157,556
"micrurus_fulvius_uce-1077","AZIM01000706",97.059,204,6,0,1,204,96626,96423,5.18e-93,344
"micrurus_fulvius_uce-1081","AZIM01000084",98.24,341,2,1,1,337,133921,134261,8.13e-168,593
"micrurus_fulvius_uce-1084","AZIM01001384",97.619,294,2,3,1,293,79646,79935,1.56e-139,499
"micrurus_fulvius_uce-1085","AZIM01000384",97.736,265,5,1,1,265,500864,501127,3.07e-126,455
"micrurus_fulvius_uce-1089","AZIM01002128",98.387,186,2,1,1,185,143718,143533,1.67e-87,326
"micrurus_fulvius_uce-1090","AZIM01000605",96.452,451,11,4,1,447,779574,780023,0,739
"micrurus_fulvius_uce-1092","AZIM01000402",100,420,0,0,1,420,69532,69951,0,776
"micrurus_fulvius_uce-1094","AZIM01006916",98.58,493,2,1,1,493,4733,4246,0,867
"micrurus_fulvius_uce-1098","AZIM01000624",99.235,392,3,0,1,392,180330,180721,0,708
"micrurus_fulvius_uce-11","AZIM01000363",97.399,346,7,2,1,346,301939,301596,3.89e-166,588
"micrurus_fulvius_uce-110","AZIM01000170",99.367,316,1,1,1,315,219480,219795,3.54e-161,571
"micrurus_fulvius_uce-1101","AZIM01000837",99.476,191,1,0,1,191,283195,283005,3.71e-94,348
"micrurus_fulvius_uce-1102","AZIM01001717",98.371,307,5,0,1,307,16309,16003,9.7e-152,540
"micrurus_fulvius_uce-1107","AZIM01000139",99.509,407,2,0,1,407,407992,407586,0,741
"micrurus_fulvius_uce-111","AZIM01000236",98.625,291,4,0,1,291,249994,249704,1.54e-144,516
"micrurus_fulvius_uce-1110","AZIM01000869",99.822,561,0,1,1,561,224394,223835,0,1029
"micrurus_fulvius_uce-1113","AZIM01000263",97.065,477,5,4,1,474,356960,356490,0,795
"micrurus_fulvius_uce-1122","AZIM01000768",99.387,489,3,0,1,489,363585,363097,0,887
"micrurus_fulvius_uce-1127","AZIM01000462",99.373,319,2,0,1,319,422350,422032,2.14e-163,579
"micrurus_fulvius_uce-1128","AZIM01000008",98.711,388,2,1,1,388,337007,336623,0,686
"micrurus_fulvius_uce-1131","AZIM01000768",99.641,557,2,0,1,557,242479,241923,0,1018
"micrurus_fulvius_uce-1133","AZIM01003482",97.659,299,5,1,1,297,9825,9527,2.04e-143,512
"micrurus_fulvius_uce-1134","AZIM01000104",99.111,225,0,1,1,225,340890,341112,9.37e-111,403
"micrurus_fulvius_uce-1135","AZIM01000393",100,384,0,0,1,384,203747,203364,0,710
"micrurus_fulvius_uce-1138","AZIM01000215",98.898,363,3,1,1,363,705910,706271,0,647
"micrurus_fulvius_uce-1141","AZIM01006916",98.498,333,5,0,1,333,31294,30962,3.73e-166,588
"micrurus_fulvius_uce-1143","AZIM01001080",97.973,296,6,0,1,296,296004,296299,5.65e-144,514
"micrurus_fulvius_uce-1148","AZIM01002335",98.792,331,4,0,7,337,116614,116284,1.05e-166,590
"micrurus_fulvius_uce-115","AZIM01002610",99.286,280,2,0,1,280,115892,115613,8.88e-142,507
"micrurus_fulvius_uce-1150","AZIM01001351",97.436,351,8,1,1,350,94982,95332,6.55e-169,597
"micrurus_fulvius_uce-1154","AZIM01000384",99.731,372,1,0,1,372,333995,334366,0,682
"micrurus_fulvius_uce-1159","AZIM01062419",96.246,293,10,1,1,293,52,343,2.04e-133,479
"micrurus_fulvius_uce-1163","AZIM01002118",94.855,447,12,3,1,444,215268,214830,0,688
"micrurus_fulvius_uce-1167","AZIM01001993",99.724,362,1,0,1,362,18704,18343,0,664
"micrurus_fulvius_uce-117","AZIM01001210",97.26,219,6,0,1,219,269790,269572,2.56e-101,372
"micrurus_fulvius_uce-1170","AZIM01000260",97.248,327,8,1,1,327,652658,652333,1.34e-155,553
"micrurus_fulvius_uce-1172","AZIM01000055",99.362,470,3,0,1,470,119164,118695,0,852
"micrurus_fulvius_uce-1174","AZIM01002218",98.737,396,4,1,1,395,21507,21902,0,702
"micrurus_fulvius_uce-1176","AZIM01000768",98.113,212,4,0,1,212,12360,12149,8.88e-101,370
"micrurus_fulvius_uce-1177","AZIM01000008",98.714,311,4,0,1,311,708129,707819,1.26e-155,553
"micrurus_fulvius_uce-1181","AZIM01000031",100,307,0,0,1,307,556540,556846,4.45e-160,568
"micrurus_fulvius_uce-1182","AZIM01002545",98.795,166,2,0,3,168,113011,113176,1.17e-78,296
"micrurus_fulvius_uce-1185","AZIM01003305",99.5,200,0,1,1,199,65858,65659,1.39e-98,363
"micrurus_fulvius_uce-1187","AZIM01002010",99.52,417,2,0,1,417,118321,118737,0,760
"micrurus_fulvius_uce-1188","AZIM01000402",99.707,341,1,0,1,341,143516,143856,2.92e-177,625
"micrurus_fulvius_uce-1190","AZIM01001917",99.661,295,1,0,1,295,33816,34110,9.28e-152,540
"micrurus_fulvius_uce-1191","AZIM01006252",98.78,328,4,0,1,328,36755,36428,4.75e-165,584
"micrurus_fulvius_uce-1193","AZIM01000607",98.742,318,4,0,1,318,122900,123217,1.67e-159,566
"micrurus_fulvius_uce-1194","AZIM01000242",97.39,498,12,1,1,498,859786,860282,0,846
"micrurus_fulvius_uce-12","AZIM01003483",100,337,0,0,1,337,5593,5257,1.04e-176,623
"micrurus_fulvius_uce-1200","AZIM01000086",98.976,293,3,0,1,293,180426,180134,2.58e-147,525
"micrurus_fulvius_uce-1201","AZIM01000373",99.476,191,1,0,1,191,327334,327524,3.71e-94,348
"micrurus_fulvius_uce-1202","AZIM01002085",99.621,528,2,0,1,528,157864,157337,0,965
"micrurus_fulvius_uce-1203","AZIM01003849",99.148,352,3,0,1,352,60813,61164,5.02e-180,634
"micrurus_fulvius_uce-1204","AZIM01000026",99.291,141,0,1,1,141,462843,462982,5.78e-66,254
"micrurus_fulvius_uce-1205","AZIM01001031",99.656,291,1,0,1,291,204056,203766,1.53e-149,532
"micrurus_fulvius_uce-1206","AZIM01000992",98.643,221,3,0,1,221,218528,218308,1.99e-107,392
"micrurus_fulvius_uce-121","AZIM01000612",99.403,335,1,1,1,334,77046,77380,1.03e-171,606
"micrurus_fulvius_uce-1210","AZIM01000631",97.602,417,10,0,1,417,30332,30748,0,715
"micrurus_fulvius_uce-1211","AZIM01004787",97.521,363,6,1,1,360,123945,123583,5.18e-175,617
"micrurus_fulvius_uce-1212","AZIM01001453",97.833,323,7,0,1,323,453627,453305,2.83e-157,558
"micrurus_fulvius_uce-1215","AZIM01000057",99.225,129,1,0,1,129,366185,366313,6.74e-60,233
"micrurus_fulvius_uce-1216","AZIM01001334",99.432,176,1,0,1,176,136229,136404,7.35e-86,320
"micrurus_fulvius_uce-1217","AZIM01002318",98.492,199,3,0,1,199,164859,164661,3.01e-95,351
"micrurus_fulvius_uce-1222","AZIM01002673",97.951,244,5,0,1,244,218504,218261,7.89e-117,424
"micrurus_fulvius_uce-1224","AZIM01006256",98.081,469,8,1,1,469,29412,29879,0,815
"micrurus_fulvius_uce-1225","AZIM01000998",100,347,0,0,1,347,188217,187871,0,641
"micrurus_fulvius_uce-1231","AZIM01000002",98.361,183,2,1,1,182,1137888,1138070,7.64e-86,320
"micrurus_fulvius_uce-1232","AZIM01002231",100,353,0,0,1,353,16902,17254,0,652
"micrurus_fulvius_uce-1233","AZIM01000249",97.619,252,3,3,1,250,34922,34672,1.74e-118,429
"micrurus_fulvius_uce-1234","AZIM01002067",98.705,386,5,0,1,386,238950,239335,0,686
"micrurus_fulvius_uce-1239","AZIM01000228",99.331,299,2,0,1,299,55346,55644,2.62e-152,542
"micrurus_fulvius_uce-124","AZIM01001286",100,240,0,0,1,240,11466,11227,5.94e-123,444
"micrurus_fulvius_uce-1241","AZIM01002739",98.252,286,5,0,1,286,108978,108693,4.23e-140,501
"micrurus_fulvius_uce-1242","AZIM01000373",98.76,242,2,1,1,241,179225,179466,1.67e-118,429
"micrurus_fulvius_uce-1245","AZIM01000014",98.588,425,6,0,1,425,694007,694431,0,752
"micrurus_fulvius_uce-125","AZIM01000093",99.671,304,1,0,1,304,83952,84255,9.53e-157,556
"micrurus_fulvius_uce-1250","AZIM01002214",99.286,420,3,0,4,423,144097,144516,0,760
"micrurus_fulvius_uce-1252","AZIM01000551",94.909,275,12,1,1,275,128753,128481,1.94e-118,429
"micrurus_fulvius_uce-1253","AZIM01000649",99.412,340,2,0,1,340,301031,300692,4.87e-175,617
"micrurus_fulvius_uce-1255","AZIM01001887",99.385,325,2,0,1,325,190133,189809,1.01e-166,590
"micrurus_fulvius_uce-1256","AZIM01000367",97.49,239,6,0,1,239,539209,539447,2.17e-112,409
"micrurus_fulvius_uce-1257","AZIM01000139",95.89,219,9,0,1,219,399917,399699,2.58e-96,355
"micrurus_fulvius_uce-1259","AZIM01001646",99.057,212,2,0,1,212,124236,124025,4.1e-104,381
"micrurus_fulvius_uce-1263","AZIM01002295",98.929,280,3,0,1,280,74295,74574,4.13e-140,501
