locus	species	contig	sense	start	end	chr	chr.id2	locus.id2
group1912	Naja-naja	CM019148.1	+	472322	480000	1	1	C1L1
group2439	Naja-naja	CM019148.1	+	540794	559924	1	1	C1L2
group2582	Naja-naja	CM019148.1	+	1140001	1142278	1	1	C1L3
group1842	Naja-naja	CM019148.1	-	2547923	2553805	1	1	C1L4
group2255	Naja-naja	CM019148.1	+	3320001	3339847	1	1	C1L5
group1885	Naja-naja	CM019148.1	+	5900002	5910697	1	1	C1L6
group2023	Naja-naja	CM019148.1	-	6580001	6594788	1	1	C1L7
group501	Naja-naja	CM019148.1	+	7542331	7556586	1	1	C1L8
group432	Naja-naja	CM019148.1	-	7980004	7983276	1	1	C1L9
group1793	Naja-naja	CM019148.1	+	8967383	8980000	1	1	C1L10
group1926	Naja-naja	CM019148.1	+	12105870	12118746	1	1	C1L11
group2838	Naja-naja	CM019148.1	+	12592934	12600000	1	1	C1L12
group1415	Naja-naja	CM019148.1	+	16520807	16534005	1	1	C1L13
group1252	Naja-naja	CM019148.1	+	16600001	16601102	1	1	C1L14
group1343	Naja-naja	CM019148.1	-	16695819	16699627	1	1	C1L15
group567	Naja-naja	CM019148.1	-	18817189	18819885	1	1	C1L16
group2967	Naja-naja	CM019148.1	+	24020090	24033189	1	1	C1L17
group1735	Naja-naja	CM019148.1	-	24196516	24199935	1	1	C1L18
group265	Naja-naja	CM019148.1	+	24408148	24419758	1	1	C1L19
group275	Naja-naja	CM019148.1	+	24420001	24430126	1	1	C1L20
group388	Naja-naja	CM019148.1	-	25642009	25660000	1	1	C1L21
group149	Naja-naja	CM019148.1	+	26580822	26584279	1	1	C1L22
group62	Naja-naja	CM019148.1	-	27769216	27772985	1	1	C1L23
group512	Naja-naja	CM019148.1	+	28251984	28258605	1	1	C1L24
group2346	Naja-naja	CM019148.1	-	31542395	31545066	1	1	C1L25
group1692	Naja-naja	CM019148.1	-	32266957	32279494	1	1	C1L26
group1356	Naja-naja	CM019148.1	+	33740002	33741981	1	1	C1L27
group832	Naja-naja	CM019148.1	+	33784083	33791719	1	1	C1L28
group700	Naja-naja	CM019148.1	+	34463486	34470576	1	1	C1L29
group1098	Naja-naja	CM019148.1	-	34591069	34595715	1	1	C1L30
group918	Naja-naja	CM019148.1	+	34721403	34723690	1	1	C1L31
group1244	Naja-naja	CM019148.1	-	34942689	34947804	1	1	C1L32
group688	Naja-naja	CM019148.1	-	35395583	35397210	1	1	C1L33
group949	Naja-naja	CM019148.1	-	35526202	35527918	1	1	C1L34
group944	Naja-naja	CM019148.1	-	35820014	35821740	1	1	C1L35
group816	Naja-naja	CM019148.1	+	36191956	36193340	1	1	C1L36
group778	Naja-naja	CM019148.1	+	36226720	36238320	1	1	C1L37
group1250	Naja-naja	CM019148.1	+	36300080	36308400	1	1	C1L38
group1555	Naja-naja	CM019148.1	-	37380001	37388550	1	1	C1L39
group1529	Naja-naja	CM019148.1	+	44177039	44179417	1	1	C1L40
group714	Naja-naja	CM019148.1	+	47440007	47444196	1	1	C1L41
group633	Naja-naja	CM019148.1	+	47540001	47551567	1	1	C1L42
group1473	Naja-naja	CM019148.1	+	47560001	47567331	1	1	C1L43
group1004	Naja-naja	CM019148.1	+	47617173	47620000	1	1	C1L44
group764	Naja-naja	CM019148.1	+	47640001	47645923	1	1	C1L45
group2164	Naja-naja	CM019148.1	-	48075108	48076782	1	1	C1L46
group1126	Naja-naja	CM019148.1	-	48084148	48092472	1	1	C1L47
group795	Naja-naja	CM019148.1	-	48111363	48112839	1	1	C1L48
group1637	Naja-naja	CM019148.1	-	48583280	48596430	1	1	C1L49
group1538	Naja-naja	CM019148.1	+	50824615	50826292	1	1	C1L50
group1386	Naja-naja	CM019148.1	-	51802408	51814942	1	1	C1L51
group1019	Naja-naja	CM019148.1	+	52640199	52653597	1	1	C1L52
group1236	Naja-naja	CM019148.1	+	52653705	52659207	1	1	C1L53
group1186	Naja-naja	CM019148.1	+	52861929	52879440	1	1	C1L54
group1136	Naja-naja	CM019148.1	+	52908293	52910172	1	1	C1L55
group872	Naja-naja	CM019148.1	+	53261501	53267619	1	1	C1L56
group654	Naja-naja	CM019148.1	+	53287678	53300000	1	1	C1L57
group1300	Naja-naja	CM019148.1	+	53291199	53292852	1	1	C1L58
group1141	Naja-naja	CM019148.1	-	54120001	54122271	1	1	C1L59
group695	Naja-naja	CM019148.1	-	54196039	54200000	1	1	C1L60
group1416	Naja-naja	CM019148.1	+	54304479	54307037	1	1	C1L61
group756	Naja-naja	CM019148.1	+	54313245	54320000	1	1	C1L62
group1119	Naja-naja	CM019148.1	+	54423556	54434312	1	1	C1L63
group719	Naja-naja	CM019148.1	+	54536097	54540000	1	1	C1L64
group1044	Naja-naja	CM019148.1	+	54588563	54597953	1	1	C1L65
group889	Naja-naja	CM019148.1	+	54620001	54625188	1	1	C1L66
group923	Naja-naja	CM019148.1	+	54631743	54633678	1	1	C1L67
group1079	Naja-naja	CM019148.1	+	54766716	54768172	1	1	C1L68
group653	Naja-naja	CM019148.1	+	54802509	54804376	1	1	C1L69
group1102	Naja-naja	CM019148.1	+	54817832	54820000	1	1	C1L70
group2841	Naja-naja	CM019148.1	+	54820602	54828912	1	1	C1L71
group1391	Naja-naja	CM019148.1	+	55180030	55192965	1	1	C1L72
group1481	Naja-naja	CM019148.1	+	55247334	55254749	1	1	C1L73
group651	Naja-naja	CM019148.1	+	55320001	55329632	1	1	C1L74
group1239	Naja-naja	CM019148.1	+	55325482	55333769	1	1	C1L75
group1247	Naja-naja	CM019148.1	+	55349900	55356608	1	1	C1L76
group1074	Naja-naja	CM019148.1	+	55353779	55359452	1	1	C1L77
group1293	Naja-naja	CM019148.1	+	55363182	55374189	1	1	C1L78
group953	Naja-naja	CM019148.1	+	55524206	55535301	1	1	C1L79
group1230	Naja-naja	CM019148.1	+	55664100	55673525	1	1	C1L80
group1312	Naja-naja	CM019148.1	+	55695991	55699902	1	1	C1L81
group982	Naja-naja	CM019148.1	+	55724131	55729202	1	1	C1L82
group1453	Naja-naja	CM019148.1	-	56231083	56239326	1	1	C1L83
group1665	Naja-naja	CM019148.1	+	56680265	56682424	1	1	C1L84
group1363	Naja-naja	CM019148.1	+	56781137	56797954	1	1	C1L85
group245	Naja-naja	CM019148.1	-	57495192	57500000	1	1	C1L86
group810	Naja-naja	CM019148.1	+	58081337	58084276	1	1	C1L87
group1615	Naja-naja	CM019148.1	+	62807847	62818775	1	1	C1L88
group1128	Naja-naja	CM019148.1	+	66620144	66629480	1	1	C1L89
group1596	Naja-naja	CM019148.1	-	67083971	67090063	1	1	C1L90
group1678	Naja-naja	CM019148.1	+	67464367	67474943	1	1	C1L91
group209	Naja-naja	CM019148.1	+	69520001	69530938	1	1	C1L92
group418	Naja-naja	CM019148.1	+	69580001	69587413	1	1	C1L93
group849	Naja-naja	CM019148.1	+	70096627	70099721	1	1	C1L94
group2420	Naja-naja	CM019148.1	+	72120001	72134209	1	1	C1L95
group1685	Naja-naja	CM019148.1	-	73231234	73238380	1	1	C1L96
group381	Naja-naja	CM019148.1	-	73289591	73300000	1	1	C1L97
group1389	Naja-naja	CM019148.1	-	74473163	74480000	1	1	C1L98
group931	Naja-naja	CM019148.1	+	74632790	74639077	1	1	C1L99
