locus	blockname	blockname_genespace
group1	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group17	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group24	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group48	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group49	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group62	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group63	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group92	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group103	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group107	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group133	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group136	chr1block4	naja_thamnophis_naja_thamnophis_1_NW_022473609.1_1_1_0
group146	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group149	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group155	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group175	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group190	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group191	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group209	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group212	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group222	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group232	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group233	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group245	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group255	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group264	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group265	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group267	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group272	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group275	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group301	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group321	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group323	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group341	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group354	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group355	chr1block2	naja_thamnophis_naja_thamnophis_1_1_2_1_0
group360	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group381	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group382	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group388	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group394	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group398	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group400	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group418	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group426	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group432	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group435	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group447	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group480	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
