qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NW_013657681.1:2859451-2859883	NC_014778.1	81	379	62	10	2	375	23700845	23701218	4.93e-77	292
NW_013657681.1:3142010-3142916	NC_014779.1	77.28	876	184	10	16	888	76961303	76962166	1.63e-139	501
NW_013657681.1:488016-488354	NC_014779.1	89.8	196	20	0	143	338	126025791	126025596	6.44e-65	252
NW_013657682.1:1911551-1912164	NW_003338833.1	82.36	601	104	2	5	604	1189034	1188435	8.36e-146	521
NW_013657684.1:1237068-1237246	NC_014777.1	77.65	179	37	2	1	179	128042012	128042187	2.59e-21	106
NW_013657684.1:1441-1572	NC_014779.1	86.05	129	18	0	4	132	15587213	15587085	1.76e-31	139
NW_013657684.1:1567554-1567816	NC_014778.1	84.77	256	37	2	9	263	30607452	30607198	3.76e-66	255
NW_013657684.1:454613-454790	NW_003338765.1	83.76	117	19	0	57	173	383976	384092	5.53e-23	111
NW_013657684.1:467539-468320	NW_003338765.1	88.42	190	22	0	552	741	88364	88553	7.3e-58	230
NW_013657685.1:2114044-2115813	NW_003339470.1	83.63	1772	286	4	1	1770	102368	100599	0	1663
NW_013657686.1:1034350-1035604	NC_014781.1	76.21	1257	245	39	1	1221	27808012	27809250	7.8e-174	616
NW_013657687.1:1973384-1974985	NC_014779.1	89.55	1608	156	6	1	1602	47148309	47149910	0	2028
NW_013657687.1:197564-197779	NC_014778.1	89.35	216	23	0	1	216	30234480	30234695	2.99e-71	272
NW_013657688.1:1042316-1042813	NC_014781.1	87.75	490	57	2	12	498	33750930	33751419	2.36e-160	569
NW_013657688.1:2541208-2541372	NW_003339413.1	91.77	158	13	0	2	159	115821	115978	8.05e-56	220
NW_013657690.1:988012-989571	NC_014781.1	77.58	330	60	7	190	508	15419028	15418702	9.05e-45	187
NW_013657696.1:2069514-2069705	NW_003340494.1	85.64	188	27	0	5	192	1267	1080	4.48e-49	198
NW_013657697.1:1044034-1044158	NC_014777.1	85.71	126	16	2	1	125	105614455	105614331	2.76e-29	132
NW_013657698.1:1230003-1231373	NC_014776.1	74.74	974	198	25	208	1181	236827415	236826490	1.57e-106	392
NW_013657698.1:162073-162369	NW_003339014.1	74.85	326	48	21	1	297	727613	727933	2.12e-24	117
NW_013657699.1:1060900-1061085	NC_014781.1	89.78	186	19	0	1	186	7606091	7606276	2.56e-61	239
NW_013657701.1:471148-472880	NC_014777.1	74.88	1664	390	23	6	1649	147337600	147339255	0	732
NW_013657701.1:920766-920930	NC_014776.1	86.67	165	22	0	1	165	212727083	212726919	1.06e-44	183
NW_013657702.1:1516302-1517441	NC_014781.1	79.69	1167	198	28	1	1140	73717176	73716022	0	806
NW_013657704.1:1695005-1695788	NC_014776.1	86.61	784	102	1	1	784	231965927	231966707	0	863
NW_013657705.1:1107077-1107215	NW_003338740.1	86.03	136	19	0	4	139	10590926	10591061	1.12e-33	147
NW_013657707.1:1350365-1350494	NC_014781.1	81.39	129	24	0	1	129	9323153	9323281	1.76e-21	106
NW_013657707.1:1350365-1350516	NC_014781.1	80.92	152	29	0	1	152	9323153	9323304	7.61e-26	121
NW_013657707.1:1989951-1990181	NW_003339375.1	84.61	195	28	2	38	231	143865	143672	2.58e-47	193
