qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NW_013657680.1:1073962-1074332	LFLD01S000001.1	100	371	0	0	1	371	1073963	1074333	0	686
NW_013657680.1:2929146-2929286	LFLD01S000001.1	100	141	0	0	1	141	2929147	2929287	3.1e-68	261
NW_013657680.1:3722860-3723148	LFLD01S000001.1	100	289	0	0	1	289	3722861	3723149	3.79e-150	534
NW_013657680.1:3723401-3723539	LFLD01S000001.1	100	139	0	0	1	139	3723402	3723540	3.94e-67	257
NW_013657680.1:3895460-3895724	LFLD01S000001.1	100	265	0	0	1	265	3895461	3895725	7.56e-137	490
NW_013657680.1:59599-59726	LFLD01S000001.1	100	128	0	0	1	128	59600	59727	4.63e-61	237
NW_013657680.1:605945-606293	LFLD01S000001.1	100	349	0	0	1	349	605946	606294	0	645
NW_013657680.1:862897-863624	LFLD01S000001.1	100	728	0	0	1	728	862898	863625	0	1345
NW_013657681.1:1448867-1449763	LFLD01S000002.1	100	897	0	0	1	897	1448868	1449764	0	1657
NW_013657681.1:20616-20745	LFLD01S000002.1	100	130	0	0	1	130	20617	20746	3.65e-62	241
NW_013657681.1:2075753-2075961	LFLD01S000002.1	100	209	0	0	1	209	2075754	2075962	7.84e-106	387
NW_013657681.1:2075753-2075961	LFLD01S000002.1	86.63	172	21	2	1	171	2109132	2109302	2.37e-46	189
NW_013657681.1:2075753-2075961	LFLD01S000002.1	86.49	111	13	2	79	188	2097492	2097601	8.77e-26	121
NW_013657681.1:258226-258405	LFLD01S000002.1	100	180	0	0	1	180	258227	258406	8.7e-90	333
NW_013657681.1:259074-259199	LFLD01S000002.1	100	126	0	0	1	126	259075	259200	5.88e-60	233
NW_013657681.1:2671538-2671709	LFLD01S000002.1	100	172	0	0	1	172	2671539	2671710	2.31e-85	318
NW_013657681.1:2676335-2676803	LFLD01S000002.1	100	469	0	0	1	469	2676336	2676804	0	867
NW_013657681.1:2679953-2680116	LFLD01S000002.1	100	164	0	0	1	164	2679954	2680117	6.11e-81	303
NW_013657681.1:268159-268282	LFLD01S000002.1	100	124	0	0	1	124	268160	268283	7.45e-59	230
NW_013657681.1:2859451-2859883	LFLD01S000002.1	100	433	0	0	1	433	2859452	2859884	0	800
NW_013657681.1:291857-294683	LFLD01S000002.1	100	2827	0	0	1	2827	291858	294684	0	5221
NW_013657681.1:3142010-3142916	LFLD01S000002.1	100	907	0	0	1	907	3142011	3142917	0	1676
NW_013657681.1:3211050-3211191	LFLD01S000002.1	100	142	0	0	1	142	3211051	3211192	8.71e-69	263
NW_013657681.1:3217360-3217527	LFLD01S000002.1	100	168	0	0	1	168	3217361	3217528	3.76e-83	311
NW_013657681.1:3217869-3218049	LFLD01S000002.1	100	181	0	0	1	181	3217870	3218050	2.44e-90	335
NW_013657681.1:3225397-3225558	LFLD01S000002.1	100	162	0	0	1	162	3225398	3225559	7.79e-80	300
NW_013657681.1:405722-405870	LFLD01S000002.1	100	149	0	0	1	149	405723	405871	1.19e-72	276
NW_013657681.1:488016-488354	LFLD01S000002.1	100	339	0	0	1	339	488017	488355	7.25e-178	627
NW_013657681.1:614603-614779	LFLD01S000002.1	100	177	0	0	1	177	601199	601375	3.97e-88	327
NW_013657681.1:614603-614779	LFLD01S000002.1	100	177	0	0	1	177	614604	614780	3.97e-88	327
NW_013657682.1:1237-1644	LFLD01S000003.1	100	408	0	0	1	408	1238	1645	0	754
NW_013657682.1:1810980-1811391	LFLD01S000003.1	100	412	0	0	1	412	1810981	1811392	0	761
NW_013657682.1:1911551-1912164	LFLD01S000003.1	100	614	0	0	1	614	1911552	1912165	0	1134
NW_013657682.1:19585-19762	LFLD01S000003.1	100	178	0	0	1	178	19586	19763	1.11e-88	329
NW_013657682.1:2057596-2057892	LFLD01S000003.1	100	297	0	0	1	297	2057597	2057893	1.4e-154	549
NW_013657682.1:2203196-2203453	LFLD01S000003.1	100	258	0	0	1	258	2203197	2203454	5.71e-133	477
NW_013657682.1:2263293-2263721	LFLD01S000003.1	100	429	0	0	1	429	2263294	2263722	0	793
NW_013657682.1:2263295-2263721	LFLD01S000003.1	100	427	0	0	1	427	2263296	2263722	0	789
NW_013657682.1:2267985-2268113	LFLD01S000003.1	100	129	0	0	1	129	2267986	2268114	1.3e-61	239
NW_013657682.1:2419919-2420131	LFLD01S000003.1	100	213	0	0	1	213	2419920	2420132	4.79e-108	394
NW_013657682.1:2667736-2668192	LFLD01S000003.1	100	457	0	0	1	457	2667737	2668193	0	845
NW_013657682.1:2671036-2671211	LFLD01S000003.1	100	176	0	0	1	176	2671037	2671212	1.42e-87	326
NW_013657682.1:2687139-2687283	LFLD01S000003.1	100	145	0	0	1	145	2687140	2687284	1.92e-70	268
NW_013657682.1:342791-342914	LFLD01S000003.1	100	124	0	0	1	124	342792	342915	7.45e-59	230
NW_013657682.1:352436-352572	LFLD01S000003.1	100	137	0	0	1	137	352437	352573	5.01e-66	254
NW_013657682.1:352982-353122	LFLD01S000003.1	100	141	0	0	1	141	352983	353123	3.1e-68	261
NW_013657682.1:354340-354490	LFLD01S000003.1	100	151	0	0	1	151	354341	354491	9.32e-74	279
NW_013657682.1:354800-355035	LFLD01S000003.1	100	236	0	0	1	236	354801	355036	8.77e-121	436
NW_013657682.1:355916-356042	LFLD01S000003.1	100	127	0	0	1	127	355917	356043	1.65e-60	235
NW_013657682.1:356145-356278	LFLD01S000003.1	100	134	0	0	1	134	356146	356279	2.27e-64	248
NW_013657682.1:356443-356571	LFLD01S000003.1	100	129	0	0	1	129	356444	356572	1.3e-61	239
NW_013657682.1:359552-359941	LFLD01S000003.1	100	390	0	0	1	390	359553	359942	0	721
NW_013657682.1:362279-362573	LFLD01S000003.1	100	295	0	0	1	295	362280	362574	1.79e-153	545
NW_013657682.1:363130-363341	LFLD01S000003.1	100	212	0	0	1	212	363131	363342	1.71e-107	392
NW_013657682.1:368568-368809	LFLD01S000003.1	100	242	0	0	1	242	368569	368810	4.17e-124	448
NW_013657682.1:369837-370202	LFLD01S000003.1	100	366	0	0	1	366	369838	370203	0	676
NW_013657682.1:370811-371040	LFLD01S000003.1	100	230	0	0	1	230	370812	371041	1.84e-117	425
NW_013657682.1:373946-374119	LFLD01S000003.1	100	174	0	0	1	174	373947	374120	1.81e-86	322
NW_013657682.1:379751-379898	LFLD01S000003.1	100	148	0	0	1	148	379752	379899	4.23e-72	274
NW_013657682.1:379991-380295	LFLD01S000003.1	100	305	0	0	1	305	379992	380296	5.13e-159	564
NW_013657682.1:384318-384463	LFLD01S000003.1	100	146	0	0	1	146	384319	384464	5.38e-71	270
NW_013657682.1:385039-385168	LFLD01S000003.1	100	130	0	0	1	130	385040	385169	3.65e-62	241
NW_013657682.1:386157-386280	LFLD01S000003.1	100	124	0	0	1	124	386158	386281	7.45e-59	230
NW_013657682.1:386797-386933	LFLD01S000003.1	100	137	0	0	1	137	386798	386934	5.01e-66	254
NW_013657682.1:885386-885549	LFLD01S000003.1	100	164	0	0	1	164	885387	885550	6.11e-81	303
NW_013657682.1:896304-896574	LFLD01S000003.1	100	271	0	0	1	271	896305	896575	3.58e-140	501
NW_013657682.1:898761-898976	LFLD01S000003.1	100	216	0	0	1	216	898762	898977	1.05e-109	399
NW_013657683.1:2684556-2684765	LFLD01S000004.1	100	210	0	0	1	210	2684557	2684766	2.19e-106	388
NW_013657683.1:2692940-2693120	LFLD01S000004.1	100	181	0	0	1	181	2692941	2693121	2.44e-90	335
NW_013657684.1:1237068-1237246	LFLD01S000005.1	100	179	0	0	1	179	1237069	1237247	3.11e-89	331
NW_013657684.1:1433236-1433365	LFLD01S000005.1	100	130	0	0	1	130	1433237	1433366	3.65e-62	241
NW_013657684.1:1441-1572	LFLD01S000005.1	100	132	0	0	1	132	1442	1573	2.88e-63	244
NW_013657684.1:1567554-1567816	LFLD01S000005.1	100	263	0	0	1	263	1567555	1567817	9.7e-136	486
NW_013657684.1:1582129-1582528	LFLD01S000005.1	100	400	0	0	1	400	1582130	1582529	0	739
NW_013657684.1:171336-171479	LFLD01S000005.1	100	144	0	0	1	144	171337	171480	6.85e-70	267
NW_013657684.1:1715223-1715388	LFLD01S000005.1	100	166	0	0	1	166	1715224	1715389	4.79e-82	307
NW_013657684.1:1764032-1764596	LFLD01S000005.1	100	565	0	0	1	565	1764033	1764597	0	1044
NW_013657684.1:227753-228014	LFLD01S000005.1	100	262	0	0	1	262	227754	228015	3.47e-135	484
NW_013657684.1:2394182-2394304	LFLD01S000005.1	100	123	0	0	1	123	2394183	2394305	2.65e-58	228
NW_013657684.1:2470930-2471092	LFLD01S000005.1	100	163	0	0	1	163	2470931	2471093	2.18e-80	302
NW_013657684.1:2475299-2475463	LFLD01S000005.1	100	165	0	0	1	165	2475300	2475464	1.71e-81	305
NW_013657684.1:2475299-2475463	LFLD01S000005.1	89.09	165	18	0	1	165	2476373	2476537	1.79e-51	206
NW_013657684.1:2477263-2477406	LFLD01S000005.1	100	144	0	0	1	144	2477264	2477407	6.85e-70	267
NW_013657684.1:2493279-2493491	LFLD01S000005.1	100	213	0	0	1	213	2493280	2493492	4.79e-108	394
NW_013657684.1:2707013-2707192	LFLD01S000005.1	100	180	0	0	1	180	2707014	2707193	8.7e-90	333
NW_013657684.1:373188-373342	LFLD01S000005.1	100	155	0	0	1	155	373189	373343	5.75e-76	287
NW_013657684.1:406913-407062	LFLD01S000005.1	100	150	0	0	1	150	406914	407063	3.33e-73	278
NW_013657684.1:412998-413164	LFLD01S000005.1	100	167	0	0	1	167	412999	413165	1.34e-82	309
NW_013657684.1:428633-428762	LFLD01S000005.1	100	130	0	0	1	130	428634	428763	3.65e-62	241
NW_013657684.1:454613-454790	LFLD01S000005.1	100	178	0	0	1	178	454614	454791	1.11e-88	329
NW_013657684.1:457590-457789	LFLD01S000005.1	100	200	0	0	1	200	457591	457790	7.5e-101	370
NW_013657684.1:459959-460112	LFLD01S000005.1	100	154	0	0	1	154	459960	460113	2.05e-75	285
NW_013657684.1:465962-466093	LFLD01S000005.1	100	132	0	0	1	132	465963	466094	2.88e-63	244
NW_013657684.1:467539-468320	LFLD01S000005.1	100	782	0	0	1	782	467540	468321	0	1445
NW_013657684.1:492148-492295	LFLD01S000005.1	100	148	0	0	1	148	492149	492296	4.23e-72	274
NW_013657684.1:493986-494182	LFLD01S000005.1	100	197	0	0	1	197	493987	494183	3.43e-99	364
NW_013657684.1:497608-497836	LFLD01S000005.1	100	229	0	0	1	229	497609	497837	6.6e-117	424
NW_013657684.1:916920-917122	LFLD01S000005.1	100	203	0	0	1	203	916921	917123	1.64e-102	375
NW_013657684.1:917820-917960	LFLD01S000005.1	100	141	0	0	1	141	917821	917961	3.1e-68	261
NW_013657684.1:934879-935064	LFLD01S000005.1	100	186	0	0	1	186	934880	935065	4.18e-93	344
