tree1	tree2	RF
astral_chr1_inner.tree	astral_chr1_outer.tree	24
astral_chr1_inner.tree	astral_chr2_inner.tree	22
astral_chr1_outer.tree	astral_chr2_inner.tree	16
astral_chr1_inner.tree	astral_chr2_outer.tree	14
astral_chr1_outer.tree	astral_chr2_outer.tree	24
astral_chr2_inner.tree	astral_chr2_outer.tree	24
astral_chr1_inner.tree	astral_chr3_inner.tree	12
astral_chr1_outer.tree	astral_chr3_inner.tree	22
astral_chr2_inner.tree	astral_chr3_inner.tree	20
astral_chr2_outer.tree	astral_chr3_inner.tree	18
astral_chr1_inner.tree	astral_chr3_outer.tree	16
astral_chr1_outer.tree	astral_chr3_outer.tree	18
astral_chr2_inner.tree	astral_chr3_outer.tree	16
astral_chr2_outer.tree	astral_chr3_outer.tree	18
astral_chr3_inner.tree	astral_chr3_outer.tree	16
astral_chr1_inner.tree	astral_chr4_inner.tree	18
astral_chr1_outer.tree	astral_chr4_inner.tree	20
astral_chr2_inner.tree	astral_chr4_inner.tree	24
astral_chr2_outer.tree	astral_chr4_inner.tree	20
astral_chr3_inner.tree	astral_chr4_inner.tree	14
astral_chr3_outer.tree	astral_chr4_inner.tree	18
astral_chr1_inner.tree	astral_chr4_outer.tree	18
astral_chr1_outer.tree	astral_chr4_outer.tree	14
astral_chr2_inner.tree	astral_chr4_outer.tree	18
astral_chr2_outer.tree	astral_chr4_outer.tree	24
astral_chr3_inner.tree	astral_chr4_outer.tree	14
astral_chr3_outer.tree	astral_chr4_outer.tree	18
astral_chr4_inner.tree	astral_chr4_outer.tree	18
astral_chr1_inner.tree	astral_chr5_inner.tree	22
astral_chr1_outer.tree	astral_chr5_inner.tree	26
astral_chr2_inner.tree	astral_chr5_inner.tree	30
astral_chr2_outer.tree	astral_chr5_inner.tree	24
astral_chr3_inner.tree	astral_chr5_inner.tree	26
astral_chr3_outer.tree	astral_chr5_inner.tree	24
astral_chr4_inner.tree	astral_chr5_inner.tree	24
astral_chr4_outer.tree	astral_chr5_inner.tree	24
astral_chr1_inner.tree	astral_chr5_outer.tree	18
astral_chr1_outer.tree	astral_chr5_outer.tree	18
astral_chr2_inner.tree	astral_chr5_outer.tree	22
astral_chr2_outer.tree	astral_chr5_outer.tree	18
astral_chr3_inner.tree	astral_chr5_outer.tree	14
astral_chr3_outer.tree	astral_chr5_outer.tree	20
astral_chr4_inner.tree	astral_chr5_outer.tree	14
astral_chr4_outer.tree	astral_chr5_outer.tree	18
astral_chr5_inner.tree	astral_chr5_outer.tree	26
astral_chr1_inner.tree	astral_chr6_inner.tree	24
astral_chr1_outer.tree	astral_chr6_inner.tree	32
astral_chr2_inner.tree	astral_chr6_inner.tree	28
astral_chr2_outer.tree	astral_chr6_inner.tree	28
astral_chr3_inner.tree	astral_chr6_inner.tree	22
astral_chr3_outer.tree	astral_chr6_inner.tree	26
astral_chr4_inner.tree	astral_chr6_inner.tree	28
astral_chr4_outer.tree	astral_chr6_inner.tree	28
astral_chr5_inner.tree	astral_chr6_inner.tree	32
astral_chr5_outer.tree	astral_chr6_inner.tree	32
astral_chr1_inner.tree	astral_chr6_outer.tree	24
astral_chr1_outer.tree	astral_chr6_outer.tree	24
astral_chr2_inner.tree	astral_chr6_outer.tree	26
astral_chr2_outer.tree	astral_chr6_outer.tree	24
astral_chr3_inner.tree	astral_chr6_outer.tree	30
astral_chr3_outer.tree	astral_chr6_outer.tree	26
astral_chr4_inner.tree	astral_chr6_outer.tree	30
astral_chr4_outer.tree	astral_chr6_outer.tree	30
astral_chr5_inner.tree	astral_chr6_outer.tree	32
astral_chr5_outer.tree	astral_chr6_outer.tree	24
astral_chr6_inner.tree	astral_chr6_outer.tree	32
astral_chr1_inner.tree	astral_chr7_inner.tree	22
astral_chr1_outer.tree	astral_chr7_inner.tree	18
astral_chr2_inner.tree	astral_chr7_inner.tree	22
astral_chr2_outer.tree	astral_chr7_inner.tree	24
astral_chr3_inner.tree	astral_chr7_inner.tree	18
astral_chr3_outer.tree	astral_chr7_inner.tree	18
astral_chr4_inner.tree	astral_chr7_inner.tree	18
astral_chr4_outer.tree	astral_chr7_inner.tree	14
astral_chr5_inner.tree	astral_chr7_inner.tree	24
astral_chr5_outer.tree	astral_chr7_inner.tree	20
astral_chr6_inner.tree	astral_chr7_inner.tree	28
astral_chr6_outer.tree	astral_chr7_inner.tree	32
astral_chr1_inner.tree	astral_chr7_outer.tree	30
astral_chr1_outer.tree	astral_chr7_outer.tree	38
astral_chr2_inner.tree	astral_chr7_outer.tree	36
astral_chr2_outer.tree	astral_chr7_outer.tree	36
astral_chr3_inner.tree	astral_chr7_outer.tree	34
astral_chr3_outer.tree	astral_chr7_outer.tree	36
astral_chr4_inner.tree	astral_chr7_outer.tree	32
astral_chr4_outer.tree	astral_chr7_outer.tree	38
astral_chr5_inner.tree	astral_chr7_outer.tree	36
astral_chr5_outer.tree	astral_chr7_outer.tree	36
astral_chr6_inner.tree	astral_chr7_outer.tree	30
astral_chr6_outer.tree	astral_chr7_outer.tree	32
astral_chr7_inner.tree	astral_chr7_outer.tree	38
astral_chr1_inner.tree	astral_chrm1_inner.tree	42
astral_chr1_outer.tree	astral_chrm1_inner.tree	42
astral_chr2_inner.tree	astral_chrm1_inner.tree	46
astral_chr2_outer.tree	astral_chrm1_inner.tree	42
astral_chr3_inner.tree	astral_chrm1_inner.tree	48
astral_chr3_outer.tree	astral_chrm1_inner.tree	44
astral_chr4_inner.tree	astral_chrm1_inner.tree	44
astral_chr4_outer.tree	astral_chrm1_inner.tree	46
astral_chr5_inner.tree	astral_chrm1_inner.tree	44
astral_chr5_outer.tree	astral_chrm1_inner.tree	46
astral_chr6_inner.tree	astral_chrm1_inner.tree	50
astral_chr6_outer.tree	astral_chrm1_inner.tree	44
astral_chr7_inner.tree	astral_chrm1_inner.tree	40
astral_chr7_outer.tree	astral_chrm1_inner.tree	46
astral_chr1_inner.tree	astral_chrm1_outer.tree	26
astral_chr1_outer.tree	astral_chrm1_outer.tree	22
astral_chr2_inner.tree	astral_chrm1_outer.tree	26
astral_chr2_outer.tree	astral_chrm1_outer.tree	26
astral_chr3_inner.tree	astral_chrm1_outer.tree	30
astral_chr3_outer.tree	astral_chrm1_outer.tree	24
astral_chr4_inner.tree	astral_chrm1_outer.tree	24
astral_chr4_outer.tree	astral_chrm1_outer.tree	26
astral_chr5_inner.tree	astral_chrm1_outer.tree	28
astral_chr5_outer.tree	astral_chrm1_outer.tree	28
astral_chr6_inner.tree	astral_chrm1_outer.tree	34
astral_chr6_outer.tree	astral_chrm1_outer.tree	30
astral_chr7_inner.tree	astral_chrm1_outer.tree	26
astral_chr7_outer.tree	astral_chrm1_outer.tree	36
astral_chrm1_inner.tree	astral_chrm1_outer.tree	40
astral_chr1_inner.tree	astral_chrm10_inner.tree	32
astral_chr1_outer.tree	astral_chrm10_inner.tree	30
astral_chr2_inner.tree	astral_chrm10_inner.tree	34
astral_chr2_outer.tree	astral_chrm10_inner.tree	30
astral_chr3_inner.tree	astral_chrm10_inner.tree	34
astral_chr3_outer.tree	astral_chrm10_inner.tree	32
astral_chr4_inner.tree	astral_chrm10_inner.tree	28
astral_chr4_outer.tree	astral_chrm10_inner.tree	28
astral_chr5_inner.tree	astral_chrm10_inner.tree	32
astral_chr5_outer.tree	astral_chrm10_inner.tree	32
astral_chr6_inner.tree	astral_chrm10_inner.tree	42
astral_chr6_outer.tree	astral_chrm10_inner.tree	38
astral_chr7_inner.tree	astral_chrm10_inner.tree	28
astral_chr7_outer.tree	astral_chrm10_inner.tree	34
astral_chrm1_inner.tree	astral_chrm10_inner.tree	38
astral_chrm1_outer.tree	astral_chrm10_inner.tree	30
astral_chr1_inner.tree	astral_chrm10_outer.tree	24
astral_chr1_outer.tree	astral_chrm10_outer.tree	26
astral_chr2_inner.tree	astral_chrm10_outer.tree	30
astral_chr2_outer.tree	astral_chrm10_outer.tree	24
astral_chr3_inner.tree	astral_chrm10_outer.tree	30
astral_chr3_outer.tree	astral_chrm10_outer.tree	26
astral_chr4_inner.tree	astral_chrm10_outer.tree	24
astral_chr4_outer.tree	astral_chrm10_outer.tree	30
astral_chr5_inner.tree	astral_chrm10_outer.tree	22
astral_chr5_outer.tree	astral_chrm10_outer.tree	28
astral_chr6_inner.tree	astral_chrm10_outer.tree	40
astral_chr6_outer.tree	astral_chrm10_outer.tree	34
astral_chr7_inner.tree	astral_chrm10_outer.tree	30
astral_chr7_outer.tree	astral_chrm10_outer.tree	32
astral_chrm1_inner.tree	astral_chrm10_outer.tree	44
astral_chrm1_outer.tree	astral_chrm10_outer.tree	26
astral_chrm10_inner.tree	astral_chrm10_outer.tree	26
astral_chr1_inner.tree	astral_chrm11_inner.tree	36
astral_chr1_outer.tree	astral_chrm11_inner.tree	38
astral_chr2_inner.tree	astral_chrm11_inner.tree	42
astral_chr2_outer.tree	astral_chrm11_inner.tree	36
astral_chr3_inner.tree	astral_chrm11_inner.tree	36
astral_chr3_outer.tree	astral_chrm11_inner.tree	36
astral_chr4_inner.tree	astral_chrm11_inner.tree	34
astral_chr4_outer.tree	astral_chrm11_inner.tree	38
astral_chr5_inner.tree	astral_chrm11_inner.tree	36
astral_chr5_outer.tree	astral_chrm11_inner.tree	38
astral_chr6_inner.tree	astral_chrm11_inner.tree	40
astral_chr6_outer.tree	astral_chrm11_inner.tree	40
astral_chr7_inner.tree	astral_chrm11_inner.tree	38
astral_chr7_outer.tree	astral_chrm11_inner.tree	36
astral_chrm1_inner.tree	astral_chrm11_inner.tree	42
astral_chrm1_outer.tree	astral_chrm11_inner.tree	26
astral_chrm10_inner.tree	astral_chrm11_inner.tree	36
astral_chrm10_outer.tree	astral_chrm11_inner.tree	36
astral_chr1_inner.tree	astral_chrm11_outer.tree	28
astral_chr1_outer.tree	astral_chrm11_outer.tree	30
astral_chr2_inner.tree	astral_chrm11_outer.tree	30
astral_chr2_outer.tree	astral_chrm11_outer.tree	26
astral_chr3_inner.tree	astral_chrm11_outer.tree	32
astral_chr3_outer.tree	astral_chrm11_outer.tree	32
astral_chr4_inner.tree	astral_chrm11_outer.tree	28
astral_chr4_outer.tree	astral_chrm11_outer.tree	30
astral_chr5_inner.tree	astral_chrm11_outer.tree	32
astral_chr5_outer.tree	astral_chrm11_outer.tree	22
astral_chr6_inner.tree	astral_chrm11_outer.tree	36
astral_chr6_outer.tree	astral_chrm11_outer.tree	32
astral_chr7_inner.tree	astral_chrm11_outer.tree	32
astral_chr7_outer.tree	astral_chrm11_outer.tree	32
astral_chrm1_inner.tree	astral_chrm11_outer.tree	42
astral_chrm1_outer.tree	astral_chrm11_outer.tree	24
astral_chrm10_inner.tree	astral_chrm11_outer.tree	36
astral_chrm10_outer.tree	astral_chrm11_outer.tree	34
astral_chrm11_inner.tree	astral_chrm11_outer.tree	38
astral_chr1_inner.tree	astral_chrm2_inner.tree	34
astral_chr1_outer.tree	astral_chrm2_inner.tree	38
astral_chr2_inner.tree	astral_chrm2_inner.tree	38
astral_chr2_outer.tree	astral_chrm2_inner.tree	36
astral_chr3_inner.tree	astral_chrm2_inner.tree	40
astral_chr3_outer.tree	astral_chrm2_inner.tree	38
astral_chr4_inner.tree	astral_chrm2_inner.tree	38
astral_chr4_outer.tree	astral_chrm2_inner.tree	38
astral_chr5_inner.tree	astral_chrm2_inner.tree	38
astral_chr5_outer.tree	astral_chrm2_inner.tree	40
astral_chr6_inner.tree	astral_chrm2_inner.tree	42
astral_chr6_outer.tree	astral_chrm2_inner.tree	42
astral_chr7_inner.tree	astral_chrm2_inner.tree	38
astral_chr7_outer.tree	astral_chrm2_inner.tree	42
astral_chrm1_inner.tree	astral_chrm2_inner.tree	48
astral_chrm1_outer.tree	astral_chrm2_inner.tree	34
astral_chrm10_inner.tree	astral_chrm2_inner.tree	36
astral_chrm10_outer.tree	astral_chrm2_inner.tree	40
astral_chrm11_inner.tree	astral_chrm2_inner.tree	38
astral_chrm11_outer.tree	astral_chrm2_inner.tree	40
astral_chr1_inner.tree	astral_chrm2_outer.tree	32
astral_chr1_outer.tree	astral_chrm2_outer.tree	26
astral_chr2_inner.tree	astral_chrm2_outer.tree	22
astral_chr2_outer.tree	astral_chrm2_outer.tree	36
astral_chr3_inner.tree	astral_chrm2_outer.tree	32
astral_chr3_outer.tree	astral_chrm2_outer.tree	28
astral_chr4_inner.tree	astral_chrm2_outer.tree	32
astral_chr4_outer.tree	astral_chrm2_outer.tree	28
astral_chr5_inner.tree	astral_chrm2_outer.tree	32
astral_chr5_outer.tree	astral_chrm2_outer.tree	32
astral_chr6_inner.tree	astral_chrm2_outer.tree	32
astral_chr6_outer.tree	astral_chrm2_outer.tree	32
astral_chr7_inner.tree	astral_chrm2_outer.tree	28
astral_chr7_outer.tree	astral_chrm2_outer.tree	42
astral_chrm1_inner.tree	astral_chrm2_outer.tree	40
astral_chrm1_outer.tree	astral_chrm2_outer.tree	26
astral_chrm10_inner.tree	astral_chrm2_outer.tree	38
astral_chrm10_outer.tree	astral_chrm2_outer.tree	40
astral_chrm11_inner.tree	astral_chrm2_outer.tree	40
astral_chrm11_outer.tree	astral_chrm2_outer.tree	34
astral_chrm2_inner.tree	astral_chrm2_outer.tree	36
astral_chr1_inner.tree	astral_chrm3_inner.tree	16
astral_chr1_outer.tree	astral_chrm3_inner.tree	22
astral_chr2_inner.tree	astral_chrm3_inner.tree	20
astral_chr2_outer.tree	astral_chrm3_inner.tree	20
astral_chr3_inner.tree	astral_chrm3_inner.tree	22
astral_chr3_outer.tree	astral_chrm3_inner.tree	16
astral_chr4_inner.tree	astral_chrm3_inner.tree	20
astral_chr4_outer.tree	astral_chrm3_inner.tree	26
astral_chr5_inner.tree	astral_chrm3_inner.tree	26
astral_chr5_outer.tree	astral_chrm3_inner.tree	20
astral_chr6_inner.tree	astral_chrm3_inner.tree	26
astral_chr6_outer.tree	astral_chrm3_inner.tree	24
astral_chr7_inner.tree	astral_chrm3_inner.tree	22
astral_chr7_outer.tree	astral_chrm3_inner.tree	30
astral_chrm1_inner.tree	astral_chrm3_inner.tree	42
astral_chrm1_outer.tree	astral_chrm3_inner.tree	20
astral_chrm10_inner.tree	astral_chrm3_inner.tree	32
astral_chrm10_outer.tree	astral_chrm3_inner.tree	24
astral_chrm11_inner.tree	astral_chrm3_inner.tree	34
astral_chrm11_outer.tree	astral_chrm3_inner.tree	24
astral_chrm2_inner.tree	astral_chrm3_inner.tree	38
astral_chrm2_outer.tree	astral_chrm3_inner.tree	26
astral_chr1_inner.tree	astral_chrm3_outer.tree	20
astral_chr1_outer.tree	astral_chrm3_outer.tree	32
astral_chr2_inner.tree	astral_chrm3_outer.tree	30
astral_chr2_outer.tree	astral_chrm3_outer.tree	20
astral_chr3_inner.tree	astral_chrm3_outer.tree	28
astral_chr3_outer.tree	astral_chrm3_outer.tree	24
astral_chr4_inner.tree	astral_chrm3_outer.tree	24
