locus	genome	chromosome	orthoblock
group1	Thamnophis-elegans	1	OG0004319
group2	Thamnophis-elegans	12	OG0006700
group3	Thamnophis-elegans	Z	OG0001225
group4	Thamnophis-elegans	5	OG0000267
group4	Thamnophis-elegans	5	OG0015677
group5	Thamnophis-elegans	6	OG0002685
group6	Thamnophis-elegans	NW_022473764.1	OG0007933
group7	Thamnophis-elegans	12	NA
group8	Thamnophis-elegans	5	OG0012046
group9	Thamnophis-elegans	6	OG0002095
group9	Thamnophis-elegans	6	OG0002096
group10	Thamnophis-elegans	1	NA
group11	Thamnophis-elegans	9	OG0008142
group12	Thamnophis-elegans	NA	NA
group13	Thamnophis-elegans	2	OG0000072
group13	Thamnophis-elegans	2	OG0000072
group13	Thamnophis-elegans	2	OG0000072
group14	Thamnophis-elegans	NW_022473682.1	NA
group15	Thamnophis-elegans	NA	NA
group16	Thamnophis-elegans	11	OG0008046
group17	Thamnophis-elegans	1	OG0009735
group18	Thamnophis-elegans	16	OG0005584
group19	Thamnophis-elegans	3	OG0001571
group20	Thamnophis-elegans	17	OG0007637
group21	Thamnophis-elegans	11	NA
group22	Thamnophis-elegans	Z	NA
group23	Thamnophis-elegans	Z	OG0001940
group24	Thamnophis-elegans	1	OG0010585
group24	Thamnophis-elegans	1	OG0014712
group25	Thamnophis-elegans	2	OG0000126
group26	Thamnophis-elegans	2	OG0006310
group27	Thamnophis-elegans	3	OG0000654
group28	Thamnophis-elegans	17	OG0010623
group29	Thamnophis-elegans	Z	OG0007650
group30	Thamnophis-elegans	Z	OG0001776
group31	Thamnophis-elegans	12	OG0000611
group32	Thamnophis-elegans	2	OG0004125
group33	Thamnophis-elegans	13	OG0010538
group34	Thamnophis-elegans	9	OG0011054
group35	Thamnophis-elegans	2	NA
group36	Thamnophis-elegans	Z	OG0000743
group37	Thamnophis-elegans	9	OG0002468
group37	Thamnophis-elegans	9	OG0009646
group38	Thamnophis-elegans	8	OG0004279
group39	Thamnophis-elegans	Z	OG0015322
group40	Thamnophis-elegans	7	OG0008111
group41	Thamnophis-elegans	1	OG0000373
group42	Thamnophis-elegans	9	OG0014413
group43	Thamnophis-elegans	Z	OG0006320
group44	Thamnophis-elegans	3	OG0010941
group45	Thamnophis-elegans	NA	NA
group46	Thamnophis-elegans	14	OG0008778
group46	Thamnophis-elegans	14	OG0008779
group47	Thamnophis-elegans	2	OG0000133
group48	Thamnophis-elegans	1	OG0000049
group49	Thamnophis-elegans	1	OG0010616
group50	Thamnophis-elegans	6	OG0005434
group51	Thamnophis-elegans	2	OG0011573
group52	Thamnophis-elegans	Z	OG0000015
group53	Thamnophis-elegans	Z	OG0000320
group54	Thamnophis-elegans	Z	OG0000150
group54	Thamnophis-elegans	Z	OG0001978
group55	Thamnophis-elegans	15	OG0014191
group56	Thamnophis-elegans	NA	NA
group57	Thamnophis-elegans	14	OG0015811
group58	Thamnophis-elegans	NW_022473702.1	OG0011114
group59	Thamnophis-elegans	6	OG0011385
group60	Thamnophis-elegans	5	OG0009212
group60	Thamnophis-elegans	5	OG0009213
group61	Thamnophis-elegans	16	OG0008856
group62	Thamnophis-elegans	4	OG0007148
group63	Thamnophis-elegans	4	NA
group64	Thamnophis-elegans	6	NA
group65	Thamnophis-elegans	7	NA
group66	Thamnophis-elegans	12	OG0000756
group67	Thamnophis-elegans	1	NA
group68	Thamnophis-elegans	Z	OG0000002
group69	Thamnophis-elegans	2	NA
group70	Thamnophis-elegans	NW_022473598.1	OG0002592
group71	Thamnophis-elegans	NW_022473660.1	OG0011113
group72	Thamnophis-elegans	12	OG0006707
group73	Thamnophis-elegans	7	OG0007380
group74	Thamnophis-elegans	12	NOG4422
group74	Thamnophis-elegans	12	OG0000195
group75	Thamnophis-elegans	Z	OG0000462
group76	Thamnophis-elegans	13	OG0005724
group77	Thamnophis-elegans	2	NA
group78	Thamnophis-elegans	12	OG0005793
group79	Thamnophis-elegans	3	OG0002633
group80	Thamnophis-elegans	12	OG0001414
group81	Thamnophis-elegans	Z	NA
group82	Thamnophis-elegans	13	NA
group83	Thamnophis-elegans	8	OG0014339
group84	Thamnophis-elegans	1	NA
group85	Thamnophis-elegans	8	OG0008983
group86	Thamnophis-elegans	7	OG0001047
group87	Thamnophis-elegans	2	OG0010834
group88	Thamnophis-elegans	NA	NA
group89	Thamnophis-elegans	13	OG0012304
group90	Thamnophis-elegans	NW_022473685.1	OG0011115
group91	Thamnophis-elegans	NA	NA
group92	Thamnophis-elegans	1	NA
group93	Thamnophis-elegans	14	NA
group94	Thamnophis-elegans	14	NA
group95	Thamnophis-elegans	16	OG0006233
group96	Thamnophis-elegans	NW_022473747.1	OG0002369
group97	Thamnophis-elegans	13	OG0005269
group98	Thamnophis-elegans	Z	OG0005733
group99	Thamnophis-elegans	11	NA
group100	Thamnophis-elegans	14	NA
group101	Thamnophis-elegans	5	NA
group102	Thamnophis-elegans	6	OG0007554
group103	Thamnophis-elegans	1	OG0003074
group104	Thamnophis-elegans	NA	NA
group105	Thamnophis-elegans	NA	NA
group106	Thamnophis-elegans	7	NA
group107	Thamnophis-elegans	1	OG0002021
group108	Thamnophis-elegans	12	OG0002199
group109	Thamnophis-elegans	NA	NA
group110	Thamnophis-elegans	Z	OG0001935
group110	Thamnophis-elegans	Z	OG0012995
group111	Thamnophis-elegans	17	NA
group112	Thamnophis-elegans	6	NA
group113	Thamnophis-elegans	NA	NA
group114	Thamnophis-elegans	2	OG0000048
group115	Thamnophis-elegans	11	OG0003164
group116	Thamnophis-elegans	3	NA
group117	Thamnophis-elegans	13	OG0007634
group118	Thamnophis-elegans	6	OG0007549
group119	Thamnophis-elegans	5	NA
group120	Thamnophis-elegans	Z	OG0000514
group120	Thamnophis-elegans	Z	OG0002089
group120	Thamnophis-elegans	Z	OG0013296
group121	Thamnophis-elegans	6	OG0002393
group121	Thamnophis-elegans	6	OG0008861
group122	Thamnophis-elegans	17	OG0010651
group123	Thamnophis-elegans	2	OG0000928
group124	Thamnophis-elegans	Z	OG0012820
group125	Thamnophis-elegans	2	OG0000035
group126	Thamnophis-elegans	Z	OG0015157
group127	Thamnophis-elegans	3	OG0007517
group128	Thamnophis-elegans	4	NA
group129	Thamnophis-elegans	NA	NA
group130	Thamnophis-elegans	2	OG0010882
group131	Thamnophis-elegans	13	OG0004893
group131	Thamnophis-elegans	13	OG0013006
group132	Thamnophis-elegans	14	OG0003350
group133	Thamnophis-elegans	1	OG0001971
group134	Thamnophis-elegans	9	OG0011052
group135	Thamnophis-elegans	NA	NA
group136	Thamnophis-elegans	NW_022473609.1	OG0011784
group137	Thamnophis-elegans	NA	NA
group138	Thamnophis-elegans	13	OG0001112
group139	Thamnophis-elegans	Z	NA
group140	Thamnophis-elegans	NA	NA
group141	Thamnophis-elegans	6	OG0012248
group142	Thamnophis-elegans	NA	NA
group143	Thamnophis-elegans	2	OG0000669
group143	Thamnophis-elegans	2	OG0002716
group144	Thamnophis-elegans	2	NA
group145	Thamnophis-elegans	NW_022473620.1	OG0002984
group146	Thamnophis-elegans	1	NA
group147	Thamnophis-elegans	5	OG0006507
group148	Thamnophis-elegans	2	OG0000062
group149	Thamnophis-elegans	4	OG0007179
group150	Thamnophis-elegans	15	OG0003202
group151	Thamnophis-elegans	12	OG0002381
group152	Thamnophis-elegans	NA	NA
group153	Thamnophis-elegans	NA	NA
group154	Thamnophis-elegans	3	OG0007828
group155	Thamnophis-elegans	1	OG0003094
group156	Thamnophis-elegans	NA	NA
group157	Thamnophis-elegans	NW_022473705.1	NA
group158	Thamnophis-elegans	6	OG0007548
group159	Thamnophis-elegans	16	OG0008840
group160	Thamnophis-elegans	4	OG0000115
group161	Thamnophis-elegans	6	OG0007591
group162	Thamnophis-elegans	5	OG0012049
group163	Thamnophis-elegans	3	OG0004015
group164	Thamnophis-elegans	Z	NA
group165	Thamnophis-elegans	Z	OG0000002
group166	Thamnophis-elegans	8	OG0000276
group166	Thamnophis-elegans	8	OG0002843
group167	Thamnophis-elegans	7	OG0006067
group168	Thamnophis-elegans	9	NA
group169	Thamnophis-elegans	12	OG0001138
group169	Thamnophis-elegans	12	OG0003278
group170	Thamnophis-elegans	NA	NA
group171	Thamnophis-elegans	7	OG0009596
group172	Thamnophis-elegans	12	OG0006687
group172	Thamnophis-elegans	12	OG0006688
group173	Thamnophis-elegans	NA	NA
group174	Thamnophis-elegans	7	OG0006161
group175	Thamnophis-elegans	1	OG0004320
group176	Thamnophis-elegans	3	OG0007305
group177	Thamnophis-elegans	9	NA
group178	Thamnophis-elegans	7	OG0006084
group179	Thamnophis-elegans	16	OG0000518
group180	Thamnophis-elegans	14	OG0011911
group181	Thamnophis-elegans	2	OG0004072
group182	Thamnophis-elegans	6	NA
group183	Thamnophis-elegans	NA	NA
group184	Thamnophis-elegans	3	NA
group185	Thamnophis-elegans	NA	NA
group186	Thamnophis-elegans	2	NA
group187	Thamnophis-elegans	16	OG0008152
group188	Thamnophis-elegans	Z	OG0011978
group189	Thamnophis-elegans	NA	NA
group190	Thamnophis-elegans	1	OG0005510
group191	Thamnophis-elegans	1	OG0015499
group192	Thamnophis-elegans	12	OG0001064
group193	Thamnophis-elegans	14	OG0003330
group194	Thamnophis-elegans	15	OG0007653
group194	Thamnophis-elegans	15	OG0007654
group195	Thamnophis-elegans	7	OG0006137
group196	Thamnophis-elegans	NA	NA
group197	Thamnophis-elegans	16	OG0008584
group198	Thamnophis-elegans	NA	NA
group199	Thamnophis-elegans	NA	NA
group200	Thamnophis-elegans	12	OG0008803
group201	Thamnophis-elegans	NA	NA
group202	Thamnophis-elegans	NA	NA
group203	Thamnophis-elegans	12	OG0009347
group204	Thamnophis-elegans	9	OG0014415
group205	Thamnophis-elegans	9	OG0007752
group206	Thamnophis-elegans	7	OG0002822
group207	Thamnophis-elegans	Z	OG0001850
group208	Thamnophis-elegans	NA	NA
group209	Thamnophis-elegans	4	OG0009821
group210	Thamnophis-elegans	NA	NA
group211	Thamnophis-elegans	10	OG0011518
group212	Thamnophis-elegans	1	OG0005346
group213	Thamnophis-elegans	Z	OG0003703
group214	Thamnophis-elegans	NA	NA
group215	Thamnophis-elegans	3	NA
group216	Thamnophis-elegans	15	OG0002521
group216	Thamnophis-elegans	15	OG0010039
group217	Thamnophis-elegans	Z	OG0011160
group218	Thamnophis-elegans	NA	NA
group219	Thamnophis-elegans	3	OG0008258
group220	Thamnophis-elegans	2	OG0001099
group220	Thamnophis-elegans	2	OG0001099
group220	Thamnophis-elegans	2	OG0015992
group221	Thamnophis-elegans	15	OG0010023
group222	Thamnophis-elegans	1	OG0009188
group222	Thamnophis-elegans	1	OG0015501
group223	Thamnophis-elegans	NW_022473752.1	NOG4489
group223	Thamnophis-elegans	NW_022473752.1	OG0007791
group224	Thamnophis-elegans	2	OG0004413
group225	Thamnophis-elegans	9	OG0009136
group226	Thamnophis-elegans	16	OG0000364
group226	Thamnophis-elegans	16	OG0004372
group227	Thamnophis-elegans	NA	NA
group228	Thamnophis-elegans	16	OG0009540
group228	Thamnophis-elegans	16	OG0009541
group229	Thamnophis-elegans	4	NA
group230	Thamnophis-elegans	14	OG0000031
group231	Thamnophis-elegans	3	OG0010963
group232	Thamnophis-elegans	1	OG0010363
group232	Thamnophis-elegans	1	OG0010365
group233	Thamnophis-elegans	4	OG0002851
group234	Thamnophis-elegans	6	OG0009906
group234	Thamnophis-elegans	6	OG0009907
group235	Thamnophis-elegans	7	OG0012053
group236	Thamnophis-elegans	Z	NA
group237	Thamnophis-elegans	10	OG0011025
group238	Thamnophis-elegans	NA	NA
group239	Thamnophis-elegans	2	NA
group240	Thamnophis-elegans	2	OG0002321
group240	Thamnophis-elegans	2	OG0008095
group241	Thamnophis-elegans	8	NA
group242	Thamnophis-elegans	8	OG0004281
group243	Thamnophis-elegans	15	OG0009717
group244	Thamnophis-elegans	15	OG0000936
group244	Thamnophis-elegans	15	OG0010034
group245	Thamnophis-elegans	4	OG0008747
group246	Thamnophis-elegans	NA	NA
group247	Thamnophis-elegans	NA	NA
group248	Thamnophis-elegans	16	NA
group249	Thamnophis-elegans	16	OG0002333
group250	Thamnophis-elegans	NA	NA
group251	Thamnophis-elegans	Z	OG0004177
group252	Thamnophis-elegans	16	NOG4456
group252	Thamnophis-elegans	16	OG0001090
group253	Thamnophis-elegans	9	OG0009923
group254	Thamnophis-elegans	12	NA
group255	Thamnophis-elegans	1	NA
group256	Thamnophis-elegans	12	OG0006703
group257	Thamnophis-elegans	NA	NA
group258	Thamnophis-elegans	14	NA
group259	Thamnophis-elegans	8	NA
group260	Thamnophis-elegans	2	OG0000001
group260	Thamnophis-elegans	2	OG0001788
group261	Thamnophis-elegans	2	OG0000126
group262	Thamnophis-elegans	15	OG0000491
group262	Thamnophis-elegans	15	OG0002706
group263	Thamnophis-elegans	2	OG0004405
group264	Thamnophis-elegans	1	OG0008343
group265	Thamnophis-elegans	4	OG0007211
group265	Thamnophis-elegans	4	OG0007212
group266	Thamnophis-elegans	NA	NA
group267	Thamnophis-elegans	3	OG0015452
group268	Thamnophis-elegans	NA	NA
group269	Thamnophis-elegans	14	NA
group270	Thamnophis-elegans	16	OG0000124
group270	Thamnophis-elegans	16	OG0000124
group271	Thamnophis-elegans	16	OG0001352
group272	Thamnophis-elegans	1	OG0006383
group273	Thamnophis-elegans	NA	NA
group274	Thamnophis-elegans	5	OG0011227
group275	Thamnophis-elegans	4	OG0007211
