qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NW_013657681.1:291857-294683	KQ745469.1	80	125	25	0	2187	2311	62998	62874	5.12e-16	93.5
NW_013657681.1:3142010-3142916	KQ749309.1	76.77	551	107	15	58	601	84771	84235	1.91e-75	289
NW_013657681.1:3142010-3142916	KQ749309.1	80.33	361	69	2	529	888	34060	33701	1.92e-70	272
NW_013657682.1:385039-385168	KQ745911.1	86.41	103	14	0	28	130	80325	80427	1.45e-23	113
NW_013657682.1:896304-896574	KQ755149.1	90.53	243	22	1	6	247	138932	139174	1.88e-85	320
NW_013657685.1:167778-167908	KQ757227.1	92.86	56	4	0	18	73	114791	114736	4.13e-14	82.4
NW_013657685.1:2114044-2115813	KQ747654.1	82.61	1771	304	4	1	1769	125467	123699	0	1561
NW_013657685.1:398041-398911	KQ749639.1	84.61	871	123	8	5	871	415309	414446	0	856
NW_013657687.1:1973384-1974985	KQ747984.1	88.99	1608	168	4	1	1602	410358	411962	0	1980
NW_013657688.1:2521799-2521963	KQ747574.1	87.68	138	17	0	27	164	879942	880079	6.79e-38	161
NW_013657690.1:2030752-2030951	KQ751309.1	81.12	196	37	0	5	200	113195	113000	1.1e-36	158
NW_013657690.1:2470977-2471143	KQ752950.1	85.98	164	23	0	2	165	2665936	2666099	2.46e-42	176
NW_013657694.1:850931-851587	KQ757985.1	77.86	542	88	27	57	589	336616	336098	3.78e-81	307
NW_013657694.1:864925-866029	KQ757985.1	81.01	158	27	3	25	182	320396	320242	2.51e-25	122
NW_013657697.1:1339805-1341733	KQ757557.1	80.41	1164	218	6	745	1906	363850	365005	0	878
NW_013657698.1:1383329-1384381	KQ749657.1	78.98	490	94	9	21	506	184519	184035	1.7e-86	326
NW_013657698.1:162073-162369	KQ751331.1	82.49	297	52	0	1	297	255070	254774	1.28e-67	261
NW_013657698.1:359074-360333	KQ753398.1	73.01	1308	285	46	1	1259	894802	896090	4.27e-108	398
NW_013657699.1:552292-552535	KQ754238.1	78.37	245	40	8	8	244	494101	493862	3e-33	147
NW_013657702.1:1443102-1444174	KQ750545.1	76.3	595	110	21	502	1073	2779642	2779056	2.27e-75	289
NW_013657704.1:1129111-1130517	KQ751363.1	73.92	1453	299	45	1	1407	386879	385461	5.88e-142	510
NW_013657704.1:1129111-1130517	KQ747280.1	71.96	460	92	30	266	712	39742	39307	1.51e-18	100
NW_013657704.1:1695005-1695788	KQ756777.1	87.63	784	94	2	1	784	125396	126176	0	907
NW_013657705.1:1107077-1107215	KQ753002.1	85.18	135	20	0	5	139	146161	146295	2.6e-31	139
NW_013657707.1:1259055-1259180	KQ757586.1	85.48	124	18	0	3	126	196406	196283	1.38e-28	130
NW_013657707.1:1317811-1317931	LNDG01200956.1	79.09	110	17	5	13	119	329	223	8.08e-11	71.3
NW_013657708.1:1639247-1639417	KQ747991.1	86.79	159	17	4	15	171	282949	283105	9.1e-42	174
NW_013657708.1:250020-250237	KQ746847.1	87.81	205	25	0	14	218	52892	53096	1.18e-61	241
NW_013657709.1:706299-707171	KQ745056.1	86.25	873	120	0	1	873	1781085	1781957	0	948
NW_013657710.1:642998-643128	KQ748407.1	88.28	128	15	0	1	128	511088	511215	8.62e-36	154
NW_013657711.1:1631981-1633671	KQ750935.1	83.47	1682	272	5	13	1691	693612	691934	0	1561
NW_013657711.1:1635942-1636208	KQ750935.1	82.33	266	47	0	2	267	690033	689768	8.9e-59	231
NW_013657711.1:1714615-1714893	KQ750935.1	83.51	279	46	0	1	279	609805	609527	1.19e-67	261
NW_013657711.1:1802884-1803023	KQ750935.1	81.43	140	26	0	1	140	531800	531661	4.42e-24	115
NW_013657711.1:1843518-1843817	KQ750935.1	88	300	36	0	1	300	480274	479975	5.74e-96	355
NW_013657711.1:1870040-1870342	KQ750935.1	89.18	305	28	4	1	303	450547	450246	4.45e-102	375
NW_013657711.1:1890219-1890515	KQ750935.1	86.87	297	39	0	1	297	430081	429785	2.67e-89	333
NW_013657711.1:1896218-1896505	KQ750935.1	83.81	278	45	0	11	288	423808	423531	9.55e-69	265
NW_013657711.1:1897016-1899082	KQ750935.1	84.29	2069	319	4	2	2067	422765	420700	0	2015
NW_013657713.1:1634153-1635298	KQ748500.1	79.3	1135	211	16	27	1146	18082	19207	0	773
NW_013657714.1:970040-970220	KQ750901.1	84.36	179	28	0	3	181	2454969	2454791	2.71e-42	176
NW_013657715.1:1096648-1096877	KQ751786.1	86.9	229	30	0	1	229	288269	288041	1.24e-66	257
NW_013657715.1:10985-11650	KQ745594.1	80.51	626	114	8	1	622	63010	63631	3.56e-131	473
NW_013657718.1:188650-191331	KQ753450.1	73.57	1903	419	58	195	2043	60834	58962	0	651
NW_013657718.1:434210-434489	KQ751340.1	87.91	91	11	0	190	280	223104	223014	1.65e-21	108
