qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
micrurus_fulvius_uce-1003	KN636222.1	99.48	193	1	0	1	193	14321	14129	2.8e-95	351
micrurus_fulvius_uce-1004	KN635898.1	99.06	212	2	0	1	212	65852	65641	3.98e-104	381
micrurus_fulvius_uce-1005	KN637710.1	98.05	462	6	2	1	459	197456	196995	0	800
micrurus_fulvius_uce-101	KN634594.1	98	400	6	1	2	401	52718	53115	0	693
micrurus_fulvius_uce-1010	KN636404.1	98.11	159	3	0	1	159	365533	365375	3.84e-73	278
micrurus_fulvius_uce-1012	KN635795.1	99.72	356	1	0	1	356	4260	3905	0	652
micrurus_fulvius_uce-1014	KN632996.1	99.1	223	2	0	1	223	311866	312088	3.22e-110	401
micrurus_fulvius_uce-1018	KN631466.1	98.45	322	4	1	1	321	41534	41855	1.62e-159	566
micrurus_fulvius_uce-1025	KN637639.1	95.98	224	9	0	1	224	10015	10238	4.25e-99	364
micrurus_fulvius_uce-1026	KN636128.1	98.62	218	3	0	1	218	101201	101418	8.79e-106	387
micrurus_fulvius_uce-1027	KN634975.1	97.8	227	2	1	1	227	56675	56452	2.57e-106	388
micrurus_fulvius_uce-1036	KN621738.1	98.21	280	4	1	1	280	111911	111633	3.11e-136	488
micrurus_fulvius_uce-1037	KN624135.1	99.2	125	1	0	1	125	253371	253495	1.05e-57	226
micrurus_fulvius_uce-1038	KN620425.1	98.32	594	5	4	1	590	48462	47870	0	1037
micrurus_fulvius_uce-1040	KN631117.1	98.25	399	7	0	1	399	161843	161445	0	699
micrurus_fulvius_uce-1041	KN631262.1	98.52	270	3	1	1	269	58153	58422	2.33e-132	475
micrurus_fulvius_uce-1044	KN638773.1	98.02	403	4	3	1	403	237613	237215	0	697
micrurus_fulvius_uce-1047	KN624135.1	90.73	248	22	1	1	247	25168	24921	1.73e-88	329
micrurus_fulvius_uce-1050	KN614067.1	97.97	443	8	1	1	443	27584	27143	0	767
micrurus_fulvius_uce-1051	KN634159.1	98.97	292	3	0	1	292	44730	44439	8.93e-147	523
micrurus_fulvius_uce-1052	KN631117.1	97.69	520	12	0	1	520	107276	106757	0	894
micrurus_fulvius_uce-1053	KN632029.1	99.1	442	4	0	1	442	183914	183473	0	795
micrurus_fulvius_uce-1055	KN631939.1	96.88	224	4	1	1	224	59223	59003	2.54e-101	372
micrurus_fulvius_uce-1056	KN634389.1	98.36	365	6	0	1	365	52645	52281	0	641
micrurus_fulvius_uce-1058	KN636267.1	99.07	216	2	0	1	216	49535	49320	2.91e-106	388
micrurus_fulvius_uce-1059	KN631409.1	92.36	288	12	5	5	288	241901	241620	4.3e-110	401
micrurus_fulvius_uce-106	KN634295.1	93.66	505	22	7	1	500	414065	414564	0	747
micrurus_fulvius_uce-1061	KN624591.1	99.13	461	4	0	1	461	140107	139647	0	830
micrurus_fulvius_uce-1062	KN628111.1	98.25	285	5	0	1	285	114253	114537	1.46e-139	499
micrurus_fulvius_uce-1063	KN638927.1	98.24	454	7	1	1	454	158813	158361	0	793
micrurus_fulvius_uce-1065	KN615433.1	96.32	272	6	4	1	270	80419	80688	6.55e-123	444
micrurus_fulvius_uce-1068	KN634079.1	98.63	366	4	1	1	366	27822	28186	0	647
micrurus_fulvius_uce-1069	KN633396.1	98.68	304	4	0	1	304	72316	72013	9.27e-152	540
micrurus_fulvius_uce-1077	KN634815.1	93.66	205	11	2	1	204	29422	29625	2.36e-81	305
micrurus_fulvius_uce-1081	KN631117.1	98.98	295	1	1	45	337	9277	8983	8.08e-148	527
micrurus_fulvius_uce-1084	KN613738.1	93.96	265	5	6	35	293	1919	2178	9.48e-107	390
micrurus_fulvius_uce-1085	KN620947.1	96.6	265	9	0	1	265	334969	335233	8.3e-122	440
micrurus_fulvius_uce-1089	KN629325.1	97.85	186	3	1	1	185	96100	95915	7.52e-86	320
micrurus_fulvius_uce-1090	KN631008.1	95.56	450	17	2	1	448	276100	276548	0	717
micrurus_fulvius_uce-1092	KN617818.1	99.52	419	2	0	2	420	11812	12230	0	763
micrurus_fulvius_uce-1094	KN633606.1	99.19	493	4	0	1	493	112958	112466	0	889
micrurus_fulvius_uce-1098	KN631177.1	97.19	392	10	1	1	392	32566	32956	0	662
micrurus_fulvius_uce-11	KN631041.1	95.7	349	10	4	1	346	21810	21464	1.06e-156	556
micrurus_fulvius_uce-110	KN637449.1	95.91	318	4	8	1	315	43528	43217	9.77e-142	507
micrurus_fulvius_uce-1101	KN621787.1	96.81	188	4	1	4	191	18777	18592	1.31e-83	313
micrurus_fulvius_uce-1102	KN633663.1	97.39	307	7	1	2	307	250197	250503	3.39e-146	521
micrurus_fulvius_uce-1107	KN636333.1	98.03	407	7	1	1	407	40452	40857	0	706
micrurus_fulvius_uce-111	KN632867.1	95.19	291	5	4	1	291	48687	48968	4.26e-125	451
micrurus_fulvius_uce-1110	KN637366.1	99.11	562	3	2	1	561	184543	185103	0	1009
micrurus_fulvius_uce-1113	KN632654.1	92.37	485	22	7	1	474	62718	63198	0	676
micrurus_fulvius_uce-1122	KN632962.1	99.18	489	4	0	1	489	77095	76607	0	881
micrurus_fulvius_uce-1127	KN633500.1	96.86	319	8	1	1	319	37142	37458	1.63e-149	532
micrurus_fulvius_uce-1128	KN625887.1	97.94	388	2	2	1	388	77214	77595	0	667
micrurus_fulvius_uce-1131	KN638009.1	97.86	560	6	4	1	557	203623	203067	0	963
micrurus_fulvius_uce-1133	KN637155.1	97.32	299	6	1	1	297	16724	17022	9.16e-142	507
micrurus_fulvius_uce-1134	KN636183.1	97.78	225	4	1	1	225	78478	78255	9.12e-106	387
micrurus_fulvius_uce-1135	KN632372.1	98.18	384	7	0	1	384	98647	99030	0	671
micrurus_fulvius_uce-1138	KN631179.1	97.8	363	7	1	1	363	17116	16755	3.02e-177	625
micrurus_fulvius_uce-1141	KN633606.1	95.5	333	12	1	1	333	139178	138849	2.22e-148	529
micrurus_fulvius_uce-1143	KN631686.1	96.59	293	10	0	1	293	54972	55264	1.19e-135	486
micrurus_fulvius_uce-1148	KN614346.1	93.36	301	19	1	37	337	21906	22205	8.37e-123	444
micrurus_fulvius_uce-115	KN632430.1	98.93	280	3	0	1	280	4705	4984	3.99e-140	501
micrurus_fulvius_uce-1150	KN621710.1	96.3	351	12	1	1	350	74717	74367	2.96e-162	575
micrurus_fulvius_uce-1154	KN620947.1	99.73	372	1	0	1	372	169382	169753	0	682
micrurus_fulvius_uce-1159	KN637366.1	92.07	290	19	3	5	293	78729	79015	3.39e-111	405
micrurus_fulvius_uce-1163	KN631841.1	94.86	447	12	3	1	444	303479	303041	0	688
micrurus_fulvius_uce-1167	KN637388.1	98.62	363	3	2	1	362	164849	165210	0	641
micrurus_fulvius_uce-117	KN635018.1	94.39	214	9	2	1	213	158077	158288	1.95e-87	326
micrurus_fulvius_uce-1170	KN633818.1	91.87	332	21	3	1	327	128498	128828	2.89e-127	459
micrurus_fulvius_uce-1172	KN629913.1	98.72	468	6	0	1	468	118131	117664	0	832
micrurus_fulvius_uce-1174	KN626833.1	95.46	396	17	1	1	395	80623	80228	7.11e-179	630
