"gseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"CDS_NW_013657680.1_1014266_1014392_Gene=ARHGAP11A","Thamnophis_sirtalis_LFLD01S000001.1",100,42,0,0,127,2,1014393,1014268,7.39e-24,109
"CDS_NW_013657680.1_3723401_3723539_Gene=CCDC59","Thamnophis_sirtalis_LFLD01S000001.1",100,46,0,0,139,2,3723540,3723403,8.66e-26,116
"CDS_NW_013657680.1_54656_54890_Gene=THBS1","Thamnophis_sirtalis_LFLD01S000001.1",100,78,0,0,235,2,54891,54658,2.3e-42,172
"CDS_NW_013657680.1_59350_59502_Gene=THBS1","Thamnophis_sirtalis_LFLD01S000001.1",100,51,0,0,153,1,59503,59351,6.3e-34,143
"CDS_NW_013657680.1_60996_61169_Gene=THBS1","Thamnophis_sirtalis_LFLD01S000001.1",100,58,0,0,174,1,61170,60997,1.99e-37,155
"CDS_NW_013657681.1_1313940_1314098_Gene=LAMA1","Thamnophis_sirtalis_LFLD01S000002.1",100,53,0,0,159,1,1314099,1313941,7.39e-32,136
"CDS_NW_013657681.1_1341139_1341272_Gene=LAMA1","Thamnophis_sirtalis_LFLD01S000002.1",100,44,0,0,133,2,1341272,1341141,1.1e-24,112
"CDS_NW_013657681.1_1745977_1746104_Gene=PAPLN","Thamnophis_sirtalis_LFLD01S000002.1",100,42,0,0,127,2,1746104,1745979,3.62e-23,107
"CDS_NW_013657681.1_1994508_1994643_Gene=LOC106540201","Thamnophis_sirtalis_LFLD01S000002.1",100,45,0,0,2,136,1994510,1994644,1.64e-21,101
"CDS_NW_013657681.1_2075753_2075961_Gene=LOC106538175","Thamnophis_sirtalis_LFLD01S000002.1",100,69,0,0,209,3,2075962,2075756,1.24e-42,173
"CDS_NW_013657681.1_258226_258405_Gene=ATP5F1","Thamnophis_sirtalis_LFLD01S000002.1",100,60,0,0,180,1,258406,258227,6.36e-36,150
"CDS_NW_013657681.1_259074_259199_Gene=ATP5F1","Thamnophis_sirtalis_LFLD01S000002.1",100,41,0,0,2,124,259076,259198,9.38e-23,105
"CDS_NW_013657681.1_2671538_2671709_Gene=MRPL44","Thamnophis_sirtalis_LFLD01S000002.1",100,57,0,0,172,2,2671710,2671540,1.74e-31,135
"CDS_NW_013657681.1_2679953_2680116_Gene=MRPL44","Thamnophis_sirtalis_LFLD01S000002.1",100,54,0,0,162,1,2680115,2679954,8.66e-34,142
"CDS_NW_013657681.1_268159_268282_Gene=WDR77","Thamnophis_sirtalis_LFLD01S000002.1",100,41,0,0,1,123,268160,268282,8e-25,112
"CDS_NW_013657681.1_2821554_2821682_Gene=COL4A4","Thamnophis_sirtalis_LFLD01S000002.1",100,42,0,0,2,127,2821556,2821681,1.61e-23,108
"CDS_NW_013657681.1_2823650_2823805_Gene=COL4A4","Thamnophis_sirtalis_LFLD01S000002.1",100,51,0,0,154,2,2823804,2823652,3.62e-31,133
"CDS_NW_013657681.1_3146060_3146192_Gene=LOC106538629","Thamnophis_sirtalis_LFLD01S000002.1",100,44,0,0,133,2,3146193,3146062,4.59e-26,116
"CDS_NW_013657681.1_3194850_3195084_Gene=CEP89","Thamnophis_sirtalis_LFLD01S000002.1",100,78,0,0,2,235,3194852,3195085,1.12e-48,193
"CDS_NW_013657681.1_3217360_3217527_Gene=CEP89","Thamnophis_sirtalis_LFLD01S000002.1",100,55,0,0,167,3,3217527,3217363,4.4e-32,137
"CDS_NW_013657681.1_3217869_3218049_Gene=CEP89","Thamnophis_sirtalis_LFLD01S000002.1",100,60,0,0,1,180,3217870,3218049,4.28e-35,147
"CDS_NW_013657681.1_3225397_3225558_Gene=CEP89","Thamnophis_sirtalis_LFLD01S000002.1",100,53,0,0,161,3,3225558,3225400,5.38e-32,136
"CDS_NW_013657681.1_38974_39095_Gene=LOC106537515","Thamnophis_sirtalis_LFLD01S000002.1",100,40,0,0,120,1,39094,38975,1.1e-24,112
"CDS_NW_013657681.1_455689_455819_Gene=HSD11B1","Thamnophis_sirtalis_LFLD01S000002.1",100,43,0,0,129,1,455818,455690,1.64e-25,115
"CDS_NW_013657681.1_565585_565776_Gene=LAMB3","Thamnophis_sirtalis_LFLD01S000002.1",100,63,0,0,3,191,565588,565776,9.05e-41,166
"CDS_NW_013657681.1_572377_572497_Gene=LAMB3","Thamnophis_sirtalis_LFLD01S000002.1",100,39,0,0,3,119,572380,572496,3.34e-26,117
"CDS_NW_013657681.1_573232_573420_Gene=LAMB3","Thamnophis_sirtalis_LFLD01S000002.1",100,62,0,0,2,187,573234,573419,1.28e-42,172
"CDS_NW_013657681.1_574935_575090_Gene=LAMB3","Thamnophis_sirtalis_LFLD01S000002.1",100,51,0,0,2,154,574937,575089,6.3e-34,143
"CDS_NW_013657681.1_595462_595670_Gene=LAMB3","Thamnophis_sirtalis_LFLD01S000002.1",100,69,0,0,1,207,595463,595669,5.61e-41,167
"CDS_NW_013657681.1_608353_608497_Gene=LAMB3","Thamnophis_sirtalis_LFLD01S000002.1",100,48,0,0,2,145,596975,597118,1.39e-27,122
"CDS_NW_013657681.1_614603_614779_Gene=LAMB3","Thamnophis_sirtalis_LFLD01S000002.1",100,58,0,0,2,175,601200,601373,2.09e-35,148
"CDS_NW_013657682.1_1030411_1030612_Gene=LOC106544807","Thamnophis_sirtalis_LFLD01S000003.1",100,67,0,0,202,2,1030613,1030413,1.01e-40,166
"CDS_NW_013657682.1_1100195_1100347_Gene=GABRA1","Thamnophis_sirtalis_LFLD01S000003.1",100,51,0,0,1,153,1100196,1100348,1.1e-32,138
"CDS_NW_013657682.1_1777522_1777701_Gene=ATP10B","Thamnophis_sirtalis_LFLD01S000003.1",100,59,0,0,179,3,1777701,1777525,6.88e-37,153
"CDS_NW_013657682.1_1935332_1935491_Gene=CCNJL","Thamnophis_sirtalis_LFLD01S000003.1",100,53,0,0,1,159,1935333,1935491,3.91e-32,137
"CDS_NW_013657682.1_19585_19762_Gene=HSPB8","Thamnophis_sirtalis_LFLD01S000003.1",100,59,0,0,177,1,19762,19586,1.2e-36,152
"CDS_NW_013657682.1_2051116_2051281_Gene=RTBDN","Thamnophis_sirtalis_LFLD01S000003.1",100,55,0,0,2,166,2051118,2051282,4.07e-35,147
"CDS_NW_013657682.1_2053651_2053779_Gene=RTBDN","Thamnophis_sirtalis_LFLD01S000003.1",100,43,0,0,1,129,2053652,2053780,7.39e-28,122
"CDS_NW_013657682.1_2139390_2139527_Gene=LOC106545922","Thamnophis_sirtalis_LFLD01S000003.1",100,46,0,0,138,1,2139528,2139391,6.31e-26,116
"CDS_NW_013657682.1_2267985_2268113_Gene=FBXW9","Thamnophis_sirtalis_LFLD01S000003.1",100,43,0,0,129,1,2268114,2267986,2.07e-24,111
"CDS_NW_013657682.1_2419919_2420131_Gene=MAN2B1","Thamnophis_sirtalis_LFLD01S000003.1",100,71,0,0,213,1,2420132,2419920,1.48e-43,176
