qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
micrurus_fulvius_uce-1003	NW_006532175.1	98.96	193	2	0	1	193	523547	523739	1.22e-93	346
micrurus_fulvius_uce-1004	NW_006532837.1	99.53	212	1	0	1	212	21931	22142	8.02e-106	387
micrurus_fulvius_uce-1005	NW_006533317.1	98.06	464	4	1	1	459	9817	10280	0	802
micrurus_fulvius_uce-101	NW_006532418.1	97.25	400	9	1	2	401	36543	36146	0	676
micrurus_fulvius_uce-1010	NW_006534486.1	95.6	159	7	0	1	159	177653	177811	1.68e-66	255
micrurus_fulvius_uce-1012	NW_006538991.1	99.44	356	2	0	1	356	17190	16835	0	647
micrurus_fulvius_uce-1014	NW_006533127.1	98.66	223	3	0	1	223	4133	4355	1.41e-108	396
micrurus_fulvius_uce-1018	NW_006534815.1	96.89	321	7	2	1	321	70041	69724	4.28e-150	534
micrurus_fulvius_uce-1021	NW_006534909.1	95.97	670	18	1	1	670	117329	116669	0	1079
micrurus_fulvius_uce-1025	NW_006537623.1	95.98	224	9	0	1	224	51655	51432	4e-99	364
micrurus_fulvius_uce-1026	NW_006532170.1	97.68	216	5	0	3	218	119050	118835	2.32e-101	372
micrurus_fulvius_uce-1027	NW_006532782.1	96.03	227	8	1	1	227	60858	60633	3.14e-100	368
micrurus_fulvius_uce-1036	NW_006534981.1	97.86	280	5	1	1	280	102722	103000	1.35e-134	483
micrurus_fulvius_uce-1037	NW_006532977.1	99.2	125	1	0	1	125	250868	250744	9.8e-58	226
micrurus_fulvius_uce-1038	NW_006532157.1	97.29	590	15	1	1	590	115756	115168	0	1000
micrurus_fulvius_uce-1040	NW_006536378.1	98.75	399	5	0	1	399	98755	98357	0	710
micrurus_fulvius_uce-1041	NW_006533470.1	97.78	270	5	1	1	269	37886	37617	4.73e-129	464
micrurus_fulvius_uce-1044	NW_006532931.1	99.26	403	0	2	1	403	68659	69058	0	725
micrurus_fulvius_uce-1047	NW_006535868.1	93.52	247	16	0	1	247	36464	36218	3.44e-100	368
micrurus_fulvius_uce-1050	NW_006532984.1	98.65	443	6	0	1	443	198366	197924	0	785
micrurus_fulvius_uce-1051	NW_006537184.1	99.32	292	2	0	1	292	47351	47060	1.8e-148	529
micrurus_fulvius_uce-1052	NW_006536378.1	97.37	495	13	0	26	520	50373	49879	0	843
micrurus_fulvius_uce-1053	NW_006534712.1	98.87	442	5	0	1	442	102506	102065	0	789
micrurus_fulvius_uce-1055	NW_006534909.1	96.88	224	7	0	1	224	30341	30118	1.85e-102	375
micrurus_fulvius_uce-1056	NW_006533156.1	96.16	365	14	0	1	365	92209	92573	6.2e-169	597
micrurus_fulvius_uce-1058	NW_006536823.1	94.63	242	6	2	1	242	50689	50923	3.55e-100	368
micrurus_fulvius_uce-1059	NW_006536226.1	91	289	15	7	1	285	107560	107841	1.89e-103	379
micrurus_fulvius_uce-106	NW_006532661.1	93.04	503	20	12	1	500	257681	257191	0	721
micrurus_fulvius_uce-1061	NW_006532291.1	98.05	461	9	0	1	461	276908	276448	0	802
micrurus_fulvius_uce-1062	NW_006533492.1	98.25	285	5	0	1	285	145065	145349	1.37e-139	499
micrurus_fulvius_uce-1063	NW_006532024.1	98.24	454	8	0	1	454	208169	208622	0	795
micrurus_fulvius_uce-1065	NW_006532341.1	95.27	275	5	7	1	270	376481	376210	1.72e-118	429
micrurus_fulvius_uce-1068	NW_006541339.1	98.36	365	6	0	2	366	3666	3302	0	641
micrurus_fulvius_uce-1069	NW_006532327.1	97.7	304	7	0	1	304	52611	52308	8.74e-147	523
micrurus_fulvius_uce-1077	NW_006532100.1	92.68	205	13	2	1	204	540743	540540	4.78e-78	294
micrurus_fulvius_uce-1081	NW_006533574.1	95.87	339	10	2	3	337	43688	44026	2.09e-153	545
micrurus_fulvius_uce-1084	NW_006532216.1	94.28	297	9	4	1	293	113809	113517	5.19e-124	448
micrurus_fulvius_uce-1085	NW_006532449.1	96.6	265	9	0	1	265	136771	137035	7.77e-122	440
micrurus_fulvius_uce-1089	NW_006533612.1	97.86	187	2	2	1	185	40056	39870	1.96e-86	322
micrurus_fulvius_uce-1090	NW_006532160.1	96.88	448	12	2	1	448	79501	79946	0	749
micrurus_fulvius_uce-1092	NW_006532533.1	99.76	420	1	0	1	420	264710	265129	0	771
micrurus_fulvius_uce-1094	NW_006532738.1	99.19	493	4	0	1	493	186845	186353	0	889
micrurus_fulvius_uce-1098	NW_006532361.1	97.19	392	10	1	1	392	354826	355216	0	662
micrurus_fulvius_uce-11	NW_006535824.1	95.38	346	14	2	1	346	5937	5594	1.66e-154	549
micrurus_fulvius_uce-110	NW_006532213.1	93.97	315	10	4	2	315	429921	429615	4.32e-130	468
micrurus_fulvius_uce-1101	NW_006533750.1	99.47	190	1	0	2	191	216036	216225	1.21e-93	346
micrurus_fulvius_uce-1102	NW_006534651.1	98.04	306	6	0	2	307	74088	73783	1.47e-149	532
micrurus_fulvius_uce-1107	NW_006532379.1	96.83	410	9	4	1	407	409705	409297	0	682
micrurus_fulvius_uce-111	NW_006534272.1	97.54	285	6	1	1	284	144278	143994	1.09e-135	486
micrurus_fulvius_uce-1110	NW_006532400.1	98.93	561	5	1	1	561	134483	135042	0	1002
micrurus_fulvius_uce-1113	NW_006534699.1	93.08	477	14	7	1	474	53389	53849	0	680
micrurus_fulvius_uce-1122	NW_006536481.1	99.18	489	4	0	1	489	67569	67081	0	881
micrurus_fulvius_uce-1127	NW_006535322.1	94.98	319	13	2	1	319	97765	97450	5.58e-139	497
micrurus_fulvius_uce-1128	NW_006532217.1	97.17	388	3	2	1	388	87910	88289	0	649
micrurus_fulvius_uce-1131	NW_006532339.1	96.43	560	12	5	1	556	435425	434870	0	917
micrurus_fulvius_uce-1133	NW_006532125.1	95.65	299	11	1	1	297	175178	174880	1.87e-133	479
micrurus_fulvius_uce-1134	NW_006533778.1	98.22	225	2	2	1	225	70631	70853	1.84e-107	392
micrurus_fulvius_uce-1135	NW_006532733.1	98.18	385	6	1	1	384	224831	224447	0	671
micrurus_fulvius_uce-1138	NW_006533343.1	97.8	363	7	1	1	363	86568	86207	2.83e-177	625
micrurus_fulvius_uce-1141	NW_006532738.1	95.81	334	13	1	1	333	217888	217555	3.45e-151	538
micrurus_fulvius_uce-1143	NW_006537912.1	95.92	294	11	1	2	295	20900	20608	2.41e-132	475
micrurus_fulvius_uce-1148	NW_006532125.1	94.16	308	13	3	35	337	377422	377115	6.01e-129	464
micrurus_fulvius_uce-115	NW_006533866.1	98.93	280	3	0	1	280	116734	117013	3.74e-140	501
micrurus_fulvius_uce-1150	NW_006533079.1	93.06	346	22	2	3	346	66989	66644	3.69e-141	505
micrurus_fulvius_uce-1154	NW_006535481.1	99.73	372	1	0	1	372	90221	90592	0	682
micrurus_fulvius_uce-1159	NW_006532400.1	93.17	293	18	2	1	293	59547	59837	1.88e-118	429
micrurus_fulvius_uce-1163	NW_006534971.1	94.63	447	13	5	1	444	43280	42842	0	682
micrurus_fulvius_uce-1167	NW_006535156.1	97.59	373	6	2	1	370	39570	39942	1.33e-180	636
micrurus_fulvius_uce-117	NW_006537469.1	92.31	221	14	2	1	219	10305	10086	5.15e-83	311
micrurus_fulvius_uce-1170	NW_006535579.1	91.54	331	23	3	1	327	108715	108386	4.53e-125	451
micrurus_fulvius_uce-1172	NW_006532978.1	97.65	468	11	0	1	468	197324	196857	0	804
micrurus_fulvius_uce-1174	NW_006532100.1	94.79	384	19	1	13	395	429224	428841	6.75e-169	597
micrurus_fulvius_uce-1176	NW_006532339.1	94.34	212	12	0	1	212	216231	216020	1.77e-87	326
micrurus_fulvius_uce-1177	NW_006540575.1	97.43	311	8	0	1	311	1315	1625	5.35e-149	531
micrurus_fulvius_uce-1181	NW_006532771.1	96.09	307	12	0	1	307	314982	314676	4.14e-140	501
micrurus_fulvius_uce-1182	NW_006532307.1	98.17	164	3	0	5	168	60492	60329	6.38e-76	287
micrurus_fulvius_uce-1185	NW_006538225.1	100	199	0	0	1	199	47063	47261	2.7e-100	368
micrurus_fulvius_uce-1187	NW_006535660.1	96.62	414	12	1	3	416	112344	111933	0	686
micrurus_fulvius_uce-1188	NW_006532533.1	97.65	341	8	0	1	341	346234	346574	1.25e-165	586
micrurus_fulvius_uce-1190	NW_006533391.1	99.66	295	1	0	1	295	57200	57494	8.39e-152	540
micrurus_fulvius_uce-1191	NW_006532405.1	96.65	328	11	0	1	328	460020	459693	2.03e-153	545
micrurus_fulvius_uce-1193	NW_006534597.1	95.54	314	14	0	5	318	104274	104587	1.2e-140	503
micrurus_fulvius_uce-1194	NW_006532573.1	95.76	495	19	1	1	495	346909	347401	0	797
micrurus_fulvius_uce-12	NW_006532400.1	96.75	338	10	1	1	337	340076	340413	2.07e-158	562
micrurus_fulvius_uce-1200	NW_006534547.1	98.23	282	5	0	11	292	72110	72391	6.58e-138	494
micrurus_fulvius_uce-1201	NW_006532840.1	98.96	192	1	1	1	191	46051	45860	1.56e-92	342
micrurus_fulvius_uce-1202	NW_006534232.1	97.54	528	13	0	1	528	18547	19074	0	904
micrurus_fulvius_uce-1203	NW_006537921.1	97.17	353	9	1	1	352	21756	21404	2.14e-168	595
micrurus_fulvius_uce-1204	NW_006534148.1	98.58	141	2	0	1	141	96038	96178	6.76e-65	250
micrurus_fulvius_uce-1205	NW_006534219.1	99.66	291	1	0	1	291	46155	45865	1.38e-149	532
micrurus_fulvius_uce-1206	NW_006532211.1	95.93	221	7	1	1	221	464088	463870	6.59e-97	357
