supergroup1	WeinellEntry2195	sample66_0000001716_group1
supergroup2	WeinellEntry2347	sample66_0000001857_group2
supergroup2	WeinellEntry2691	sample66_0000002171_group2
supergroup2	WeinellEntry2908	sample66_0000002365_group2
supergroup2	WeinellEntry5311	sample66_0000002715_group2
supergroup3	WeinellEntry2371	sample66_0000001880_group3
supergroup3	WeinellEntry5561	sample66_0000002954_group3
supergroup4	WeinellEntry2552	sample66_0000002043_group4
supergroup5	WeinellEntry2996	sample66_0000002448_group5
supergroup6	NA	NA
supergroup7	NA	NA
supergroup8	NA	NA
supergroup9	WeinellEntry2315	sample66_0000001829_group9
supergroup9	WeinellEntry3076	sample66_0000002520_group9
supergroup9	WeinellEntry5442	sample66_0000002835_group9
supergroup10	WeinellEntry1431	sample66_0000001196_group10
supergroup10	WeinellEntry3091	sample66_0000002534_group10
supergroup11	WeinellEntry368	sample66_0000000270_group1120
supergroup11	WeinellEntry447	sample66_0000000333_group734
supergroup11	WeinellEntry538	sample66_0000000410_group1124
supergroup11	WeinellEntry949	sample66_0000000772_group3009
supergroup11	WeinellEntry1063	sample66_0000000871_group853
supergroup11	WeinellEntry1269	sample66_0000001053_group850
supergroup11	WeinellEntry1408	sample66_0000001175_group1939
supergroup11	WeinellEntry1432	sample66_0000001197_group2967
supergroup11	WeinellEntry1435	sample66_0000001200_group752
supergroup11	WeinellEntry1730	sample66_0000001460_group855
supergroup11	WeinellEntry1794	sample66_0000001520_group5807
supergroup11	WeinellEntry2197	sample66_0000001718_group567
supergroup11	WeinellEntry2215	sample66_0000001735_group802
supergroup11	WeinellEntry2224	sample66_0000001743_group921
supergroup11	WeinellEntry2227	sample66_0000001746_group774
supergroup11	WeinellEntry2231	sample66_0000001749_group193
supergroup11	WeinellEntry2237	sample66_0000001755_group62
supergroup11	WeinellEntry2263	sample66_0000001780_group669
supergroup11	WeinellEntry2301	sample66_0000001815_group508
supergroup11	WeinellEntry2306	sample66_0000001820_group389
supergroup11	WeinellEntry2321	sample66_0000001835_group522
supergroup11	WeinellEntry2327	sample66_0000001840_group396
supergroup11	WeinellEntry2339	sample66_0000001850_group931
supergroup11	WeinellEntry2359	sample66_0000001869_group167
supergroup11	WeinellEntry2378	sample66_0000001886_group409
supergroup11	WeinellEntry2380	sample66_0000001888_group570
supergroup11	WeinellEntry2390	sample66_0000001898_group755
supergroup11	WeinellEntry2400	sample66_0000001908_group242
supergroup11	WeinellEntry2434	sample66_0000001939_group604
