"gseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"CDS_NW_013657680.1_1014266_1014392_Gene=ARHGAP11A","Crotalus_mitchellii_JPMF01071707.1",85.714,42,6,0,126,1,6947,7072,2.27e-17,87.9
"CDS_NW_013657680.1_3723401_3723539_Gene=CCDC59","Crotalus_mitchellii_JPMF01143340.1",86.111,36,5,0,109,2,2923,3030,7.07e-15,79.4
"CDS_NW_013657680.1_54656_54890_Gene=THBS1","Crotalus_mitchellii_JPMF01075769.1",85.897,78,11,0,235,2,1203,970,3.62e-31,135
"CDS_NW_013657680.1_59350_59502_Gene=THBS1","Crotalus_mitchellii_JPMF01075769.1",92,50,4,0,152,3,5511,5362,1.55e-28,124
"CDS_NW_013657680.1_60996_61169_Gene=THBS1","Crotalus_mitchellii_JPMF01075769.1",93.103,58,4,0,174,1,7192,7019,3.47e-34,144
"CDS_NW_013657681.1_1313940_1314098_Gene=LAMA1","Crotalus_mitchellii_JPMF01115632.1",83.019,53,9,0,159,1,11741,11583,8.89e-26,115
"CDS_NW_013657681.1_1341139_1341272_Gene=LAMA1","Crotalus_mitchellii_JPMF01264051.1",100,44,0,0,133,2,1252,1121,8.3e-25,112
"CDS_NW_013657681.1_1745977_1746104_Gene=PAPLN","Crotalus_mitchellii_JPMF01413574.1",88.095,42,5,0,126,1,165,290,9.76e-19,92.3
"CDS_NW_013657681.1_1994508_1994643_Gene=LOC106540201","Crotalus_mitchellii_JPMF01098674.1",86.667,30,4,0,95,6,19547,19636,6.46e-13,61.3
"CDS_NW_013657681.1_2075753_2075961_Gene=LOC106538175","Crotalus_mitchellii_JPMF01014690.1",49.275,69,35,0,209,3,3642,3436,2.95e-16,85.4
"CDS_NW_013657681.1_258226_258405_Gene=ATP5F1","Crotalus_mitchellii_JPMF01073277.1",84.746,59,9,0,3,179,4168,3992,1.98e-29,128
"CDS_NW_013657681.1_259074_259199_Gene=ATP5F1","Crotalus_mitchellii_JPMF01073277.1",82.927,41,7,0,125,3,1579,1701,4.68e-17,86.7
"CDS_NW_013657681.1_2671538_2671709_Gene=MRPL44","Crotalus_mitchellii_JPMF01009438.1",84.211,57,9,0,172,2,21226,21056,6.46e-22,103
"CDS_NW_013657681.1_2679953_2680116_Gene=MRPL44","Crotalus_mitchellii_JPMF01009438.1",81.481,54,10,0,162,1,26672,26511,3.42e-22,103
"CDS_NW_013657681.1_268159_268282_Gene=WDR77","Crotalus_mitchellii_JPMF01003125.1",85.366,41,6,0,1,123,6084,6206,1.24e-21,101
"CDS_NW_013657681.1_2821554_2821682_Gene=COL4A4","Crotalus_mitchellii_JPMF01104578.1",90.244,41,4,0,2,124,2623,2501,7.9e-20,95.9
"CDS_NW_013657681.1_2823650_2823805_Gene=COL4A4","Crotalus_mitchellii_JPMF01104578.1",80.392,51,10,0,1,153,1068,916,5.99e-21,99.6
"CDS_NW_013657681.1_3146060_3146192_Gene=LOC106538629","Crotalus_mitchellii_JPMF01262124.1",66.667,42,14,0,129,4,17,142,5.59e-12,69.8
"CDS_NW_013657681.1_3194850_3195084_Gene=CEP89","Crotalus_mitchellii_JPMF01089089.1",80.263,76,15,0,233,6,8745,8518,7.57e-33,140
"CDS_NW_013657681.1_3217360_3217527_Gene=CEP89","Crotalus_mitchellii_JPMF01089089.1",88.889,54,6,0,6,167,20558,20719,1.88e-25,114
"CDS_NW_013657681.1_3217869_3218049_Gene=CEP89","Crotalus_mitchellii_JPMF01089089.1",85,60,9,0,181,2,21219,21040,1.85e-25,115
"CDS_NW_013657681.1_3225397_3225558_Gene=CEP89","Crotalus_mitchellii_JPMF01005608.1",88.679,53,6,0,2,160,1929,1771,1.97e-23,107
"CDS_NW_013657681.1_38974_39095_Gene=LOC106537515","Crotalus_mitchellii_JPMF01336106.1",90,40,4,0,122,3,2981,2862,2.45e-18,90.9
"CDS_NW_013657681.1_455689_455819_Gene=HSD11B1","Crotalus_mitchellii_JPMF01098203.1",83.721,43,7,0,129,1,1604,1476,7.68e-20,95.9
"CDS_NW_013657681.1_565585_565776_Gene=LAMB3","Crotalus_mitchellii_JPMF01039048.1",85.714,63,9,0,3,191,1229,1041,5.61e-34,143
"CDS_NW_013657681.1_572377_572497_Gene=LAMB3","Crotalus_mitchellii_JPMF01198077.1",92.105,38,3,0,3,116,5400,5513,5.61e-24,109
"CDS_NW_013657681.1_573232_573420_Gene=LAMB3","Crotalus_mitchellii_JPMF01198077.1",90.323,62,6,0,2,187,7336,7521,2.08e-39,161
"CDS_NW_013657681.1_574935_575090_Gene=LAMB3","Crotalus_mitchellii_JPMF01198077.1",92,50,4,0,2,151,8758,8907,3.72e-31,133
"CDS_NW_013657681.1_595462_595670_Gene=LAMB3","Crotalus_mitchellii_JPMF01038254.1",81.159,69,13,0,208,2,3801,4007,4.74e-30,131
"CDS_NW_013657681.1_608353_608497_Gene=LAMB3","Crotalus_mitchellii_JPMF01038254.1",78.723,47,10,0,5,145,865,725,1.05e-19,95.5
"CDS_NW_013657681.1_614603_614779_Gene=LAMB3","Crotalus_mitchellii_JPMF01086461.1",79.31,58,12,0,2,175,253,426,1.23e-24,112
"CDS_NW_013657682.1_1030411_1030612_Gene=LOC106544807","Crotalus_mitchellii_JPMF01040532.1",97.015,67,2,0,202,2,6515,6715,3.38e-39,161
"CDS_NW_013657682.1_1100195_1100347_Gene=GABRA1","Crotalus_mitchellii_JPMF01180136.1",100,51,0,0,153,1,9292,9444,5.99e-29,126
"CDS_NW_013657682.1_1777522_1777701_Gene=ATP10B","Crotalus_mitchellii_JPMF01098623.1",93.22,59,4,0,3,179,2503,2679,4.4e-30,130
"CDS_NW_013657682.1_1935332_1935491_Gene=CCNJL","Crotalus_mitchellii_JPMF01052697.1",86.792,53,7,0,2,160,8327,8485,9.62e-27,118
"CDS_NW_013657682.1_19585_19762_Gene=HSPB8","Crotalus_mitchellii_JPMF01146027.1",96.491,57,2,0,7,177,286,456,2.14e-31,134
"CDS_NW_013657682.1_2051116_2051281_Gene=RTBDN","Crotalus_mitchellii_JPMF01192855.1",83.333,54,9,0,3,164,2875,3036,9.36e-26,115
"CDS_NW_013657682.1_2053651_2053779_Gene=RTBDN","Crotalus_mitchellii_JPMF01192855.1",79.07,43,9,0,1,129,3737,3865,2.96e-20,97.3
"CDS_NW_013657682.1_2139390_2139527_Gene=LOC106545922","Crotalus_mitchellii_JPMF01072202.1",91.111,45,4,0,136,2,5658,5792,8.97e-22,102
"CDS_NW_013657682.1_2267985_2268113_Gene=FBXW9","Crotalus_mitchellii_JPMF01209719.1",90.476,42,4,0,2,127,1112,987,9.1e-21,99
"CDS_NW_013657682.1_2419919_2420131_Gene=MAN2B1","Crotalus_mitchellii_JPMF01124257.1",72.464,69,19,0,208,2,2087,1881,1.46e-26,119
"CDS_NW_013657682.1_2505417_2505544_Gene=CACNA1A","Crotalus_mitchellii_JPMF01054957.1",100,42,0,0,127,2,1697,1822,9.76e-23,105
"CDS_NW_013657682.1_2671036_2671211_Gene=LPIN3","Crotalus_mitchellii_JPMF01285095.1",75,36,9,0,175,68,2340,2233,1.8e-22,73.9
"CDS_NW_013657682.1_342791_342914_Gene=LOC106542407","Crotalus_mitchellii_JPMF01006136.1",85,40,6,0,122,3,17036,16917,3.48e-18,90.4
"CDS_NW_013657682.1_352436_352572_Gene=LOC106542407","Crotalus_mitchellii_JPMF01205022.1",86.364,44,6,0,136,5,2898,2767,7.08e-19,92.7
"CDS_NW_013657682.1_352982_353122_Gene=LOC106542407","Crotalus_mitchellii_JPMF01205022.1",95.652,46,2,0,140,3,3427,3290,5.57e-24,109
"CDS_NW_013657682.1_354340_354490_Gene=LOC106542407","Crotalus_mitchellii_JPMF01205022.1",89.796,49,5,0,149,3,4134,3988,7.9e-26,115
"CDS_NW_013657682.1_354800_355035_Gene=LOC106542407","Crotalus_mitchellii_JPMF01453312.1",94.872,78,4,0,235,2,276,509,1.66e-43,176
"CDS_NW_013657682.1_355916_356042_Gene=LOC106542407","Crotalus_mitchellii_JPMF01266271.1",87.805,41,5,0,125,3,233,111,5.09e-19,93.2
"CDS_NW_013657682.1_356145_356278_Gene=LOC106542407","Crotalus_mitchellii_JPMF01266271.1",86.364,44,6,0,133,2,469,338,8.13e-19,92.7
"CDS_NW_013657682.1_356443_356571_Gene=LOC106542407","Crotalus_mitchellii_JPMF01266271.1",95.238,42,2,0,128,3,794,669,2.53e-22,104
"CDS_NW_013657682.1_363130_363341_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",85.507,69,10,0,1,207,962,1168,4.59e-33,141
"CDS_NW_013657682.1_368568_368809_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",78.75,80,17,0,240,1,4633,4394,1.67e-36,153
"CDS_NW_013657682.1_369099_369262_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",86.275,51,7,0,154,2,5061,4909,1.68e-22,104
"CDS_NW_013657682.1_370811_371040_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",85.526,76,11,0,1,228,3915,4142,9.06e-35,147
"CDS_NW_013657682.1_373946_374119_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",84.483,58,9,0,1,174,6840,7013,1.44e-26,118
"CDS_NW_013657682.1_379751_379898_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",89.583,48,5,0,146,3,13089,12946,7.05e-23,105
"CDS_NW_013657682.1_382383_382536_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",86.275,51,7,0,2,154,14983,15135,5.99e-25,112
"CDS_NW_013657682.1_384318_384463_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",75,48,12,0,145,2,16650,16507,6.78e-17,86.3
"CDS_NW_013657682.1_385039_385168_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",92.857,42,3,0,4,129,17238,17363,6.56e-18,89.5
"CDS_NW_013657682.1_386157_386280_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",92.683,41,3,0,123,1,18488,18366,1.14e-17,88.9
"CDS_NW_013657682.1_386797_386933_Gene=LOC106542407","Crotalus_mitchellii_JPMF01039703.1",97.778,45,1,0,1,135,18696,18830,8.29e-25,112
"CDS_NW_013657682.1_741493_741669_Gene=LOC106542664","Crotalus_mitchellii_JPMF01353576.1",84.483,58,9,0,3,176,273,446,8.25e-28,122
"CDS_NW_013657682.1_885386_885549_Gene=GANAB","Crotalus_mitchellii_JPMF01122579.1",93.333,30,2,0,164,75,5585,5674,4.01e-12,70.3
"CDS_NW_013657682.1_898761_898976_Gene=GANAB","Crotalus_mitchellii_JPMF01122579.1",87.302,63,8,0,214,26,470,658,8.37e-32,137
"CDS_NW_013657683.1_156070_156228_Gene=FHL5","Crotalus_mitchellii_JPMF01245885.1",88.462,52,6,0,3,158,1162,1317,4.35e-29,126
"CDS_NW_013657683.1_169709_169895_Gene=FHL5","Crotalus_mitchellii_JPMF01138786.1",88.525,61,7,0,3,185,1375,1193,2.13e-37,155
"CDS_NW_013657683.1_2684556_2684765_Gene=EMC9","Crotalus_mitchellii_JPMF01333994.1",58.824,34,14,0,9,110,287,186,1.2e-14,52.8
"CDS_NW_013657683.1_2692940_2693120_Gene=EMC9","Crotalus_mitchellii_JPMF01150378.1",95,60,3,0,1,180,275,454,5.13e-33,140
"CDS_NW_013657683.1_350935_351109_Gene=MMS22L","Crotalus_mitchellii_JPMF01173759.1",96.491,57,2,0,173,3,1513,1683,2.77e-32,137
"CDS_NW_013657684.1_1060048_1060210_Gene=LOC106553776","Crotalus_mitchellii_JPMF01129432.1",88.889,54,6,0,162,1,1652,1491,1.67e-29,127
"CDS_NW_013657684.1_1237068_1237246_Gene=PDLIM4","Crotalus_mitchellii_JPMF01262533.1",84.746,59,9,0,3,179,1034,858,1.83e-25,115
"CDS_NW_013657684.1_1433236_1433365_Gene=CEP19","Crotalus_mitchellii_JPMF01104386.1",85.714,42,6,0,3,128,17565,17440,1.34e-18,91.8
"CDS_NW_013657684.1_1441_1572_Gene=LOC106552085","Crotalus_mitchellii_JPMF01387639.1",90.698,43,4,0,131,3,251,123,4.16e-20,96.8
"CDS_NW_013657684.1_171336_171479_Gene=CDCA3","Crotalus_mitchellii_JPMF01013059.1",82.051,39,7,0,26,142,3,119,1.33e-14,78.5
"CDS_NW_013657684.1_1715223_1715388_Gene=INPP5D","Crotalus_mitchellii_JPMF01227710.1",85.185,54,8,0,166,5,496,335,1.74e-24,111
"CDS_NW_013657684.1_172343_172464_Gene=CDCA3","Crotalus_mitchellii_JPMF01013059.1",85,40,6,0,122,3,1242,1123,1.39e-15,81.8
"CDS_NW_013657684.1_1755799_1755948_Gene=INPP5D","Crotalus_mitchellii_JPMF01005446.1",94,50,3,0,150,1,17212,17063,5.55e-28,122
"CDS_NW_013657684.1_177730_177865_Gene=CDCA3","Crotalus_mitchellii_JPMF01125092.1",91.111,45,4,0,2,136,10161,10027,1.34e-22,105
"CDS_NW_013657684.1_177970_178115_Gene=CDCA3","Crotalus_mitchellii_JPMF01125092.1",93.75,48,3,0,146,3,9758,9901,1.56e-24,111
"CDS_NW_013657684.1_2394182_2394304_Gene=ELL","Crotalus_mitchellii_JPMF01074749.1",83.784,37,6,0,6,116,920,1030,1.06e-15,82.2
"CDS_NW_013657684.1_2470930_2471092_Gene=LOC106556407","Crotalus_mitchellii_JPMF01144030.1",83.333,54,9,0,162,1,2403,2242,1.13e-24,111
"CDS_NW_013657684.1_2475299_2475463_Gene=LOC106556407","Crotalus_mitchellii_JPMF01144030.1",88.679,53,6,0,164,6,4649,4491,5.09e-27,119
"CDS_NW_013657684.1_2477263_2477406_Gene=LOC106556407","Crotalus_mitchellii_JPMF01144030.1",84.783,46,7,0,144,7,5240,5103,2.95e-20,97.3
"CDS_NW_013657684.1_2493279_2493491_Gene=LOC106550992","Crotalus_mitchellii_JPMF01060170.1",94.203,69,4,0,212,6,12216,12422,6.59e-41,167
"CDS_NW_013657684.1_2701936_2702082_Gene=LOC106556617","Crotalus_mitchellii_JPMF01305928.1",89.583,48,5,0,3,146,498,355,1.05e-23,108
"CDS_NW_013657684.1_373188_373342_Gene=PTPN6","Crotalus_mitchellii_JPMF01069798.1",94.118,51,3,0,3,155,3557,3709,6.48e-30,129
"CDS_NW_013657684.1_406913_407062_Gene=EMG1","Crotalus_mitchellii_JPMF01105314.1",87.755,49,6,0,3,149,3375,3521,2.71e-23,107
"CDS_NW_013657684.1_42424_42564_Gene=LOC106552174","Crotalus_mitchellii_JPMF01268750.1",97.826,46,1,0,140,3,1274,1411,2.32e-25,114
"CDS_NW_013657684.1_454613_454790_Gene=C1S","Crotalus_mitchellii_JPMF01025149.1",91.379,58,5,0,3,176,1264,1091,3.73e-30,130
"CDS_NW_013657684.1_457590_457789_Gene=C1S","Crotalus_mitchellii_JPMF01331647.1",92.424,66,5,0,2,199,1346,1543,1.98e-36,152
"CDS_NW_013657684.1_459959_460112_Gene=C1S","Crotalus_mitchellii_JPMF01374864.1",92,50,4,0,3,152,1152,1301,1.43e-27,121
"CDS_NW_013657684.1_465962_466093_Gene=C1S","Crotalus_mitchellii_JPMF01050909.1",93.023,43,3,0,2,130,1482,1610,1.41e-23,108
"CDS_NW_013657684.1_493986_494182_Gene=C1R","Crotalus_mitchellii_JPMF01013726.1",93.846,65,4,0,197,3,700,506,2.16e-38,158
"CDS_NW_013657684.1_497608_497836_Gene=C1R","Crotalus_mitchellii_JPMF01104918.1",85.484,62,9,0,188,3,335,150,8.37e-30,130
"CDS_NW_013657684.1_934879_935064_Gene=AHI1","Crotalus_mitchellii_JPMF01035098.1",73.77,61,16,0,3,185,2574,2392,2.31e-26,118
"CDS_NW_013657685.1_109387_109562_Gene=CD74","Crotalus_mitchellii_JPMF01073681.1",89.655,58,6,0,176,3,1009,836,1.96e-27,121
"CDS_NW_013657685.1_118993_119181_Gene=CD74","Crotalus_mitchellii_JPMF01328652.1",80.328,61,12,0,2,184,3090,2908,1.29e-33,142
"CDS_NW_013657685.1_141031_141184_Gene=TCOF1","Crotalus_mitchellii_JPMF01137279.1",78.571,28,6,0,21,104,2901,2818,1.51e-08,51
"CDS_NW_013657685.1_152451_152599_Gene=TCOF1","Crotalus_mitchellii_JPMF01040646.1",79.592,49,10,0,3,149,2410,2264,3.45e-18,90.4
"CDS_NW_013657685.1_155299_155479_Gene=TCOF1","Crotalus_mitchellii_JPMF01081482.1",82.5,40,7,0,60,179,2740,2621,3.2e-23,89
