Target	BaitCovg	in100nt	in300nt	in500nt
ALLTARGS	0.8789	0.9554	0.9853	0.9929
WeinellEntry1	0.2601	0.3642	0.5723	0.7804
WeinellEntry4	1	1	1	1
WeinellEntry6	1	1	1	1
WeinellEntry7	1	1	1	1
WeinellEntry9	0.8255	1	1	1
WeinellEntry12	0.2212	0.459	0.8859	1
WeinellEntry16	0.9101	1	1	1
WeinellEntry17	0.9496	0.9934	1	1
WeinellEntry18	1	1	1	1
WeinellEntry20	0.9126	1	1	1
WeinellEntry21	1	1	1	1
WeinellEntry22	1	1	1	1
WeinellEntry24	0.751	1	1	1
WeinellEntry25	1	1	1	1
WeinellEntry26	0.662	0.9391	1	1
WeinellEntry27	0.3659	0.5738	0.9896	1
WeinellEntry30	1	1	1	1
WeinellEntry31	0.7568	1	1	1
WeinellEntry33	0.2087	0.3204	0.4184	0.5164
WeinellEntry35	1	1	1	1
WeinellEntry37	0.9073	1	1	1
WeinellEntry39	1	1	1	1
WeinellEntry41	1	1	1	1
WeinellEntry43	1	1	1	1
WeinellEntry46	0.5014	0.7784	1	1
WeinellEntry47	0.7469	1	1	1
WeinellEntry49	0.9516	1	1	1
WeinellEntry50	1	1	1	1
WeinellEntry51	0.9126	1	1	1
WeinellEntry52	0.998	1	1	1
WeinellEntry53	0.828	1	1	1
WeinellEntry54	0.662	0.9391	1	1
WeinellEntry55	0.1281	0.2322	0.4154	0.5195
WeinellEntry56	0.2142	0.5306	0.8947	1
WeinellEntry58	0.866	0.9417	1	1
WeinellEntry61	0.6264	0.8085	1	1
WeinellEntry62	0.5065	0.8894	1	1
WeinellEntry63	0.2895	0.4559	0.7887	1
WeinellEntry64	0.9306	1	1	1
WeinellEntry65	0.6546	0.9162	1	1
WeinellEntry69	0.2977	0.4587	0.5975	0.7363
WeinellEntry70	1	1	1	1
WeinellEntry71	1	1	1	1
WeinellEntry72	1	1	1	1
WeinellEntry75	1	1	1	1
WeinellEntry76	0.8705	1	1	1
WeinellEntry79	1	1	1	1
WeinellEntry80	0.9508	0.9905	1	1
WeinellEntry84	1	1	1	1
WeinellEntry86	1	1	1	1
WeinellEntry87	1	1	1	1
WeinellEntry88	1	1	1	1
