qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
micrurus_fulvius_uce-1003	JPMF01073856.1	99.48	193	1	0	1	193	1902	2094	2.04e-95	351
micrurus_fulvius_uce-1004	JPMF01104006.1	99.53	212	1	0	1	212	1370	1581	6.23e-106	387
micrurus_fulvius_uce-1005	JPMF01085910.1	97.73	397	6	2	65	459	1245	1640	0	680
micrurus_fulvius_uce-101	JPMF01056539.1	98	400	6	1	2	401	2462	2065	0	693
micrurus_fulvius_uce-1010	JPMF01079821.1	98.11	159	3	0	1	159	3303	3145	2.79e-73	278
micrurus_fulvius_uce-1012	JPMF01105163.1	99.16	356	3	0	1	356	3673	4028	0	641
micrurus_fulvius_uce-1014	JPMF01150869.1	99.55	223	1	0	1	223	13214	12992	5.06e-112	407
micrurus_fulvius_uce-1018	JPMF01192870.1	97.82	321	5	1	1	321	1407	1725	9.19e-156	553
micrurus_fulvius_uce-1021	JPMF01035016.1	95.82	670	19	4	1	670	973	1633	0	1074
micrurus_fulvius_uce-1025	JPMF01134910.1	94.64	224	12	0	1	224	1135	912	3.13e-94	348
micrurus_fulvius_uce-1026	JPMF01171847.1	98.17	218	4	0	1	218	3123	2906	2.99e-104	381
micrurus_fulvius_uce-1027	JPMF01286345.1	96.02	226	8	1	3	228	823	1047	8.82e-100	366
micrurus_fulvius_uce-1036	JPMF01076001.1	98.21	280	4	1	1	280	4233	3955	2.27e-136	488
micrurus_fulvius_uce-1037	JPMF01139439.1	97.6	125	3	0	1	125	2051	1927	1.67e-54	215
micrurus_fulvius_uce-1038	JPMF01293553.1	98.82	591	5	2	1	590	5467	6056	0	1051
micrurus_fulvius_uce-1040	JPMF01054565.1	98.25	399	7	0	1	399	7678	7280	0	699
micrurus_fulvius_uce-1041	JPMF01113610.1	98.13	267	5	0	1	267	3830	3564	1.03e-129	466
micrurus_fulvius_uce-1044	JPMF01002915.1	98.02	403	6	1	1	403	3417	3017	0	699
micrurus_fulvius_uce-1047	JPMF01460014.1	91.43	245	20	1	1	244	40	284	2.72e-90	335
micrurus_fulvius_uce-1050	JPMF01010253.1	97.97	443	8	1	1	443	5338	5779	0	767
micrurus_fulvius_uce-1051	JPMF01319294.1	97.94	292	6	0	1	292	3083	2792	6.54e-142	507
micrurus_fulvius_uce-1052	JPMF01021099.1	97.69	520	12	0	1	520	4366	4885	0	894
micrurus_fulvius_uce-1053	JPMF01082839.1	98.87	442	5	0	1	442	3910	3469	0	789
micrurus_fulvius_uce-1055	JPMF01115152.1	98.66	224	3	0	1	224	3471	3694	3.06e-109	398
micrurus_fulvius_uce-1056	JPMF01135035.1	98.36	365	6	0	1	365	2922	2558	0	641
micrurus_fulvius_uce-1058	JPMF01000709.1	99.07	216	2	0	1	216	1405	1620	2.12e-106	388
micrurus_fulvius_uce-1059	JPMF01040766.1	92.12	292	13	5	1	288	2248	1963	8.69e-111	403
micrurus_fulvius_uce-106	JPMF01026615.1	92.83	516	20	5	1	500	5211	4697	0	732
micrurus_fulvius_uce-1061	JPMF01194082.1	98.7	461	6	0	1	461	1432	972	0	819
micrurus_fulvius_uce-1062	JPMF01074955.1	98.6	285	4	0	1	285	2610	2326	2.29e-141	505
micrurus_fulvius_uce-1063	JPMF01169562.1	98.46	454	7	0	1	454	1930	2383	0	800
micrurus_fulvius_uce-1065	JPMF01084796.1	95.22	272	10	3	1	270	12538	12808	4.82e-118	427
micrurus_fulvius_uce-1068	JPMF01122169.1	98.63	366	4	1	1	366	17246	17610	0	647
micrurus_fulvius_uce-1069	JPMF01037200.1	98.03	304	6	0	1	304	3066	2763	1.46e-148	529
micrurus_fulvius_uce-1077	JPMF01026160.1	94.63	205	9	2	1	204	854	651	7.93e-85	316
micrurus_fulvius_uce-1081	JPMF01008004.1	97.36	341	5	1	1	337	600	260	5.75e-163	577
micrurus_fulvius_uce-1084	JPMF01142168.1	92.19	269	7	5	35	293	14993	15257	3.23e-100	368
micrurus_fulvius_uce-1085	JPMF01105168.1	96.6	265	9	0	1	265	7514	7250	6.06e-122	440
micrurus_fulvius_uce-1089	JPMF01002470.1	96.81	188	3	2	1	185	5015	4828	3.29e-83	311
micrurus_fulvius_uce-1090	JPMF01235991.1	94.69	452	18	4	1	448	3703	3254	0	697
micrurus_fulvius_uce-1092	JPMF01061293.1	99.29	420	3	0	1	420	12589	13008	0	760
micrurus_fulvius_uce-1094	JPMF01067534.1	98.99	493	5	0	1	493	2362	2854	0	883
micrurus_fulvius_uce-1098	JPMF01238159.1	97.45	392	9	1	1	392	1900	1510	0	667
micrurus_fulvius_uce-11	JPMF01066790.1	95.39	347	13	3	1	346	713	1057	1.29e-154	549
micrurus_fulvius_uce-110	JPMF01114398.1	96.24	319	5	5	1	315	4699	5014	1.18e-144	516
micrurus_fulvius_uce-1101	JPMF01053000.1	98.43	191	3	0	1	191	2426	2236	5.64e-91	337
micrurus_fulvius_uce-1102	JPMF01240465.1	96.73	306	10	0	2	307	4110	3805	5.34e-143	510
micrurus_fulvius_uce-1107	JPMF01057846.1	97.54	407	9	1	1	407	6362	5957	0	695
micrurus_fulvius_uce-111	JPMF01377055.1	94.84	291	6	4	1	291	2524	2243	1.44e-123	446
micrurus_fulvius_uce-1110	JPMF01128953.1	99.11	562	3	2	1	561	1644	2204	0	1009
micrurus_fulvius_uce-1113	JPMF01044038.1	92.45	477	10	10	1	474	4488	4941	0	658
micrurus_fulvius_uce-1122	JPMF01068995.1	98.77	489	6	0	1	489	1410	1898	0	870
micrurus_fulvius_uce-1127	JPMF01123604.1	97.18	319	7	1	1	319	459	775	2.55e-151	538
micrurus_fulvius_uce-1128	JPMF01308004.1	97.68	388	3	2	1	388	3012	2631	0	662
micrurus_fulvius_uce-1131	JPMF01216602.1	98.04	560	5	3	1	557	8635	9191	0	968
micrurus_fulvius_uce-1133	JPMF01269854.1	96.66	299	8	1	1	297	3809	3511	1.44e-138	496
micrurus_fulvius_uce-1134	JPMF01039863.1	98.22	225	1	2	2	225	1584	1362	5.15e-107	390
micrurus_fulvius_uce-1135	JPMF01086632.1	98.18	384	7	0	1	384	10677	11060	0	671
micrurus_fulvius_uce-1138	JPMF01058339.1	98.07	363	6	1	1	363	3397	3758	4.72e-179	630
micrurus_fulvius_uce-1141	JPMF01080976.1	98.15	325	6	0	9	333	1995	1671	3.42e-160	568
micrurus_fulvius_uce-1143	JPMF01249548.1	96.96	296	9	0	1	296	3602	3897	3.99e-139	497
micrurus_fulvius_uce-1148	JPMF01050874.1	94.02	301	17	1	37	337	9143	8844	2.81e-126	455
micrurus_fulvius_uce-115	JPMF01167356.1	99.29	280	2	0	1	280	1375	1654	6.27e-142	507
micrurus_fulvius_uce-1150	JPMF01022255.1	97.12	347	9	1	1	346	4376	4030	3.58e-165	584
micrurus_fulvius_uce-1154	JPMF01023432.1	100	372	0	0	1	372	9722	9351	0	688
micrurus_fulvius_uce-1159	JPMF01186907.1	85.61	271	20	3	41	293	18	287	3.37e-70	268
micrurus_fulvius_uce-1163	JPMF01090901.1	93.96	447	16	3	1	444	2817	3255	0	665
micrurus_fulvius_uce-1167	JPMF01045016.1	98.09	367	4	3	1	365	3214	2849	1.04e-180	636
micrurus_fulvius_uce-117	JPMF01104743.1	93.98	216	10	1	1	213	3747	3532	5.14e-87	324
micrurus_fulvius_uce-1170	JPMF01121656.1	92.47	332	19	3	1	327	11427	11757	9.71e-131	470
micrurus_fulvius_uce-1172	JPMF01220890.1	98.29	468	8	0	1	468	756	289	0	821
micrurus_fulvius_uce-1174	JPMF01211568.1	95.71	396	16	1	1	395	1796	1401	1.11e-180	636
micrurus_fulvius_uce-1176	JPMF01137779.1	95.75	212	9	0	1	212	6178	6389	1.37e-92	342
micrurus_fulvius_uce-1177	JPMF01236178.1	98.06	310	6	0	2	311	6300	6609	6.91e-152	540
micrurus_fulvius_uce-1181	JPMF01005040.1	99.02	307	3	0	1	307	9491	9797	3.15e-155	551
micrurus_fulvius_uce-1182	JPMF01003866.1	98.21	168	3	0	1	168	3677	3510	2.96e-78	294
micrurus_fulvius_uce-1185	JPMF01043860.1	100	199	0	0	1	199	11356	11554	2.1e-100	368
micrurus_fulvius_uce-1187	JPMF01262660.1	96.88	416	13	0	2	417	3627	3212	0	697
micrurus_fulvius_uce-1188	JPMF01270423.1	98.24	341	6	0	1	341	5005	5345	4.47e-169	597
micrurus_fulvius_uce-1190	JPMF01030684.1	99.32	295	1	1	1	295	2920	2627	1.09e-149	532
micrurus_fulvius_uce-1191	JPMF01001512.1	95.15	330	14	1	1	328	2450	2779	9.54e-146	520
micrurus_fulvius_uce-1193	JPMF01388154.1	96.23	318	12	0	1	318	195	512	2.58e-146	521
micrurus_fulvius_uce-1194	JPMF01144920.1	94.98	498	24	1	1	498	2039	2535	0	780
micrurus_fulvius_uce-12	JPMF01320555.1	98.2	334	6	0	4	337	1825	1492	3.44e-165	584
micrurus_fulvius_uce-1200	JPMF01065283.1	98.98	293	3	0	1	293	1710	1418	1.81e-147	525
micrurus_fulvius_uce-1201	JPMF01141773.1	98.44	192	2	1	1	191	745	554	5.64e-91	337
micrurus_fulvius_uce-1202	JPMF01221447.1	98.48	528	8	0	1	528	1427	900	0	931
micrurus_fulvius_uce-1203	JPMF01095560.1	96.88	352	8	1	1	352	2604	2952	1e-165	586
micrurus_fulvius_uce-1204	JPMF01077215.1	97.87	141	3	0	1	141	4665	4525	2.44e-63	244
micrurus_fulvius_uce-1205	JPMF01254550.1	99.66	291	1	0	1	291	4362	4652	1.07e-149	532
micrurus_fulvius_uce-1206	JPMF01352652.1	97.3	222	5	1	1	221	3257	3478	1.41e-102	375
micrurus_fulvius_uce-121	JPMF01044657.1	97.02	336	6	2	1	334	5064	5397	1.59e-158	562
micrurus_fulvius_uce-1210	JPMF01043618.1	93.16	424	20	3	1	415	4384	3961	5.52e-174	614
micrurus_fulvius_uce-1211	JPMF01165911.1	92.5	360	9	8	1	360	436	95	1.38e-139	499
micrurus_fulvius_uce-1212	JPMF01007293.1	97.22	324	8	1	1	323	1419	1096	4.3e-154	547
micrurus_fulvius_uce-1215	JPMF01213041.1	99.22	129	1	0	1	129	2050	2178	4.78e-60	233
micrurus_fulvius_uce-1216	JPMF01183507.1	97.73	176	4	0	1	176	6263	6088	5.2e-81	303
micrurus_fulvius_uce-1217	JPMF01193808.1	97.49	199	5	0	1	199	932	734	4.57e-92	340
micrurus_fulvius_uce-1222	JPMF01054029.1	97.13	244	7	0	1	244	11517	11760	1.21e-113	412
micrurus_fulvius_uce-1224	JPMF01148457.1	94.67	469	20	2	1	469	766	1229	0	723
micrurus_fulvius_uce-1225	JPMF01174841.1	99.14	347	3	0	1	347	1036	1382	2.1e-177	625
micrurus_fulvius_uce-1231	JPMF01137752.1	97.8	182	4	0	1	182	12108	11927	2.5e-84	315
micrurus_fulvius_uce-1232	JPMF01001630.1	100	353	0	0	1	353	526	878	0	652
micrurus_fulvius_uce-1233	JPMF01074281.1	96.43	252	7	1	1	250	934	1185	3.44e-114	414
micrurus_fulvius_uce-1234	JPMF01226273.1	94.4	393	13	4	1	384	2762	3154	1.84e-168	595
