"gseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"micrurus_fulvius_uce-1003","NW_006532175",98.964,193,2,0,1,193,523547,523739,1.22e-93,346
"micrurus_fulvius_uce-1004","NW_006532837",99.528,212,1,0,1,212,21931,22142,8.02e-106,387
"micrurus_fulvius_uce-1005","NW_006533317",98.06,464,4,1,1,459,9817,10280,0,802
"micrurus_fulvius_uce-101","NW_006532418",97.25,400,9,1,2,401,36543,36146,0,676
"micrurus_fulvius_uce-1010","NW_006534486",95.597,159,7,0,1,159,177653,177811,1.68e-66,255
"micrurus_fulvius_uce-1012","NW_006538991",99.438,356,2,0,1,356,17190,16835,0,647
"micrurus_fulvius_uce-1014","NW_006533127",98.655,223,3,0,1,223,4133,4355,1.41e-108,396
"micrurus_fulvius_uce-1018","NW_006534815",96.885,321,7,2,1,321,70041,69724,4.28e-150,534
"micrurus_fulvius_uce-1021","NW_006534909",95.97,670,18,1,1,670,117329,116669,0,1079
"micrurus_fulvius_uce-1025","NW_006537623",95.982,224,9,0,1,224,51655,51432,4e-99,364
"micrurus_fulvius_uce-1026","NW_006532170",97.685,216,5,0,3,218,119050,118835,2.32e-101,372
"micrurus_fulvius_uce-1027","NW_006532782",96.035,227,8,1,1,227,60858,60633,3.14e-100,368
"micrurus_fulvius_uce-1036","NW_006534981",97.857,280,5,1,1,280,102722,103000,1.35e-134,483
"micrurus_fulvius_uce-1037","NW_006532977",99.2,125,1,0,1,125,250868,250744,9.8e-58,226
"micrurus_fulvius_uce-1038","NW_006532157",97.288,590,15,1,1,590,115756,115168,0,1000
"micrurus_fulvius_uce-1040","NW_006536378",98.747,399,5,0,1,399,98755,98357,0,710
"micrurus_fulvius_uce-1041","NW_006533470",97.778,270,5,1,1,269,37886,37617,4.73e-129,464
"micrurus_fulvius_uce-1044","NW_006532931",99.256,403,0,2,1,403,68659,69058,0,725
"micrurus_fulvius_uce-1047","NW_006535868",93.522,247,16,0,1,247,36464,36218,3.44e-100,368
"micrurus_fulvius_uce-1050","NW_006532984",98.646,443,6,0,1,443,198366,197924,0,785
