"gseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"micrurus_fulvius_uce-1003","KN636222",99.482,193,1,0,1,193,14321,14129,2.8e-95,351
"micrurus_fulvius_uce-1004","KN635898",99.057,212,2,0,1,212,65852,65641,3.98e-104,381
"micrurus_fulvius_uce-1005","KN637710",98.052,462,6,2,1,459,197456,196995,0,800
"micrurus_fulvius_uce-101","KN634594",98,400,6,1,2,401,52718,53115,0,693
"micrurus_fulvius_uce-1010","KN636404",98.113,159,3,0,1,159,365533,365375,3.84e-73,278
"micrurus_fulvius_uce-1012","KN635795",99.719,356,1,0,1,356,4260,3905,0,652
"micrurus_fulvius_uce-1014","KN632996",99.103,223,2,0,1,223,311866,312088,3.22e-110,401
"micrurus_fulvius_uce-1018","KN631466",98.447,322,4,1,1,321,41534,41855,1.62e-159,566
"micrurus_fulvius_uce-1025","KN637639",95.982,224,9,0,1,224,10015,10238,4.25e-99,364
"micrurus_fulvius_uce-1026","KN636128",98.624,218,3,0,1,218,101201,101418,8.79e-106,387
"micrurus_fulvius_uce-1027","KN634975",97.797,227,2,1,1,227,56675,56452,2.57e-106,388
"micrurus_fulvius_uce-1036","KN621738",98.214,280,4,1,1,280,111911,111633,3.11e-136,488
"micrurus_fulvius_uce-1037","KN624135",99.2,125,1,0,1,125,253371,253495,1.05e-57,226
"micrurus_fulvius_uce-1038","KN620425",98.316,594,5,4,1,590,48462,47870,0,1037
"micrurus_fulvius_uce-1040","KN631117",98.246,399,7,0,1,399,161843,161445,0,699
"micrurus_fulvius_uce-1041","KN631262",98.519,270,3,1,1,269,58153,58422,2.33e-132,475
"micrurus_fulvius_uce-1044","KN638773",98.015,403,4,3,1,403,237613,237215,0,697
"micrurus_fulvius_uce-1047","KN624135",90.726,248,22,1,1,247,25168,24921,1.73e-88,329
"micrurus_fulvius_uce-1050","KN614067",97.968,443,8,1,1,443,27584,27143,0,767
"micrurus_fulvius_uce-1051","KN634159",98.973,292,3,0,1,292,44730,44439,8.93e-147,523
"micrurus_fulvius_uce-1052","KN631117",97.692,520,12,0,1,520,107276,106757,0,894
"micrurus_fulvius_uce-1053","KN632029",99.095,442,4,0,1,442,183914,183473,0,795
"micrurus_fulvius_uce-1055","KN631939",96.875,224,4,1,1,224,59223,59003,2.54e-101,372
"micrurus_fulvius_uce-1056","KN634389",98.356,365,6,0,1,365,52645,52281,0,641
"micrurus_fulvius_uce-1058","KN636267",99.074,216,2,0,1,216,49535,49320,2.91e-106,388
"micrurus_fulvius_uce-1059","KN631409",92.361,288,12,5,5,288,241901,241620,4.3e-110,401
"micrurus_fulvius_uce-106","KN634295",93.663,505,22,7,1,500,414065,414564,0,747
"micrurus_fulvius_uce-1061","KN624591",99.132,461,4,0,1,461,140107,139647,0,830
"micrurus_fulvius_uce-1062","KN628111",98.246,285,5,0,1,285,114253,114537,1.46e-139,499
"micrurus_fulvius_uce-1063","KN638927",98.238,454,7,1,1,454,158813,158361,0,793
"micrurus_fulvius_uce-1065","KN615433",96.324,272,6,4,1,270,80419,80688,6.55e-123,444
"micrurus_fulvius_uce-1068","KN634079",98.634,366,4,1,1,366,27822,28186,0,647
"micrurus_fulvius_uce-1069","KN633396",98.684,304,4,0,1,304,72316,72013,9.27e-152,540
"micrurus_fulvius_uce-1077","KN634815",93.659,205,11,2,1,204,29422,29625,2.36e-81,305
"micrurus_fulvius_uce-1081","KN631117",98.983,295,1,1,45,337,9277,8983,8.08e-148,527
"micrurus_fulvius_uce-1084","KN613738",93.962,265,5,6,35,293,1919,2178,9.48e-107,390
"micrurus_fulvius_uce-1085","KN620947",96.604,265,9,0,1,265,334969,335233,8.3e-122,440
"micrurus_fulvius_uce-1089","KN629325",97.849,186,3,1,1,185,96100,95915,7.52e-86,320
"micrurus_fulvius_uce-1090","KN631008",95.556,450,17,2,1,448,276100,276548,0,717
"micrurus_fulvius_uce-1092","KN617818",99.523,419,2,0,2,420,11812,12230,0,763
"micrurus_fulvius_uce-1094","KN633606",99.189,493,4,0,1,493,112958,112466,0,889
"micrurus_fulvius_uce-1098","KN631177",97.194,392,10,1,1,392,32566,32956,0,662
"micrurus_fulvius_uce-11","KN631041",95.702,349,10,4,1,346,21810,21464,1.06e-156,556
"micrurus_fulvius_uce-110","KN637449",95.912,318,4,8,1,315,43528,43217,9.77e-142,507
"micrurus_fulvius_uce-1101","KN621787",96.809,188,4,1,4,191,18777,18592,1.31e-83,313
"micrurus_fulvius_uce-1102","KN633663",97.394,307,7,1,2,307,250197,250503,3.39e-146,521
"micrurus_fulvius_uce-1107","KN636333",98.034,407,7,1,1,407,40452,40857,0,706
"micrurus_fulvius_uce-111","KN632867",95.189,291,5,4,1,291,48687,48968,4.26e-125,451
"micrurus_fulvius_uce-1110","KN637366",99.11,562,3,2,1,561,184543,185103,0,1009
"micrurus_fulvius_uce-1113","KN632654",92.371,485,22,7,1,474,62718,63198,0,676
"micrurus_fulvius_uce-1122","KN632962",99.182,489,4,0,1,489,77095,76607,0,881
"micrurus_fulvius_uce-1127","KN633500",96.865,319,8,1,1,319,37142,37458,1.63e-149,532
"micrurus_fulvius_uce-1128","KN625887",97.938,388,2,2,1,388,77214,77595,0,667
"micrurus_fulvius_uce-1131","KN638009",97.857,560,6,4,1,557,203623,203067,0,963
"micrurus_fulvius_uce-1133","KN637155",97.324,299,6,1,1,297,16724,17022,9.16e-142,507
"micrurus_fulvius_uce-1134","KN636183",97.778,225,4,1,1,225,78478,78255,9.12e-106,387
"micrurus_fulvius_uce-1135","KN632372",98.177,384,7,0,1,384,98647,99030,0,671
"micrurus_fulvius_uce-1138","KN631179",97.796,363,7,1,1,363,17116,16755,3.02e-177,625
"micrurus_fulvius_uce-1141","KN633606",95.495,333,12,1,1,333,139178,138849,2.22e-148,529
"micrurus_fulvius_uce-1143","KN631686",96.587,293,10,0,1,293,54972,55264,1.19e-135,486
"micrurus_fulvius_uce-1148","KN614346",93.355,301,19,1,37,337,21906,22205,8.37e-123,444
"micrurus_fulvius_uce-115","KN632430",98.929,280,3,0,1,280,4705,4984,3.99e-140,501
"micrurus_fulvius_uce-1150","KN621710",96.296,351,12,1,1,350,74717,74367,2.96e-162,575
"micrurus_fulvius_uce-1154","KN620947",99.731,372,1,0,1,372,169382,169753,0,682
"micrurus_fulvius_uce-1159","KN637366",92.069,290,19,3,5,293,78729,79015,3.39e-111,405
"micrurus_fulvius_uce-1163","KN631841",94.855,447,12,3,1,444,303479,303041,0,688
"micrurus_fulvius_uce-1167","KN637388",98.623,363,3,2,1,362,164849,165210,0,641
"micrurus_fulvius_uce-117","KN635018",94.393,214,9,2,1,213,158077,158288,1.95e-87,326
"micrurus_fulvius_uce-1170","KN633818",91.867,332,21,3,1,327,128498,128828,2.89e-127,459
"micrurus_fulvius_uce-1172","KN629913",98.718,468,6,0,1,468,118131,117664,0,832
"micrurus_fulvius_uce-1174","KN626833",95.455,396,17,1,1,395,80623,80228,7.11e-179,630
"micrurus_fulvius_uce-1176","KN631576",95.283,212,10,0,1,212,110880,110669,8.75e-91,337
"micrurus_fulvius_uce-1177","KN632996",98.392,311,5,0,1,311,283624,283934,5.68e-154,547
"micrurus_fulvius_uce-1181","KN635073",98.371,307,5,0,1,307,63543,63849,9.37e-152,540
"micrurus_fulvius_uce-1182","KN625825",98.214,168,3,0,1,168,133134,133301,4.07e-78,294
"micrurus_fulvius_uce-1185","KN632268",99.497,199,1,0,1,199,22233,22431,1.34e-98,363
"micrurus_fulvius_uce-1187","KN634503",96.217,423,7,3,2,417,34331,33911,0,684
"micrurus_fulvius_uce-1188","KN614964",98.534,341,5,0,1,341,53514,53854,1.32e-170,603
"micrurus_fulvius_uce-1190","KN637744",99.661,295,1,0,1,295,176518,176812,8.96e-152,540
"micrurus_fulvius_uce-1191","KN620840",96.024,327,12,1,3,328,34840,34514,6.06e-149,531
"micrurus_fulvius_uce-1193","KN633629",96.226,318,12,0,1,318,75330,75013,3.55e-146,521
"micrurus_fulvius_uce-1194","KN621470",95.984,498,19,1,1,498,3097,2601,0,808
"micrurus_fulvius_uce-12","KN614570",97.605,334,8,0,4,337,42911,42578,1.02e-161,573
"micrurus_fulvius_uce-1200","KN631983",99.317,293,2,0,1,293,102900,102608,5.35e-149,531
"micrurus_fulvius_uce-1201","KN637014",98.958,192,1,1,1,191,128863,129054,1.67e-92,342
"micrurus_fulvius_uce-1202","KN634960",99.24,526,4,0,1,526,9435,9960,0,950
"micrurus_fulvius_uce-1203","KN625338",93.37,362,14,4,1,352,123669,124030,8.47e-148,527
"micrurus_fulvius_uce-1204","KN622056",97.163,141,4,0,1,141,62303,62443,1.56e-61,239
"micrurus_fulvius_uce-1205","KN637383",99.313,291,2,0,1,291,5893,5603,6.87e-148,527
"micrurus_fulvius_uce-1206","KN627876",97.26,219,6,0,1,219,41390,41608,2.5e-101,372
"micrurus_fulvius_uce-121","KN617450",95.28,339,9,3,1,334,60568,60232,6.18e-149,531
"micrurus_fulvius_uce-1210","KN633570",93.365,422,21,2,1,415,37166,36745,5.87e-175,617
"micrurus_fulvius_uce-1211","KN633184",98.047,256,2,3,1,254,240828,241082,3.23e-122,442
"micrurus_fulvius_uce-1215","KN635268",100,129,0,0,1,129,6954,7082,1.4e-61,239
"micrurus_fulvius_uce-1216","KN631408",97.159,176,5,0,1,176,700229,700404,3.32e-79,298
"micrurus_fulvius_uce-1217","KN637477",97.99,199,4,0,1,199,240092,239894,1.35e-93,346
"micrurus_fulvius_uce-1222","KN628111",96.721,244,8,0,1,244,133382,133625,7.67e-112,407
"micrurus_fulvius_uce-1224","KN623436",94.703,472,19,4,1,469,165971,165503,0,728
"micrurus_fulvius_uce-1225","KN632338",98.851,348,3,1,1,347,82241,82588,1.34e-175,619
"micrurus_fulvius_uce-1231","KN620404",96.703,182,6,0,1,182,65791,65972,7.43e-81,303
"micrurus_fulvius_uce-1232","KN632307",100,353,0,0,1,353,248076,247724,0,652
"micrurus_fulvius_uce-1233","KN637732",93.676,253,13,2,1,250,90516,90768,2.22e-102,375
"micrurus_fulvius_uce-1234","KN631642",96.712,365,12,0,1,365,71708,71344,3.25e-172,608
"micrurus_fulvius_uce-1239","KN627638",97.993,299,6,0,1,299,11770,11472,1.19e-145,520
"micrurus_fulvius_uce-124","KN633244",99.167,240,2,0,1,240,11903,12142,1.24e-119,433
"micrurus_fulvius_uce-1241","KN614109",96.154,286,10,1,1,286,58606,58322,1.49e-129,466
"micrurus_fulvius_uce-1242","KN615178",98.755,241,3,0,1,241,12541,12781,1.62e-118,429
"micrurus_fulvius_uce-1245","KN616148",98.588,425,6,0,1,425,10582,10158,0,752
"micrurus_fulvius_uce-125","KN632249",99.013,304,3,0,1,304,44857,44554,1.99e-153,545
"micrurus_fulvius_uce-1250","KN615758",97.862,421,9,0,3,423,175435,175855,0,728
"micrurus_fulvius_uce-1252","KN631319",94.909,275,12,1,1,275,116467,116195,1.87e-118,429
"micrurus_fulvius_uce-1253","KN614251",99.412,340,2,0,1,340,155432,155093,4.7e-175,617
"micrurus_fulvius_uce-1255","KN634284",97.853,326,6,1,1,325,132675,132350,2.13e-158,562
"micrurus_fulvius_uce-1256","KN637791",95.816,239,10,0,1,239,17857,17619,9.81e-106,387
"micrurus_fulvius_uce-1257","KN636333",95.89,219,9,0,1,219,48630,48848,2.49e-96,355
"micrurus_fulvius_uce-1259","KN615127",98.585,212,3,0,1,212,157719,157508,1.85e-102,375
"micrurus_fulvius_uce-1263","KN631008",97.857,280,6,0,1,280,184143,184422,4.02e-135,484
"micrurus_fulvius_uce-1264","KN619720",99.363,314,2,0,1,314,148028,148341,1.22e-160,569
"micrurus_fulvius_uce-1265","KN637544",94.828,232,11,1,1,231,107941,108172,5.69e-98,361
"micrurus_fulvius_uce-1267","KN632584",96.964,527,16,0,3,529,39937,39411,0,885
"micrurus_fulvius_uce-127","KN631886",91.791,402,11,7,1,383,48529,48131,1.19e-151,540
"micrurus_fulvius_uce-1271","KN631915",98.175,274,5,0,1,274,121003,120730,1.83e-133,479
"micrurus_fulvius_uce-1272","KN638643",96.989,465,14,0,1,465,37674,38138,0,782
"micrurus_fulvius_uce-1276","KN613481",98.131,428,5,2,1,425,184490,184063,0,743
"micrurus_fulvius_uce-1278","KN614251",97.644,382,7,1,1,382,137886,137507,0,654
"micrurus_fulvius_uce-128","KN633339",94.86,214,9,1,1,212,43607,43394,1.13e-89,333
"micrurus_fulvius_uce-1281","KN634584",97.965,344,7,0,1,344,24599,24942,6.21e-169,597
"micrurus_fulvius_uce-1288","KN622780",98.171,164,3,0,1,164,34124,34287,6.71e-76,287
"micrurus_fulvius_uce-129","KN620670",95.343,408,13,3,2,403,12662,13069,0,643
