qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NW_013657680.1:1073962-1074332	LD636753.1	93.53	371	24	0	1	371	136121	135751	1.62e-155	553
NW_013657680.1:2929146-2929286	LD637104.1	94.33	141	8	0	1	141	1420551	1420691	8e-55	217
NW_013657680.1:3722860-3723148	LD637354.1	92.39	289	22	0	1	289	166930	166642	2.18e-113	412
NW_013657680.1:3895460-3895724	LD637026.1	91.32	265	23	0	1	265	943656	943920	2.02e-98	363
NW_013657680.1:59599-59726	LD636851.1	96.88	128	4	0	1	128	632781	632654	2.55e-54	215
NW_013657680.1:605945-606293	LD636851.1	93.41	349	23	0	1	349	98583	98235	5.51e-145	518
NW_013657680.1:862897-863624	LD636753.1	86.78	749	66	8	1	728	337424	336688	0	804
NW_013657681.1:1448867-1449763	LD637157.1	94.09	897	53	0	1	897	1613285	1612389	0	1363
NW_013657681.1:20616-20745	LD638345.1	93.08	130	9	0	1	130	270731	270860	4.38e-47	191
NW_013657681.1:258226-258405	LD638084.1	92.78	180	13	0	1	180	39489	39668	4.89e-68	261
NW_013657681.1:2676335-2676803	LD637322.1	92.32	469	36	0	1	469	800708	801176	0	667
NW_013657681.1:268159-268282	LD638084.1	93.55	124	8	0	1	124	50643	50766	1.92e-45	185
NW_013657681.1:2859451-2859883	LD637221.1	92.61	433	32	0	1	433	459568	459136	1.43e-176	623
NW_013657681.1:291857-294683	LD638084.1	90.28	2859	228	15	9	2827	72330	75178	0	3694
NW_013657681.1:3142010-3142916	LD636875.1	93.5	877	56	1	31	907	1179342	1180217	0	1303
NW_013657681.1:3211050-3211191	LD638141.1	91.55	142	12	0	1	142	268834	268693	1.05e-48	196
NW_013657681.1:3217360-3217527	LD638141.1	88.17	169	18	2	1	168	267814	267647	9.96e-50	200
NW_013657681.1:3225397-3225558	LD638141.1	94.41	161	9	0	2	162	257418	257258	3.36e-64	248
NW_013657681.1:488016-488354	LD637761.1	92.98	342	21	3	1	339	787	1128	2.5e-138	496
NW_013657682.1:1810980-1811391	LD637247.1	91.33	415	33	2	1	412	24912	25326	8.35e-159	564
NW_013657682.1:1911551-1912164	LD637247.1	93.73	606	38	0	1	606	111388	111993	0	909
NW_013657682.1:2057596-2057892	LD637247.1	90.24	297	23	1	1	297	252937	253227	1.76e-104	383
NW_013657682.1:2203196-2203453	LD637247.1	90.31	258	25	0	1	258	407891	408148	3.3e-91	339
NW_013657682.1:2263293-2263721	LD637247.1	90.44	429	41	0	1	429	470219	470647	2.43e-159	566
NW_013657682.1:2263295-2263721	LD637247.1	90.4	427	41	0	1	427	470221	470647	3.12e-158	562
NW_013657682.1:2267985-2268113	LD637247.1	95.35	129	6	0	1	129	473184	473312	1.55e-51	206
NW_013657682.1:2419919-2420131	LD637247.1	88.04	209	25	0	1	209	627231	627439	4.6e-64	248
NW_013657682.1:2667736-2668192	LD637278.1	89.56	460	45	1	1	457	619238	618779	9.24e-164	580
NW_013657682.1:2687139-2687283	LD637278.1	91.72	145	12	0	1	145	601588	601444	2.32e-50	202
NW_013657682.1:342791-342914	LD636985.1	91.13	124	11	0	1	124	597537	597660	1.93e-40	169
NW_013657682.1:352436-352572	LD636985.1	88.98	127	14	0	11	137	605798	605924	4.75e-37	158
NW_013657682.1:352982-353122	LD636985.1	94.33	141	8	0	1	141	606313	606453	8e-55	217
NW_013657682.1:354800-355035	LD636985.1	91.53	236	20	0	1	236	607453	607688	2.32e-87	326
NW_013657682.1:356443-356571	LD636985.1	92.06	126	10	0	4	129	608681	608806	3.38e-43	178
NW_013657682.1:359552-359941	LD636985.1	87.89	380	44	2	1	379	610438	610816	2.98e-123	446
NW_013657682.1:362279-362573	LD636985.1	87.8	295	36	0	1	295	611614	611908	2.29e-93	346
NW_013657682.1:363130-363341	LD636985.1	90.19	214	16	5	1	212	612485	612695	7.55e-72	274
NW_013657682.1:369837-370202	LD636985.1	91.55	367	29	2	1	366	614458	614823	4.52e-141	505
NW_013657682.1:370811-371040	LD636985.1	86.96	230	30	0	1	230	615418	615647	2.32e-67	259
NW_013657682.1:373946-374119	LD636985.1	88.95	172	19	0	1	172	618407	618578	1.33e-53	213
NW_013657682.1:379751-379898	LD636985.1	91.84	147	12	0	2	148	624505	624651	1.84e-51	206
NW_013657682.1:385039-385168	LD636985.1	92.31	130	10	0	1	130	628841	628970	2.04e-45	185
NW_013657682.1:386797-386933	LD636985.1	92.7	137	10	0	1	137	630292	630428	2.8e-49	198
NW_013657682.1:896304-896574	LD638109.1	91.46	246	21	0	1	246	218598	218843	3.49e-91	339
NW_013657682.1:898761-898976	LD638109.1	92.79	208	15	0	9	216	219917	220124	3.54e-80	302
NW_013657683.1:2684556-2684765	LD638246.1	91.9	210	17	0	1	210	58804	59013	5.74e-78	294
NW_013657683.1:2692940-2693120	LD646237.1	87.84	181	22	0	1	181	2517	2337	1.4e-53	213
NW_013657684.1:1237068-1237246	LD639688.1	89.94	179	18	0	1	179	51007	51185	3.81e-59	231
