target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry2153	yes	no	no	NW_013658338.1:523585-523745	NW_013658338.1	523585	523745	1	106544634	LOC106544634	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2154	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2155	yes	yes	yes	NW_013657845.1:839788-839948	NW_013657845.1	839788	839948	1	106538446	CAMKMT	<1..>161	-1	<1..>16;<1..>16	-1;-1	<1..>16;<1..>16	-1;-1	2;2	3;3
WeinellEntry2156	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2157	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2158	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2159	yes	no	no	NW_013657763.1:891047-891207	NW_013657763.1	891047	891207	1	106556900	NFIA	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2160	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2161	yes	no	no	NW_013657751.1:1309693-1309853	NW_013657751.1	1309693	1309853	1	106554848	ZEB2	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2162	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2164	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2165	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2166	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2167	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2168	yes	no	no	NW_013659539.1:179129-179289	NW_013659539.1	179129	179289	1	106551986	LOC106551986	<1..>161	1	–	–	–	–	–	–
WeinellEntry2169	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2170	yes	no	no	NW_013658682.1:182168-182328	NW_013658682.1	182168	182328	1	106547458	CCDC178	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2171	yes	no	no	NW_013658017.1:607403-607563	NW_013658017.1	607403	607563	1	106541127	RANBP17	<1..>161	1	–	–	–	–	–	–
WeinellEntry2173	yes	no	no	NW_013659849.1:45266-45426	NW_013659849.1	45266	45426	1	106553059	LOC106553059	<1..>161	1	–	–	–	–	–	–
WeinellEntry2174	yes	no	no	NW_013657738.1:397326-397486	NW_013657738.1	397326	397486	1	106551242	BNC2	<1..>161	1	–	–	–	–	–	–
WeinellEntry2175	yes	no	no	NW_013657691.1:993793-993953	NW_013657691.1	993793	993953	1	106538859	SPATA17	<1..>161	1	–	–	–	–	–	–
WeinellEntry2176	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2177	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2178	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2179	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2180	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2181	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2182	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2184	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2185	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2186	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2187	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2188	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2190	yes	no	no	NW_013657874.1:128859-129019	NW_013657874.1	128859	129019	1	106538969	RUNX1T1	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2191	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2194	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2195	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2196	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2197	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2198	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2199	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2201	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2202	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2203	yes	no	no	NW_013660150.1:34850-35010	NW_013660150.1	34850	35010	1	106553933	DPH6	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2204	yes	no	no	NW_013658098.1:389696-389856	NW_013658098.1	389696	389856	1	106542169	LOC106542169	<1..>161	1	–	–	–	–	–	–
WeinellEntry2205	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2206	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2207	yes	no	no	NW_013659140.1:116390-116550	NW_013659140.1	116390	116550	1	106550184	TCF7L2	<1..>161	1	–	–	–	–	–	–
WeinellEntry2208	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2209	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2210	yes	no	no	NW_013658225.1:259648-259808	NW_013658225.1	259648	259808	1	106543521	CLINT1	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2211	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2212	yes	no	no	NW_013657688.1:977125-977285	NW_013657688.1	977125	977285	1	106537681	SATB1	<1..>161	1	–	–	–	–	–	–
WeinellEntry2213	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2214	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2215	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2217	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2218	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2219	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2220	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2221	yes	yes	yes	NW_013657971.1:473076-473236	NW_013657971.1	473076	473236	1	106540518	PLAG1	<1..>161	1	<1..>161;<1..>161;<1..>161	1;1;1	<1..>161;<1..>161;<1..>161	1;1;1	1;1;1	1;1;1
WeinellEntry2222	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2223	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2224	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2225	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2226	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2227	yes	yes	yes	NW_013658069.1:41089-41249	NW_013658069.1	41089	41249	1	106541775	SCAF8	<1..>161	1	<1..>67;<1..>67	1;1	<1..53;<1..53	1;1	3;3	3;3
WeinellEntry2228	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2229	yes	no	no	NW_013659001.1:294346-294506	NW_013659001.1	294346	294506	1	106549475	EIF3H	<1..>161	1	–	–	–	–	–	–
WeinellEntry2231	yes	no	no	NW_013657711.1:474188-474348	NW_013657711.1	474188	474348	1	106544549	LOC106544549	<1..>161	1	–	–	–	–	–	–
WeinellEntry2232	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2233	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2234	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2235	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2236	yes	yes	no	NW_013658146.1:110695-110855	NW_013658146.1	110695	110855	1	106542727	LOC106542727	<1..>161	1	<1..>161	1	–	–	–	–
WeinellEntry2237	yes	no	no	NW_013657692.1:2017806-2017966	NW_013657692.1	2017806	2017966	1	106539128	LOC106539128	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2238	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2239	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2240	yes	no	no	NW_013658743.1:49739-49899	NW_013658743.1	49739	49899	1	106547896	LOC106547896	<1..>161	1	–	–	–	–	–	–
WeinellEntry2241	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2242	yes	yes	no	NW_013658682.1:90535-90695	NW_013658682.1	90535	90695	1	106547458	CCDC178	<1..>161	-1	<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161	-1;-1;-1;-1;-1;-1;-1;-1	–	–	–	–
WeinellEntry2244	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2245	yes	yes	yes	NW_013658409.1:497541-497701	NW_013658409.1	497541	497701	1	106545228	MEF2A	<1..>161	1	<1..>126;<1..>126;<1..>126	1;1;1	<1..>126;<1..>126;<1..>126	1;1;1	1;1;1	1;1;1
WeinellEntry2246	yes	no	no	NW_013657691.1:304869-305029	NW_013657691.1	304869	305029	1	106538806	ESRRG	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2247	yes	no	no	NW_013659291.1:217823-217983	NW_013659291.1	217823	217983	1	106550917	RAPGEF2	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2248	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2249	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2250	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2251	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2252	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2253	yes	yes	no	NW_013658234.1:286544-286704	NW_013658234.1	286544	286704	1	106543599	ETV1	<1..>161	1	<1..>161;<1..>161;<1..>161;<1..>161	1;1;1;1	–	–	–	–
WeinellEntry2254	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2255	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2256	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2257	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2258	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2259	yes	no	no	NW_013657691.1:291013-291173	NW_013657691.1	291013	291173	1	106538806	ESRRG	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2260	yes	no	no	NW_013657935.1:467815-467975	NW_013657935.1	467815	467975	1	106539905	FOXP1	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2261	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2262	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2263	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2264	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2265	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2266	yes	no	no	NW_013658079.1:121200-121360	NW_013658079.1	121200	121360	1	106541905	FAM172A	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2267	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2268	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2269	yes	no	no	NW_013657795.1:916412-916572	NW_013657795.1	916412	916572	1	106537484	TLE4	<1..>161	1	–	–	–	–	–	–
WeinellEntry2270	yes	yes	yes	NW_013657689.1:1543110-1543270	NW_013657689.1	1543110	1543270	1	106538015	ZFHX4	<1..>161	1	<1..>161;<1..>161;<1..>161;<1..>161;<1..>161	1;1;1;1;1	<1..>161;<1..>161;<1..>161;<1..>161;<1..>161	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1
WeinellEntry2271	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2273	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2274	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2275	yes	yes	yes	NW_013659619.1:28423-28583	NW_013659619.1	28423	28583	1	106552322	WTAP	<1..>161	1	<1..>133;<1..>133	1;1	<1..>133;<1..>133	1;1	1;1	1;1
WeinellEntry2277	yes	no	no	NW_013659140.1:140175-140335	NW_013659140.1	140175	140335	1	106550184	TCF7L2	<1..>161	1	–	–	–	–	–	–
WeinellEntry2278	yes	no	no	NW_013658735.1:240313-240473	NW_013658735.1	240313	240473	1	106547823	TSHZ1	<1..>161	-1	–	–	–	–	–	–
WeinellEntry2279	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2280	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2281	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2282	yes	yes	no	NW_013659006.1:260174-260334	NW_013659006.1	260174	260334	1	106549501	BAZ2B	<1..>161	-1	<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161;<1..>161	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	–	–	–	–
WeinellEntry2283	yes	no	no	NW_013658743.1:50838-50998	NW_013658743.1	50838	50998	1	106547896	LOC106547896	<1..>161	1	–	–	–	–	–	–
WeinellEntry2284	yes	yes	no	NW_013659652.1:118220-118380	NW_013659652.1	118220	118380	1	106552435	CNOT2	<1..>161	-1	<1..>161;<1..>161;<1..>161	-1;-1;-1	–	–	–	–
WeinellEntry2285	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2286	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry2287	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
