,,%Identity,,,,,,,,,
QLTV01000198.1:269300-270254,LFLD01080556.1,77.57,963,86,30,12,871,936,1,0,746
QLTV01000198.1:269300-270254,LFLD01148603.1,82.727,110,17,1,825,932,2052,1943,3.24E-22,111
QLTV01000198.1:269300-270254,LFLD01105025.1,85.859,99,11,3,836,932,4417,4320,1.38E-20,105
QLTV01000198.1:269300-270254,LFLD01146907.1,80,125,15,5,787,909,6009,6125,5.87E-19,100
QLTV01000198.1:269300-270254,LFLD01012211.1,80.734,109,20,1,825,932,21964,22072,2.05E-18,99.6
QLTV01000198.1:269300-270254,LFLD01132017.1,79.167,120,16,4,822,932,7665,7784,2.49E-17,95.1
QLTV01000198.1:269300-270254,LFLD01023310.1,75,136,22,3,809,932,68,203,1.06E-15,90.6
QLTV01000198.1:269300-270254,LFLD01055850.1,82.022,89,16,0,836,924,8676,8764,1.06E-15,89.7
QLTV01000198.1:269300-270254,LFLD01014864.1,77.311,119,25,2,837,955,1224,1340,1.29E-14,86.9
QLTV01000198.1:269300-270254,LFLD01170720.1,79.208,101,20,1,828,928,3879,3978,4.51E-14,85.1
QLTV01000198.1:269300-270254,LFLD01170720.1,72.656,128,22,4,814,930,3676,3801,3.47E-09,68
QLTV01000211.1:1009779-1010749,LFLD01169357.1,91.675,985,52,9,1,971,353,1321,0,1394
QLTV01000211.1:1009779-1010749,LFLD01018719.1,81.25,64,9,3,284,347,10631,10571,2.67E-04,51.8
QLTV01000211.1:1009779-1010749,LFLD01011467.1,86.842,38,5,0,312,349,10731,10694,0.011,47.3
QLTV01000211.1:1009779-1010749,LFLD01032217.1,84.615,39,6,0,433,471,6824,6786,0.04,44.6
QLTV01000211.1:1009779-1010749,LFLD01120302.1,92.857,28,2,0,625,652,8612,8639,0.14,42.8
QLTV01000211.1:1009779-1010749,LFLD01091765.1,88.571,35,3,1,811,844,17637,17671,0.14,42.8
QLTV01000211.1:1009779-1010749,LFLD01076388.1,92.857,28,2,0,625,652,2129,2156,0.14,42.8
QLTV01000211.1:1009779-1010749,LFLD01046181.1,85.714,35,5,0,899,933,5527,5561,0.48,41.9
QLTV01000211.1:1009779-1010749,LFLD01145743.1,87.5,32,4,0,458,489,3680,3649,0.48,41
QLTV01000211.1:1009779-1010749,LFLD01079035.1,86.111,36,3,1,877,912,52996,53029,0.48,41
QLTV01000225.1:225770-226713,LFLD01080507.1,84.177,929,105,7,21,938,1987,2884,0,1020
QLTV01000225.1:225770-226713,LFLD01005790.1,74.528,106,23,2,536,640,3631,3733,4.22E-08,65.3
QLTV01000225.1:225770-226713,LFLD01025648.1,74.336,113,23,5,535,646,8525,8632,6.27E-06,57.2
QLTV01000225.1:225770-226713,LFLD01078095.1,88.095,42,5,0,603,644,2846,2805,7.64E-05,54.5
QLTV01000225.1:225770-226713,LFLD01030394.1,76.712,73,16,1,575,647,1811,1882,2.67E-04,52.7
QLTV01000225.1:225770-226713,LFLD01035143.1,70.588,119,28,3,524,641,966,854,0.001,50.9
QLTV01000225.1:225770-226713,LFLD01045253.1,91.176,34,3,0,563,596,1400,1433,0.003,49.1
QLTV01000225.1:225770-226713,LFLD01034305.1,80,55,9,1,574,628,2637,2585,0.003,48.2
QLTV01000225.1:225770-226713,LFLD01023851.1,72.043,93,22,2,550,641,58717,58628,0.011,46.4
QLTV01000225.1:225770-226713,LFLD01101090.1,70.297,101,25,2,524,622,2296,2393,0.14,43.7
QLTV01000225.1:225770-226713,LFLD01101090.1,70.297,101,25,2,524,622,10847,10944,0.14,43.7
QLTV01000240.1:1441741-1442660,LFLD01081129.1,94.237,937,32,5,1,920,18963,18032,0,1444
QLTV01000240.1:1441741-1442660,LFLD01008830.1,74.359,78,12,3,752,825,2538,2611,0.04,45.5
QLTV01000240.1:1441741-1442660,LFLD01002999.1,75.949,79,9,5,752,825,4096,4023,0.04,44.6
QLTV01000240.1:1441741-1442660,LFLD01124323.1,83.721,43,6,1,783,825,13711,13670,0.14,43.7
QLTV01000240.1:1441741-1442660,LFLD01084854.1,74.324,74,15,2,752,825,73,4,0.14,43.7
QLTV01000240.1:1441741-1442660,LFLD01150099.1,78.689,61,5,4,771,825,753,811,0.48,41.9
QLTV01000240.1:1441741-1442660,LFLD01092435.1,81.633,49,7,2,778,825,5504,5457,0.48,41.9
QLTV01000240.1:1441741-1442660,LFLD01090686.1,80,45,9,0,781,825,168,212,0.48,41.9
QLTV01000240.1:1441741-1442660,LFLD01158801.1,76.364,55,9,1,771,821,1465,1519,0.48,41
QLTV01000240.1:1441741-1442660,LFLD01152677.1,78.571,56,10,2,771,825,2758,2812,0.48,41
QLTV01000240.1:9171-10134,LFLD01013842.1,88.454,511,24,4,1,478,32420,31912,0,670
