locus	chr	location
group62	1	chr1_outer
group63	1	chr1_outer
group149	1	chr1_outer
group209	1	chr1_outer
group245	1	chr1_outer
group265	1	chr1_outer
group275	1	chr1_outer
group341	1	chr1_outer
group381	1	chr1_outer
group388	1	chr1_outer
group418	1	chr1_outer
group432	1	chr1_outer
group501	1	chr1_outer
group512	1	chr1_outer
group543	1	chr1_outer
group567	1	chr1_outer
group633	1	chr1_outer
group651	1	chr1_outer
group653	1	chr1_outer
group654	1	chr1_outer
group688	1	chr1_outer
group692	1	chr1_outer
group695	1	chr1_outer
group700	1	chr1_outer
group714	1	chr1_outer
group719	1	chr1_outer
group733	1	chr1_outer
group756	1	chr1_outer
group764	1	chr1_outer
group778	1	chr1_outer
group795	1	chr1_outer
group804	1	chr1_outer
group810	1	chr1_outer
group816	1	chr1_outer
group832	1	chr1_outer
group849	1	chr1_outer
group872	1	chr1_outer
group889	1	chr1_outer
group915	1	chr1_outer
group918	1	chr1_outer
group923	1	chr1_outer
group931	1	chr1_outer
group944	1	chr1_outer
group949	1	chr1_outer
group953	1	chr1_outer
group982	1	chr1_outer
group993	1	chr1_outer
group1004	1	chr1_outer
group1019	1	chr1_outer
group1044	1	chr1_outer
group1074	1	chr1_outer
group1079	1	chr1_outer
group1091	1	chr1_outer
group1098	1	chr1_outer
group1099	1	chr1_outer
group1102	1	chr1_outer
group1119	1	chr1_outer
group1126	1	chr1_outer
group1128	1	chr1_outer
group1136	1	chr1_outer
group1141	1	chr1_outer
group1148	1	chr1_outer
group1186	1	chr1_outer
group1224	1	chr1_outer
group1230	1	chr1_outer
group1236	1	chr1_outer
group1239	1	chr1_outer
group1244	1	chr1_outer
group1247	1	chr1_outer
group1250	1	chr1_outer
group1252	1	chr1_outer
group1257	1	chr1_outer
group1293	1	chr1_outer
group1300	1	chr1_outer
group1312	1	chr1_outer
group1343	1	chr1_outer
group1356	1	chr1_outer
group1363	1	chr1_outer
group1386	1	chr1_outer
group1389	1	chr1_outer
group1391	1	chr1_outer
group1409	1	chr1_outer
group1415	1	chr1_outer
group1416	1	chr1_outer
group1453	1	chr1_outer
group1473	1	chr1_outer
group1481	1	chr1_outer
group1529	1	chr1_outer
group1538	1	chr1_outer
group1555	1	chr1_outer
group1596	1	chr1_outer
group1615	1	chr1_outer
group1630	1	chr1_outer
group1637	1	chr1_outer
group1665	1	chr1_outer
group1678	1	chr1_outer
group1684	1	chr1_outer
group1685	1	chr1_outer
group1692	1	chr1_outer
group1735	1	chr1_outer
group1793	1	chr1_outer
group1842	1	chr1_outer
group1885	1	chr1_outer
group1912	1	chr1_outer
group1926	1	chr1_outer
group2023	1	chr1_outer
group2041	1	chr1_outer
group2080	1	chr1_outer
group2164	1	chr1_outer
group2219	1	chr1_outer
group2255	1	chr1_outer
group2346	1	chr1_outer
group2420	1	chr1_outer
group2439	1	chr1_outer
group2582	1	chr1_outer
group2838	1	chr1_outer
group2841	1	chr1_outer
group2929	1	chr1_outer
group2950	1	chr1_outer
group2967	1	chr1_outer
group10	1	chr1_outer
group24	1	chr1_outer
group49	1	chr1_outer
group107	1	chr1_outer
group136	1	chr1_outer
group190	1	chr1_outer
group191	1	chr1_outer
group212	1	chr1_outer
group222	1	chr1_outer
group264	1	chr1_outer
group355	1	chr1_outer
group394	1	chr1_outer
group398	1	chr1_outer
group491	1	chr1_outer
group534	1	chr1_outer
group593	1	chr1_outer
group631	1	chr1_outer
group660	1	chr1_outer
group661	1	chr1_outer
group671	1	chr1_outer
group685	1	chr1_outer
group727	1	chr1_outer
group747	1	chr1_outer
group750	1	chr1_outer
group754	1	chr1_outer
group805	1	chr1_outer
group824	1	chr1_outer
group835	1	chr1_outer
group844	1	chr1_outer
group860	1	chr1_outer
group869	1	chr1_outer
group911	1	chr1_outer
group932	1	chr1_outer
group946	1	chr1_outer
group948	1	chr1_outer
group956	1	chr1_outer
group960	1	chr1_outer
group963	1	chr1_outer
group966	1	chr1_outer
group969	1	chr1_outer
group981	1	chr1_outer
group999	1	chr1_outer
group1017	1	chr1_outer
group1029	1	chr1_outer
group1042	1	chr1_outer
group1048	1	chr1_outer
group1053	1	chr1_outer
group1058	1	chr1_outer
group1061	1	chr1_outer
group1062	1	chr1_outer
group1096	1	chr1_outer
group1114	1	chr1_outer
group1139	1	chr1_outer
group1188	1	chr1_outer
group1225	1	chr1_outer
group1228	1	chr1_outer
group1245	1	chr1_outer
group1248	1	chr1_outer
group1253	1	chr1_outer
group1261	1	chr1_outer
group1268	1	chr1_outer
group1301	1	chr1_outer
group1311	1	chr1_outer
group1319	1	chr1_outer
group1325	1	chr1_outer
group1341	1	chr1_outer
group1366	1	chr1_outer
group1383	1	chr1_outer
group1430	1	chr1_outer
group1450	1	chr1_outer
group1461	1	chr1_outer
group1470	1	chr1_outer
group1508	1	chr1_outer
group1540	1	chr1_outer
group1607	1	chr1_outer
group1629	1	chr1_outer
group1636	1	chr1_outer
group1642	1	chr1_outer
group1682	1	chr1_outer
group1711	1	chr1_outer
group1727	1	chr1_outer
group1745	1	chr1_outer
group1780	1	chr1_outer
group1824	1	chr1_outer
group1867	1	chr1_outer
group1870	1	chr1_outer
group1992	1	chr1_outer
group2042	1	chr1_outer
group2089	1	chr1_outer
group2108	1	chr1_outer
group2134	1	chr1_outer
group2174	1	chr1_outer
group2206	1	chr1_outer
group2240	1	chr1_outer
group2271	1	chr1_outer
group2415	1	chr1_outer
group2427	1	chr1_outer
group2443	1	chr1_outer
group2456	1	chr1_outer
group2466	1	chr1_outer
group2490	1	chr1_outer
group2501	1	chr1_outer
group2630	1	chr1_outer
group2637	1	chr1_outer
group2645	1	chr1_outer
group2771	1	chr1_outer
group2924	1	chr1_outer
group2951	1	chr1_outer
group2955	1	chr1_outer
group2977	1	chr1_outer
group13	2	chr2_outer
group47	2	chr2_outer
group69	2	chr2_outer
group125	2	chr2_outer
group143	2	chr2_outer
group144	2	chr2_outer
group186	2	chr2_outer
group281	2	chr2_outer
group285	2	chr2_outer
group319	2	chr2_outer
group343	2	chr2_outer
group374	2	chr2_outer
group401	2	chr2_outer
group428	2	chr2_outer
group483	2	chr2_outer
group505	2	chr2_outer
group518	2	chr2_outer
group519	2	chr2_outer
group568	2	chr2_outer
group579	2	chr2_outer
group580	2	chr2_outer
group610	2	chr2_outer
group622	2	chr2_outer
group625	2	chr2_outer
group682	2	chr2_outer
group720	2	chr2_outer
group783	2	chr2_outer
group794	2	chr2_outer
group837	2	chr2_outer
group919	2	chr2_outer
group955	2	chr2_outer
group990	2	chr2_outer
group1067	2	chr2_outer
group1072	2	chr2_outer
group1116	2	chr2_outer
group1132	2	chr2_outer
group1183	2	chr2_outer
group1241	2	chr2_outer
group1287	2	chr2_outer
group1397	2	chr2_outer
