"gseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"micrurus_fulvius_uce-1003","JTLQ01053527",98.964,193,2,0,1,193,15527,15719,1.18e-93,346
"micrurus_fulvius_uce-1004","JTLQ01211743",100,212,0,0,1,212,4673,4884,1.66e-107,392
"micrurus_fulvius_uce-1005","JTLQ01066759",99.132,461,2,1,1,459,18245,17785,0,828
"micrurus_fulvius_uce-101","JTLQ01241327",98.5,400,4,1,2,401,2398,2001,0,704
"micrurus_fulvius_uce-1010","JTLQ01172847",98.113,159,3,0,1,159,237,395,3.46e-73,278
"micrurus_fulvius_uce-1012","JTLQ01235197",99.719,356,1,0,1,356,1590,1235,0,652
"micrurus_fulvius_uce-1014","JTLQ01880187",98.655,223,3,0,1,223,825,1047,1.36e-108,396
"micrurus_fulvius_uce-1018","JTLQ01195217",98.442,321,2,2,1,321,5271,4954,1.89e-158,562
"micrurus_fulvius_uce-1021","JTLQ01875646",97.612,670,7,1,1,670,197,857,0,1140
"micrurus_fulvius_uce-1025","JTLQ01666946",96,225,8,1,1,224,249,25,3.85e-99,364
"micrurus_fulvius_uce-1026","JTLQ01042607",99.083,218,2,0,1,218,550,333,1.71e-107,392
"micrurus_fulvius_uce-1027","JTLQ01407513",98.261,230,2,1,1,228,6864,6635,2.99e-110,401
"micrurus_fulvius_uce-1036","JTLQ01352169",96.82,283,6,2,1,280,7712,7994,1.01e-130,470
"micrurus_fulvius_uce-1037","JTLQ01384684",99.2,125,1,0,1,125,708,832,9.43e-58,226
"micrurus_fulvius_uce-1038","JTLQ01316126",98.816,591,5,2,1,590,2247,1658,0,1051
"micrurus_fulvius_uce-1040","JTLQ01263368",99.499,399,2,0,1,399,2543,2145,0,726
"micrurus_fulvius_uce-1041","JTLQ01856753",99.257,269,2,0,1,269,376,108,9.71e-136,486
"micrurus_fulvius_uce-1044","JTLQ01126306",99.256,403,1,2,1,403,19880,19480,0,726
"micrurus_fulvius_uce-1047","JTLQ01078960",97.166,247,7,0,1,247,1235,989,3.24e-115,418
"micrurus_fulvius_uce-1050","JTLQ01005211",99.097,443,4,0,1,443,7914,7472,0,797
"micrurus_fulvius_uce-1051","JTLQ01109528",99.658,292,1,0,1,292,7716,8007,3.71e-150,534
"micrurus_fulvius_uce-1052","JTLQ01175095",98.269,520,9,0,1,520,15318,14799,0,911
"micrurus_fulvius_uce-1053","JTLQ01282207",99.548,442,2,0,1,442,878,437,0,806
"micrurus_fulvius_uce-1055","JTLQ01011780",99.554,224,1,0,1,224,1389,1166,1.75e-112,409
"micrurus_fulvius_uce-1056","JTLQ01013800",98.904,365,1,1,1,365,11919,11558,0,649
"micrurus_fulvius_uce-1058","JTLQ01094457",95.076,264,3,2,1,254,3511,3774,7.23e-112,407
"micrurus_fulvius_uce-1059","JTLQ01024549",94.828,290,7,5,1,285,18096,18382,1.76e-123,446
"micrurus_fulvius_uce-106","JTLQ01078708",93.151,511,23,9,1,500,7368,7877,0,739
"micrurus_fulvius_uce-1061","JTLQ01874349",99.349,461,3,0,1,461,313,773,0,835
"micrurus_fulvius_uce-1062","JTLQ01351302",98.246,285,5,0,1,285,1509,1793,1.32e-139,499
"micrurus_fulvius_uce-1063","JTLQ01016153",98.242,455,7,1,1,454,10182,9728,0,795
"micrurus_fulvius_uce-1065","JTLQ01014985",96.679,271,8,1,1,270,62757,62487,1.27e-124,449
"micrurus_fulvius_uce-1068","JTLQ01058327",99.454,366,2,0,1,366,2536,2171,0,665
"micrurus_fulvius_uce-1069","JTLQ01463286",99.671,304,1,0,1,304,958,1261,8.29e-157,556
"micrurus_fulvius_uce-1077","JTLQ01048592",94.118,204,11,1,1,204,14807,14605,1.64e-82,309
"micrurus_fulvius_uce-1081","JTLQ01115032",97.067,341,6,1,1,337,22034,22374,3.31e-161,571
"micrurus_fulvius_uce-1084","JTLQ01235784",94.983,299,5,5,1,293,5300,5594,6.42e-128,460
"micrurus_fulvius_uce-1085","JTLQ01324141",96.981,265,8,0,1,265,7955,7691,1.61e-123,446
"micrurus_fulvius_uce-1089","JTLQ01883857",97.861,187,2,2,1,185,2379,2193,1.89e-86,322
"micrurus_fulvius_uce-1090","JTLQ01871122",95.385,455,13,3,1,448,792,339,0,717
"micrurus_fulvius_uce-1092","JTLQ01071180",100,420,0,0,1,420,8717,9136,0,776
"micrurus_fulvius_uce-1094","JTLQ01044335",98.986,493,5,0,1,493,8820,8328,0,883
"micrurus_fulvius_uce-1098","JTLQ01025678",97.686,389,8,1,4,392,4640,4253,0,667
"micrurus_fulvius_uce-11","JTLQ01230149",97.688,346,6,2,1,346,3405,3748,7.28e-168,593
"micrurus_fulvius_uce-110","JTLQ01250536",98.182,275,3,2,1,274,7416,7689,1.92e-133,479
"micrurus_fulvius_uce-1101","JTLQ01277184",99.476,191,1,0,1,191,4104,4294,3.23e-94,348
"micrurus_fulvius_uce-1102","JTLQ01004179",97.712,306,7,0,2,307,10535,10230,6.57e-148,527
"micrurus_fulvius_uce-1107","JTLQ01025007",98.771,407,5,0,1,407,3496,3090,0,725
"micrurus_fulvius_uce-111","JTLQ01014492",98.282,291,5,0,1,291,10476,10766,6.24e-143,510
"micrurus_fulvius_uce-1110","JTLQ01877191",99.11,562,4,1,1,561,1342,781,0,1009
"micrurus_fulvius_uce-1113","JTLQ01182847",96.017,477,7,9,1,474,2147,1680,0,765
