qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
micrurus_fulvius_uce-1003	NW_023010796.1	98.964	193	2	0	1	193	38846992	38847184	1.45e-93	346
micrurus_fulvius_uce-1004	NW_023010720.1	100	212	0	0	1	212	50699906	50700117	2.04e-107	392
micrurus_fulvius_uce-1005	NW_023010740.1	99.132	461	2	1	1	459	3361277	3361737	0	828
micrurus_fulvius_uce-101	NW_023010864.1	98.5	400	4	1	2	401	7090608	7090211	0	704
micrurus_fulvius_uce-1010	NW_023010720.1	98.113	159	3	0	1	159	51205561	51205719	4.27e-73	278
micrurus_fulvius_uce-1012	NW_023010793.1	99.719	356	1	0	1	356	13488578	13488223	0	652
micrurus_fulvius_uce-1014	NW_023010703.1	98.655	223	3	0	1	223	7565083	7564861	1.67e-108	396
micrurus_fulvius_uce-1018	NW_023010820.1	98.442	321	2	2	1	321	24433250	24432933	2.34e-158	562
micrurus_fulvius_uce-1021	NW_023010796.1	97.612	670	7	1	1	670	28083179	28083839	0	1140
micrurus_fulvius_uce-1025	NW_023010888.1	96.396	222	7	1	1	221	4339122	4339343	4.73e-99	364
micrurus_fulvius_uce-1026	NW_023010716.1	99.083	218	2	0	1	218	45469794	45470011	2.11e-107	392
micrurus_fulvius_uce-1027	NW_023010820.1	98.261	230	2	1	1	228	3529943	3530172	3.68e-110	401
micrurus_fulvius_uce-1036	NW_023010881.1	96.82	283	6	2	1	280	3970172	3970454	1.25e-130	470
micrurus_fulvius_uce-1037	NW_023010749.1	99.2	125	1	0	1	125	3199357	3199233	1.17e-57	226
micrurus_fulvius_uce-1038	NW_023010694.1	98.816	591	5	2	1	590	18483618	18484207	0	1051
micrurus_fulvius_uce-1040	NW_023010858.1	99.248	399	3	0	1	399	5914373	5914771	0	721
micrurus_fulvius_uce-1041	NW_023010720.1	99.257	269	2	0	1	269	67306280	67306548	1.2e-135	486
micrurus_fulvius_uce-1044	NW_023010796.1	99.256	403	1	2	1	403	12812322	12812722	0	726
micrurus_fulvius_uce-1047	NW_023042359.1	97.166	247	7	0	1	247	5224	5470	4e-115	418
micrurus_fulvius_uce-1050	NW_023010796.1	99.097	443	4	0	1	443	3748207	3747765	0	797
micrurus_fulvius_uce-1051	NW_023010877.1	99.658	292	1	0	1	292	43648127	43648418	4.59e-150	534
micrurus_fulvius_uce-1052	NW_023010858.1	98.269	520	9	0	1	520	5968016	5968535	0	911
micrurus_fulvius_uce-1053	NW_023010703.1	99.548	442	2	0	1	442	6003878	6003437	0	806
micrurus_fulvius_uce-1055	NW_023010796.1	99.554	224	1	0	1	224	28145160	28145383	2.16e-112	409
micrurus_fulvius_uce-1056	NW_023010820.1	98.904	365	1	1	1	365	16485249	16484888	0	649
micrurus_fulvius_uce-1058	NW_023010877.1	95.076	264	3	2	1	254	19706679	19706416	8.94e-112	407
micrurus_fulvius_uce-1059	NW_023010720.1	94.539	293	7	6	1	288	17598004	17597716	7.84e-123	444
micrurus_fulvius_uce-106	NW_023010706.1	94.024	502	23	6	1	500	22807723	22808219	0	754
micrurus_fulvius_uce-1061	NW_023010793.1	99.349	461	3	0	1	461	20357400	20356940	0	835
micrurus_fulvius_uce-1062	NW_023010883.1	98.246	285	5	0	1	285	1927039	1927323	1.63e-139	499
micrurus_fulvius_uce-1063	NW_023010793.1	98.462	455	6	1	1	454	19898910	19898456	0	800
micrurus_fulvius_uce-1065	NW_023010793.1	96.679	271	8	1	1	270	18532987	18532717	1.57e-124	449
micrurus_fulvius_uce-1068	NW_023010706.1	99.454	366	2	0	1	366	9697762	9697397	0	665
micrurus_fulvius_uce-1069	NW_023010877.1	99.671	304	1	0	1	304	3191529	3191832	1.02e-156	556
micrurus_fulvius_uce-1077	NW_023010880.1	94.608	204	10	1	1	204	4909315	4909113	4.34e-84	315
micrurus_fulvius_uce-1081	NW_023010858.1	96.774	341	7	1	1	337	6065466	6065806	1.91e-159	566
micrurus_fulvius_uce-1084	NW_023010697.1	95.302	298	5	5	1	293	19217597	19217890	6.14e-129	464
micrurus_fulvius_uce-1085	NW_023010716.1	96.981	265	8	0	1	265	34945463	34945727	1.99e-123	446
micrurus_fulvius_uce-1089	NW_023010720.1	97.861	187	2	2	1	185	69000412	69000598	2.33e-86	322
micrurus_fulvius_uce-1090	NW_023010771.1	95.186	457	12	4	1	448	1773983	1774438	0	713
micrurus_fulvius_uce-1092	NW_023010720.1	100	420	0	0	1	420	45302601	45303020	0	776
micrurus_fulvius_uce-1094	NW_023010720.1	98.986	493	5	0	1	493	46514207	46514699	0	883
micrurus_fulvius_uce-1098	NW_023010706.1	97.686	389	8	1	4	392	10731932	10731545	0	667
